|original|suggestions|rule_id
14|esen|['äsen', 'äßen', 'eben', 'lesen', 'Wesen', 'essen', 'Besen', 'aßen', 'Ösen', 'Lesen', 'pesen', 'Äsen', 'äse', 'äsend', 'ästen', 'äße', 'äßest', 'äßet', 'den', 'ein']|GERMAN_SPELLER_RULE
15|aba|['ab', 'Opa', 'dpa', 'aha', 'Spa', 'aua', 'als', 'an', 'auf', 'aus', 'am', 'aber', 'da', 'gab', 'habe', 'ob', 'alt', 'ha', 'al', 'all']|GERMAN_SPELLER_RULE
16|gieben|['geben', 'sieben', 'lieben', 'gießen', 'kippen', 'kleben', 'Dieben', 'rieben', 'gieren', 'hieben', 'piepen', 'Hieben', 'Kiepen', 'Lieben', 'Piepen', 'Sieben', 'fiepen', 'gilben', 'ziepen', 'gegen']|GERMAN_SPELLER_RULE
17|feid|['feit', 'seit', 'Zeit', 'fest', 'weit', 'fein', 'Veit', 'fair', 'fett', 'Neid', 'leid', 'seid', 'Waid', 'fegt', 'feil', 'feig', 'reit', 'Leid', 'Maid', 'Reit']|GERMAN_SPELLER_RULE
18|wil|['wie', 'weil', 'viel', 'will', 'wir', 'via', 'wild', 'Nil', 'vif', 'vis', 'die', 'in', 'im', 'mit', 'von', 'ein', 'war', 'bis', 'sie', 'wird']|GERMAN_SPELLER_RULE
19|gipt|['gibt', 'gilt', 'gib', 'kippt', 'gebt', 'gibst', 'gabt', 'gipst', 'gäbt', 'kipp', 'gibts', 'ist', 'mit', 'sind', 'wird', 'gab', 'geht', 'ging', 'gut']|GERMAN_SPELLER_RULE
20|ter|['der', 'den', 'des', 'dem', 'er', 'de', 'dar', 'her', 'per', 'wer', 'dir', 'Bär', 'derb', 'wär', 'Iter', 'Mär', 'Oer', 'die', 'das', 'für']|GERMAN_SPELLER_RULE
21|ap|['AP', 'ab', 'als', 'an', 'auf', 'aus', 'das', 'war', 'am', 'hat', 'man', 'gab', 'kam', 'was', 'Mai', 'Bau', 'dar', 'lag', 'ob', 'sah']|GERMAN_SPELLER_RULE
22|ale|['als', 'alle', 'alte', 'alt', 'al', 'all', 'Yale', 'Wale', 'male', 'Öle', 'Aale', 'ade', 'aale', 'adle', 'olé', 'äse', 'äße', 'öle', 'Ole', 'Sale']|GERMAN_SPELLER_RULE
23|frölich|['fröhlich', 'völlig', 'farblich', 'fraglich', 'freilich', 'rötlich', 'verglich', 'erblich', 'fällig', 'förmlich', 'fröhliche', 'faulig', 'fraulich', 'förmig', 'füglich', 'füllig', 'gröblich', 'verblich', 'ärmlich', 'örtlich']|GERMAN_SPELLER_RULE
24|siend|['sind', 'dient', 'sieht', 'zieht', 'zielt', 'ziert', 'siegt', 'sinnt', 'seiend', 'siebt', 'siezt', 'säend', 'ziemt', 'ziept', 'sie', 'sein', 'seine', 'liegt', 'stand', 'steht']|GERMAN_SPELLER_RULE
25|weitagegangen|['weitergegangen']|GERMAN_SPELLER_RULE
26|natürlig|['natürlich', 'natürliche', 'natürlichen', 'natürlicher', 'natürliches', 'natürlichem', 'nadelig', 'natürlichst']|GERMAN_SPELLER_RULE
27|üder|['der', 'über', 'oder', 'Eder', 'müder', 'Ader', 'Iter', 'rüder', 'öder', 'den', 'des', 'dem', 'er', 'aber', 'de', 'hier', 'vier', 'Süden', 'dar']|GERMAN_SPELLER_RULE
28|ier|['der', 'er', 'hier', 'ihr', 'vier', 'her', 'per', 'wer', 'Eier', 'Tier', 'Bier', 'Bär', 'Pier', 'Gier', 'wär', 'zier', 'Mär', 'Oer', 'Vier', 'Zier']|GERMAN_SPELLER_RULE
29|harden|['harten', 'härten', 'hatten', 'halten', 'hätten', 'Garten', 'Karten', 'harte', 'warten', 'Gärten', 'harter', 'haften', 'hartem', 'hartes', 'härter', 'hörten', 'zarten', 'häuten', 'Barden', 'harren']|GERMAN_SPELLER_RULE
30|schneel|['schnell', 'scheel', 'schnelle', 'Schnee', 'grell', 'Schnees', 'Schnäbel', 'schneien', 'schneit', 'schnellt', 'zehntel', 'schnäbeln', 'Schnell', 'gabel', 'geil', 'gell', 'gängel', 'scheele']|GERMAN_SPELLER_RULE
31|haten|['haben', 'hatten', 'halten', 'hätten', 'Daten', 'harten', 'laden', 'taten', 'Läden', 'baten', 'haften', 'Fäden', 'baden', 'hüten', 'raten', 'Maden', 'Paten', 'Räten', 'hauen', 'häuten']|GERMAN_SPELLER_RULE
32|arder|['alter', 'armer', 'arte', 'Marder', 'order', 'arger', 'arider', 'artet', 'ärger', 'Order', 'arten', 'älter', 'änder', 'ärmer', 'Erder', 'der', 'oder', 'aber', 'unter', 'andere']|GERMAN_SPELLER_RULE
33|gugel|['kugel', 'Hügel', 'dunkel', 'Kugel', 'Zügel', 'Bügel', 'Dünkel', 'funkel', 'Büchel', 'bügel', 'gurgel', 'kegel', 'kugele', 'kugeln', 'kugelt', 'kugle', 'köchel', 'zügel', 'Dunkel']|GERMAN_SPELLER_RULE
34|hate|['hatte', 'hat', 'habe', 'hätte', 'harte', 'Kate', 'halte', 'Jade', 'Käthe', 'Pate', 'Räte', 'Wade', 'rate', 'täte', 'fade', 'haute', 'hafte', 'lade', 'säte', 'bade']|GERMAN_SPELLER_RULE
35|geld|['Geld', 'geht', 'gilt', 'Welt', 'galt', 'hält', 'gelb', 'Feld', 'Held', 'kalt', 'gelte', 'Zelt', 'gebt', 'gälte', 'gärt', 'Belt', 'gell', 'gäbt', 'kegle']|GERMAN_SPELLER_RULE
36|eisferkeufer|['Eisverkäufer', 'Eispferdeufer', 'Eisverkäufern', 'Eisverkäufers', 'Losverkäufer']|GERMAN_SPELLER_RULE
37|ir|['IR', 'die', 'in', 'im', 'ist', 'mit', 'ein', 'er', 'bis', 'sie', 'wie', 'ihm', 'ihn', 'ihr', 'ins', 'hin', 'Art', 'Ort', 'ich', 'nie']|GERMAN_SPELLER_RULE
38|fenkt|['fängt', 'hängt', 'denkt', 'lenkt', 'senkt', 'funkt', 'pflückt', 'fangt', 'fingt', 'flickt', 'flockt', 'fängst', 'mengt', 'pflockt', 'renkt', 'sengt', 'Bengt', 'zeigt', 'fest', 'folgt']|GERMAN_SPELLER_RULE
39|get|['geht', 'gut', 'gen', 'lädt', 'rät', 'geh', 'keV', 'red', 'kt', 'sät', 'gebt', 'gärt', 'gäb', 'Jet', 'Met', 'Set', 'et', 'gäbt', 'kämt', 'käst']|GERMAN_SPELLER_RULE
40|Stolpat|['Soldat', 'Stoppt', 'Stolpe', 'Stolpert', 'Solebad', 'Stülpt', 'Spülbad', 'Stolper', 'Stola', 'Stolpre', 'Stolp', 'Stopft', 'Stoppst', 'Stolps', 'Störbar', 'Stopbit', 'Stülpst']|GERMAN_SPELLER_RULE
41|üba|['Opa', 'dpa', 'Spa', 'übe', 'übt', 'über', 'ab', 'da', 'gab', 'ob', 'ha', 'bat', 'ja', 'spät', 'Abt', 'bar', 'mbH', 'via', 'Eva', 'Kuba']|GERMAN_SPELLER_RULE
42|fellt|['fällt', 'fehlt', 'füllt', 'fällte', 'bellt', 'hellt', 'fallt', 'feilt', 'fälle', 'fällst', 'gellt', 'pellt', 'pfählt', 'wellt', 'stellt', 'Welt', 'fest', 'folgt', 'zählt']|GERMAN_SPELLER_RULE
43|hinn|['hin', 'Sinn', 'hing', 'Zinn', 'Kinn', 'hinan', 'Linn', 'Finn', 'Fynn', 'Lynn', 'in', 'ein', 'eine', 'einen', 'sind', 'kann', 'dann', 'hier', 'ihn', 'ins']|GERMAN_SPELLER_RULE
44|ide|['IDE', 'die', 'de', 'Ute', 'ade', 'Bde', 'Eide', 'Ode', 'Tide', 'Ude', 'öde', 'der', 'in', 'den', 'des', 'im', 'ist', 'dem', 'eine', 'oder']|GERMAN_SPELLER_RULE
45|giebt|['gibt', 'liebt', 'gräbt', 'kippt', 'gießt', 'klebt', 'gebt', 'fiept', 'giert', 'gilbt', 'hiebt', 'piept', 'riebt', 'siebt', 'ziept', 'liegt', 'geht', 'gilt', 'dient', 'hielt']|GERMAN_SPELLER_RULE
46|glüklieg|['glücklich', 'klügle', 'klüglich']|GERMAN_SPELLER_RULE
47|bekomen|['bekommen', 'bekamen', 'bekämen', 'begonnen', 'bekommt', 'bezogen', 'befohlen', 'begeben', 'begehen', 'behoben', 'betonen', 'bewohnen', 'begaben', 'bewogen', 'kämen', 'Backofen', 'Päckchen', 'bekomme', 'bekäme', 'belogen']|GERMAN_SPELLER_RULE
48|kabut|['kaputt', 'kaut', 'gabst', 'gabt', 'gäbet', 'gäbst', 'gäbt', 'kappt', 'gab', 'gibt', 'gut', 'galt', 'gebaut', 'kaum', 'laut', 'Papst', 'gaben', 'Debüt', 'baut', 'glaubt']|GERMAN_SPELLER_RULE
49|hingefalen|['hingefallen', 'eingefallen', 'hingehalten', 'hingefahren', 'hingefallene', 'hingehauen', 'hingemalten', 'hingeraten']|GERMAN_SPELLER_RULE
50|rhr|['ihr', 'Uhr', 'Ohr', 'rar', 'Ahr', 'rhe', 'rühr', 'der', 'er', 'für', 'war', 'zur', 'mehr', 'nur', 'vor', 'Jahr', 'ihm', 'ihn', 'ihre', 'sehr']|GERMAN_SPELLER_RULE
51|Teielt|['Spielt', 'Teilt', 'Hielt', 'Täfelt', 'Teile', 'Behielt', 'Teil', 'Dient', 'Gezielt', 'Regelt', 'Teils', 'Behält', 'Feiert', 'Teilte', 'Zielt', 'Trient', 'Triest', 'Teilen', 'Eilt', 'Gekielt']|GERMAN_SPELLER_RULE
52|möschde|['höchste', 'möge', 'mischte', 'Vögte', 'löschte', 'böschte', 'mögt', 'legte', 'sagte', 'höchsten', 'nächste', 'möchte', 'fügte', 'höchst', 'höchster', 'sechste', 'mögen', 'regte', 'tagte', 'wagte']|GERMAN_SPELLER_RULE
53|past|['passt', 'fast', 'bald', 'bat', 'baut', 'Gast', 'bist', 'hast', 'last', 'post', 'Bast', 'bass', 'rast', 'büßt', 'pass', 'blast', 'patt', 'barst', 'basta', 'paust']|GERMAN_SPELLER_RULE
54|veil|['feil', 'teil', 'weil', 'fiel', 'viel', 'fein', 'fehl', 'Seil', 'fair', 'Keil', 'heil', 'Beil', 'feig', 'feile', 'Heil', 'Mail', 'Peil', 'Teil', 'Zeil', 'feie']|GERMAN_SPELLER_RULE
55|möschte|['höchste', 'löste', 'möchte', 'möge', 'mischte', 'Vögte', 'löschte', 'böschte', 'döste', 'miste', 'moste', 'mäste', 'möget', 'mögt', 'röste', 'erste', 'machte', 'legte', 'Liste', 'beste']|GERMAN_SPELLER_RULE
56|on|['in', 'und', 'von', 'an', 'vom', 'vor', 'ins', 'ohne', 'oft', 'zog', 'Tod', 'ob', 'Rom', 'bot', 'eng', 'sog', 'uns', 'Hof', 'Tor', 'ans']|GERMAN_SPELLER_RULE
57|runtergefalen|['runtergefallen', 'runtergefahren', 'runtergehalten', 'runtergehauen', 'runtergeladen']|GERMAN_SPELLER_RULE
58|ern|['ein', 'er', 'Bern', 'Kern', 'gern', 'fern', 'Fern', 'Lern', 'lern', 'der', 'in', 'den', 'von', 'an', 'eine', 'es', 'man', 'sein', 'deren', 'erst']|GERMAN_SPELLER_RULE
59|fählt|['fehlt', 'pfählt', 'zählt', 'fällt', 'fährt', 'fehlte', 'fühlt', 'verhält', 'wählt', 'fehl', 'fehle', 'fehlst', 'feilt', 'hehlt', 'kehlt', 'pfähle', 'pfählst', 'pfählte', 'führt']|GERMAN_SPELLER_RULE
60|vegen|['fegen', 'gegen', 'wegen', 'legen', 'regen', 'rächen', 'fügen', 'Bächen', 'Degen', 'Segen', 'lägen', 'hegen', 'vagen', 'fechten', 'feigen', 'sägen', 'Mägen', 'fachen', 'rechen', 'wägen']|GERMAN_SPELLER_RULE
61|glüglich|['klüglich', 'kläglich', 'klügliche', 'glücklich', 'grünlich', 'flüchtig', 'klanglich', 'gütlich', 'klägliche', 'kärglich', 'füglich', 'klüftig', 'klüglichem', 'klüglichen', 'klüglicher', 'klügliches']|GERMAN_SPELLER_RULE
62|veint|['feind', 'fein', 'meint', 'Feind', 'Saint', 'feine', 'weint', 'eint', 'feinst', 'feist', 'Teint', 'feilt', 'feinde', 'feit', 'feixt', 'ein', 'eine', 'sein']|GERMAN_SPELLER_RULE
63|krikt|['drückt', 'knickt', 'druckt', 'glückt', 'klickt', 'knackt', 'brockt', 'checkt', 'geigt', 'klackt', 'kragt', 'treckt', 'gibt', 'gilt', 'zeigt', 'tritt', 'trägt', 'geriet', 'wirkt', 'Brücke']|GERMAN_SPELLER_RULE
64|bischen|['bisschen', 'eigen', 'Ligen', 'Nischen', 'mischen', 'biegen', 'fischen', 'picken', 'wischen', 'biogen', 'zischen', 'tischen', 'Eigen', 'Fischen', 'Mischen', 'Tischen', 'Wischen', 'Zischen', 'bogen', 'bögen']|GERMAN_SPELLER_RULE
65|schlekt|['schlägt', 'glückt', 'schluckt', 'schlackt', 'schleckt', 'gelegt', 'schlecht', 'schläft', 'schmeckt', 'schmückt', 'gelockt', 'glückte', 'schreckt', 'schluckte', 'schlagt', 'gluck', 'gluckst', 'glücke', 'glückst', 'schlacke']|GERMAN_SPELLER_RULE
66|ales|['al es', 'als', 'alles', 'Wales', 'altes', 'Aales', 'Sales', 'Tales', 'Yales', 'fläz', 'Öles', 'Oles', 'des', 'aus', 'es', 'aber', 'alle', 'allem', 'allen', 'aller']|GERMAN_SPELLER_RULE
67|TroPfschen|['Tröpfchen', 'Tropischen', 'Throneschen', 'Tropische', 'Tropischer', 'Tropisches', 'Tropischem', 'Topischen', 'Trophischen', 'Atrophischen', 'Droschen', 'Dröschen', 'Orffschen', 'Strophischen', 'Torfigen', 'Kröpfchen']|GERMAN_SPELLER_RULE
68|gestolPat|[]|GERMAN_SPELLER_RULE
69|wegetan|['weggetan', 'wegtun', 'wehgetan', 'wegen', 'wegtat', 'getan', 'weg-dank', 'angetan', 'weg-tank', 'abgetan', 'weg-tanz', 'zugetan', 'weg-tat', 'wägen', 'weg-tun', 'Bäketal', 'Vegeta', 'vegan', 'vertan', 'weggetane']|GERMAN_SPELLER_RULE
70|Glöklesch|['Blicklochs', 'Glücklich', 'Glöckleins', 'Glückliche', 'Glückliches', 'Glücklichst']|GERMAN_SPELLER_RULE
71|rich|['sich', 'ich', 'mich', 'reich', 'Erich', 'dich', 'reg', 'wich', 'roch', 'brich', 'eich', 'Aich', 'Eich', 'Gig', 'Sikh', 'zig', 'auch', 'nach', 'nicht', 'noch']|GERMAN_SPELLER_RULE
72|Spatzirn|['Spatzen', 'Spalthirn']|GERMAN_SPELLER_RULE
73|falt|['fand', 'fast', 'bald', 'galt', 'alt', 'fällt', 'hält', 'Wald', 'kalt', 'Salt', 'halt', 'malt', 'fault', 'falb', 'falte', 'Halt', 'Kalt', 'aalt', 'fall', 'fallt']|GERMAN_SPELLER_RULE
74|Giebt|['Liebt', 'Gibt', 'Fiept', 'Hiebt', 'Gräbt', 'Piept', 'Kippt', 'Riebt', 'Gießt', 'Siebt', 'Klebt', 'Ziept', 'Gebt', 'Liegt', 'Giert', 'Dient', 'Gilbt', 'Hielt', 'Lebt', 'Sieht']|GERMAN_SPELLER_RULE
75|eien|['ein', 'eine', 'einen', 'Wien', 'seien', 'eben', 'eigen', 'eilen', 'Kien', 'eiern', 'feien', 'äsen', 'äßen', 'die', 'in', 'den', 'einem', 'einer', 'sie', 'wie']|GERMAN_SPELLER_RULE
76|Nachause|['Nachrufe', 'Nachhause', 'Nachzüge', 'Bachaue', 'Nachtue', 'Nachbaus', 'Bagasse', 'Nachguss', 'Dachaus', 'Nachlese', 'Dachfüße', 'Zachäus', 'Nachfüge', 'Ankrause', 'Nachlöse', 'Nachgüsse', 'Nachahme', 'Nachsäße', 'Nachtauge', 'Nachbaue']|GERMAN_SPELLER_RULE
77|Lekt|['Bäckt', 'Legt', 'Lockt', 'Deckt', 'Leckt', 'Rückt', 'Lech', 'Lägt', 'Lücke', 'Lebt', 'Legte', 'Weckt', 'Bäcker', 'Lädt', 'Legat', 'Hegt', 'Lenkt', 'Packt', 'Lockte', 'Regt']|GERMAN_SPELLER_RULE
78|gehmergt|['gestärkt', 'vermerkt', 'gemerkt', 'gehegt', 'geherzt', 'gemengt']|GERMAN_SPELLER_RULE
79|gehttropft|['geht tropft', 'geh-tropfe', 'getropft']|GERMAN_SPELLER_RULE
80|gefalen|['gefallen', 'gehalten', 'gefangen', 'geraten', 'gefahren', 'geladen', 'genauen', 'realen', 'befallen', 'gefällt', 'geraden', 'Rivalen', 'gefallene', 'gefaltet', 'gemalten', 'legalen', 'Gefäßen', 'gebären', 'gehauen', 'gemahlen']|GERMAN_SPELLER_RULE
81|ristig|['Mystik', 'rissig', 'listig', 'rüstig', 'mistig', 'rispig', 'rittig', 'rostig', 'Kritik', 'richtig', 'mittig', 'geistig', 'giftig', 'lustig', 'hastig', 'lästig', 'Gestik', 'Kristin', 'riesig', 'bissig']|GERMAN_SPELLER_RULE
82|glüglist|['klügelst', 'Fluglist', 'klüglich', 'Glühlist']|GERMAN_SPELLER_RULE
83|is|['ist', 'IS', 'die', 'in', 'im', 'mit', 'ein', 'bis', 'es', 'sie', 'wie', 'ihm', 'ihn', 'ihr', 'ins', 'hin', 'ich', 'nie', 'wir', 'bin']|GERMAN_SPELLER_RULE
84|schnel|['schnell', 'scheel', 'schwer', 'schied', 'gelb', 'schien', 'schnelle', 'schmal', 'schräg', 'schöne', 'schönen', 'Agnes', 'Schnee', 'gen', 'schöner', 'schief', 'schwul', 'schönes', 'Igel', 'geh']|GERMAN_SPELLER_RULE
85|Hinther|['Hinter', 'Winter', 'Hinte', 'Hinten', 'Hintere', 'Hintern', 'Hinterm', 'Hintes', 'Hinters', 'Sinter', 'Kinder', 'Seither', 'Hinder', 'Ritter', 'Dieter', 'Günter', 'Günther', 'Hinteren', 'Hitler']|GERMAN_SPELLER_RULE
86|sint|['sind', 'Kind', 'Wind', 'singt', 'sinkt', 'Rind', 'sing', 'find', 'sinnt', 'eint', 'lind', 'zünd', 'Linth', 'Pint', 'bind', 'zinkt', 'in', 'ist', 'mit', 'ein']|GERMAN_SPELLER_RULE
87|eiswargen|['einwirken', 'eisarmen', 'erzwangen', 'erstarken', 'Eismarken', 'Eiswagen', 'einharken', 'einparken', 'einsargen', 'einwarben', 'einwarfen', 'erzwängen']|GERMAN_SPELLER_RULE
88|si|['die', 'ist', 'mit', 'ein', 'zu', 'bis', 'sie', 'wie', 'so', 'hin', 'sei', 'nie', 'sah', 'sog', 'wir', 'bin', 'min', 'mir', 'saß', 'Eis']|GERMAN_SPELLER_RULE
89|ei|['ein', 'Ei', 'der', 'die', 'den', 'des', 'mit', 'dem', 'er', 'bei', 'bis', 'es', 'sie', 'wie', 'hin', 'neu', 'sei', 'New', 'her', 'nie']|GERMAN_SPELLER_RULE
90|unt|['und', 'uns', 'bunt', 'uni', 'Bunt', 'unkt', 'übt', 'in', 'ist', 'mit', 'an', 'um', 'hat', 'nur', 'unter', 'ins', 'Ende', 'Juni', 'gut', 'nun']|GERMAN_SPELLER_RULE
91|sih|['sich', 'sie', 'sah', 'zäh', 'sieh', 'zieh', 'zisch', 'zig', 'seh', 'die', 'in', 'im', 'ist', 'mit', 'ein', 'zu', 'bis', 'sind', 'wie', 'zum']|GERMAN_SPELLER_RULE
92|schtoiper|['stolper', 'stoppen', 'steiler', 'steifer', 'stolpert', 'stolzer', 'stolpern', 'schleuder', 'steiger', 'steuer', 'steuere', 'steure', 'stocher', 'stolpere', 'stolpre', 'stoppe', 'stotter', 'stöber', 'störbar']|GERMAN_SPELLER_RULE
93|Fersucht|['Versucht', 'Versuch', 'Verfügt', 'Verzicht', 'Versuchte', 'Ersucht', 'Versagt', 'Versuchs', 'Versuche', 'Verzug', 'Verbucht', 'Verzuge', 'Verseucht', 'Verzugs', 'Verfugt', 'Verzüge', 'Verrucht', 'Versuchst', 'Verzagt', 'Besucht']|GERMAN_SPELLER_RULE
94|lerken|['Werken', 'lernen', 'Flecken', 'lenken', 'bergen', 'merken', 'Särgen', 'lärmen', 'Bergen', 'Kerken', 'Merken', 'blecken', 'lecken', 'werken', 'Mencken', 'leaken', 'werden', 'deren', 'liegen', 'langen']|GERMAN_SPELLER_RULE
95|gept|['gebt', 'gäbt', 'gibt', 'geht', 'lebt', 'gebe', 'hebt', 'gäbe', 'gebot', 'bebt', 'webt', 'gärt', 'gäb', 'Sept', 'gabt', 'geb.', 'gäbet', 'gäbst', 'kämt', 'käst']|GERMAN_SPELLER_RULE
96|Fos|['FOS', 'Fuß', 'Von', 'Los', 'Vom', 'Moos', 'Vor', 'Zoos', 'Löß', 'Fez', 'Bös', 'Fes', 'Food', 'Höß', 'Fön', 'Föns', 'Pos', 'Ufos', 'Phon', 'Fis']|GERMAN_SPELLER_RULE
97|aP|['AP', 'als', 'an', 'auf', 'aus', 'das', 'war', 'am', 'ab', 'hat', 'man', 'gab', 'kam', 'was', 'Mai', 'Bau', 'SPD', 'dar', 'lag', 'sah']|GERMAN_SPELLER_RULE
98|fer|['der', 'er', 'für', 'vor', 'vier', 'her', 'per', 'wer', 'Ufer', 'fern', 'Bär', 'wär', 'Mär', 'Oer', 'den', 'des', 'von', 'dem', 'war', 'über']|GERMAN_SPELLER_RULE
99|nisct|['Liszt', 'nickt', 'ist', 'nicht', 'nimmt', 'wirkt', 'nutzt', 'sitzt', 'misst', 'sinkt', 'Fisch', 'Tisch', 'bist', 'Nizza', 'isst', 'mischt', 'nistet', 'nützt', 'Cisco', 'winkt']|GERMAN_SPELLER_RULE
100|gechareln|['gegabelt', 'kegeln', 'Megären', 'gegarten', 'gegoren', 'gegärten']|GERMAN_SPELLER_RULE
101|Hete|['Jede', 'Heute', 'Rede', 'Hätte', 'Hefte', 'Hexe', 'Härte', 'Hegte', 'Hefe', 'Käthe', 'Räte', 'Täte', 'Häute', 'Bete', 'Hebe', 'Hedy', 'Hege', 'Häme', 'Säte', 'Hüte']|GERMAN_SPELLER_RULE
102|gescholpat|['geschöpft', 'Wechselbad']|GERMAN_SPELLER_RULE
103|traurisch|['traurig', 'traurige', 'trauriges', 'traubig', 'traurigst', 'drastisch', 'tragisch', 'traubige', 'traurigen', 'krautig', 'trauriger', 'drahtig', 'traurigste', 'Trauring', 'drusisch', 'grausig', 'maurisch', 'taufrisch', 'thrakisch', 'traulich']|GERMAN_SPELLER_RULE
104|Glicklich|['Glücklich', 'Blicklicht', 'Glückliche', 'Blickloch', 'Klanglich', 'Dicklich', 'Knickrig']|GERMAN_SPELLER_RULE
105|spazirn|['spazieren', 'spaziert', 'spaßig', 'spaziere', 'spaßen', 'spaßige', 'spaßigen', 'spaßten', 'Spacern']|GERMAN_SPELLER_RULE
106|kamm|['Kamm', 'kämm', 'kam', 'kaum', 'Damm', 'Hamm', 'käme', 'Lamm', 'komm', 'gamma', 'klamm', 'kamt', 'kämme', 'kämmt', 'kämt', 'am', 'kann', 'gab', 'km', 'ganz']|GERMAN_SPELLER_RULE
107|lekte|['legte', 'lockte', 'leckte', 'lebte', 'legt', 'rückte', 'legten', 'deckte', 'regte', 'hegte', 'lenkte', 'lockt', 'nackte', 'weckte', 'Sekte', 'lege', 'leide', 'lockten', 'läge', 'dockte']|GERMAN_SPELLER_RULE
108|Plözlich|['Plötzlich', 'Löslich', 'Löblich', 'Bläulich', 'Plötzliche', 'Bloßlag', 'Blässlich', 'Börslich', 'Pilzlich']|GERMAN_SPELLER_RULE
109|hien|['hier', 'hin', 'Wien', 'hieß', 'hie', 'hieb', 'Kien', 'hiev', 'die', 'in', 'den', 'ein', 'eine', 'einen', 'sie', 'wie', 'sein', 'haben', 'ihn', 'ihren']|GERMAN_SPELLER_RULE
110|Pölzlich|['Mötzlich', 'Börslich', 'Pilzlich', 'Plötzlich', 'Bildlich', 'Börsliche', 'Pilzliche']|GERMAN_SPELLER_RULE
111|Eisstant|['Eisstand', 'Einstand', 'Eisstadt', 'Essstand', 'Entstand', 'Eisstaat', 'Eistanz', 'Weinstadt', 'Eisstart', 'Ausstand', 'Beistand', 'Eisspant', 'Eckstand', 'Eisstande', 'Ehestand', 'Eisstands', 'Einstands', 'Eisstent', 'Eisspat']|GERMAN_SPELLER_RULE
