|corrected|suggestions
231|Verwirrt|
232|Unterwegs|
233|Nach|
234|Lauft|
235|Fuß|
236|Schnappt|
237|Sein|
238|Geschichte|
239|Geschmolzen|
240|Den|
241|Waffel|
242|Eistropfen|
243|Fressen|
244|Hause|
245|Aufgegessen|
246|Ganz|
247|Doll|
248|Beide|
249|Wollt|
250|Nein|
251|Das|
252|Fragt|
253|Weg|
254|Entlang|
255|Liegt|
256|Aus|
257|Strand|
258|Stück|
259|Schokoladeneis|
260|Gingen|
261|Rutscht|
262|Erdbeersorte|
263|Getröstet|
264|Abzulecken|
265|Gebellt|
266|Esst|
267|Kommt|
268|Geb|['Gäu', 'Gäb', 'Web', 'Gab', 'Gelb', 'Gel', 'Gebe', 'Gen', 'Geo', 'Gäbe', 'Pep', 'Geh', 'Leb', 'Gib', 'Der', 'KeV', 'Den', 'Des', 'Gebt', 'Dem']
269|Eins|
270|Stellt|
271|Bein|
272|Umarmen|
273|Schokokugel|['Schoko kugel', 'Schoko Kugel', 'Schokokuchen', 'Goldkugel', 'Schokokuchens']
274|Etwas|
275|Auffangen|
276|Geling|['Gelenk', 'Gelang', 'Reling', 'Gelingt', 'Gering', 'Gelinge', 'Gelyncht', 'Gesang', 'Gälisch', 'Gewinn', 'Peking', 'Kling', 'Beging', 'Gelind', 'Geltung', 'Gelinkt', 'Göring', 'Keine', 'Selig', 'Ging']
277|Rennen|
278|Gesehen|
279|Schuh|
280|Getreten|
281|Die|
282|Zitrone|
283|Sonnigen|
284|Blaubeer|['Blaubär', 'Blaumeer', 'Blaubeere', 'Blauer', 'Blauheer', 'Blaubier', 'Blaubeeren', 'Plumper', 'Blaubäder', 'Blaubeurer', 'Blauhäher', 'Blauteer', 'Blauleger', 'Klauber', 'Blaubeet', 'Belaubter', 'Blaubeter', 'Plapper', 'Blaupeer']
285|Schwupp|
286|Aua|
287|Dreckig|
288|Komm|
289|Fliegt|
290|Übrig|
291|Möchten|
292|Schleckten|
293|Rannte|
294|Ganze|
295|Zufrieden|
296|Ihre|
297|Sah|
298|Uns|
299|Ohne|
300|Pfefferminz|
301|Erdbeereis|
302|Vanilleeis|
303|Gemeinsam|
304|Verabredet|
305|Als|
306|Bezahlten|
307|Versuchte|
308|Abzubekommen|
309|Hieß|
310|Zwar|
311|Retten|
312|Wirklich|
313|Lieb|
314|Sprangen|
315|Genommen|
316|Kläffte|
317|Kriegen|
318|Abgibt|
319|Bei|
320|Fangen|
321|Teilen|
322|Geweint|
323|Gefreut|
324|Ende|
325|Ging|
326|Eissorten|
327|Geschafft|
328|Tränen|
329|Genug|
330|Wird|
331|Noch|
332|Zum|
333|Voll|
334|Hinüber|
335|Gestellt|
336|Tröste|
337|Kleckert|
338|Hält|
339|Durchgedreht|
340|Spaziergang|
341|Gekuckt|['Beguckt', 'Geguckt', 'Gerückt', 'Gerücht', 'Geglückt', 'Geknackt', 'Kuckuck', 'Geknickt', 'Gebückt', 'Geduckt', 'Gedackt', 'Gezücht', 'Gecheckt', 'Abguckt', 'Gejuckt', 'Anguckt', 'Gekackt', 'Begucke', 'Gekickt', 'Beguckst']
342|Böse|
343|Gib|
344|Weggegangen|
345|Direkt|
346|Ihren|
347|Stehen|
348|Ihnen|
349|Ablecken|
350|Hießen|
351|Verletzt|
352|Nehmt|
353|Sagte|
354|Ja|
355|Willst|
356|Gibst|
357|Verkäufer|
358|Angekuckt|
359|Ihm|
360|Geschmeckt|
361|Hingerannt|
362|Abgegeben|
363|Getrunken|
364|Seinem|
365|Holten|
366|Große|
367|Klettergerüst|
368|Stellte|
369|Spaziert|
370|Umgekippt|
371|Eiswarenstand|
372|Bellte|
373|Kein|
374|Beim|
375|Draußen|
376|Glück|
377|Freund|
378|Einen|
379|Außer|
380|Danach|
381|Verabredeten|
382|Hund|
383|Leer|
384|Kommen|
385|Fragte|
386|Weinte|
387|Hunde|
388|Hotdogstand|['Hotdog stand']
389|Hotdogs|
390|Hotdog|
391|Läuft|
392|Gekommen|
393|Sieht|
394|Lolli|
395|Wann|
396|Woanders|
397|Wartet|
398|Telefoniert|
399|Ich|
400|Hängt|
401|Gesagt|
402|Okay|
403|Bringst|
404|Du|
405|Geduldig|
406|Abhauen|
407|Futternapf|
408|Verschwundene|
409|Weiß|
410|Aussieht|
411|Liegen|
412|Aufgehängt|
413|Setzt|
414|Stift|
415|Anruft|
416|Aufschreiben|
417|Mal|
418|Sucht|
419|Zettel|
420|Zu|
421|Zurückgeben|
422|Lutscher|
423|Klebt|
424|Geschenk|
425|Überall|
426|Findet|
427|Träne|
428|Nachricht|
429|Verschwunden|
430|Tisch|
431|Füller|
432|Glücklicher|
433|Posters|
434|Für|
435|Erfahren|
436|Klingeln|
437|Umarmt|
438|Steckbriefen|
439|Telefon|
440|Gefunden|
441|Gelächelt|
442|Lollipop|
443|Sofort|
444|Ruft|
445|Mitgebracht|
446|Neben|
447|Fenster|
448|Sitz|
449|Hast|
450|Straße|
451|Öffnete|
452|Umarmten|
453|Verloren|
454|Suchzettel|
455|Klingelte|
456|Überglücklich|
457|Getränt|
458|Riesen|
459|Hunger|
460|Frauchen|
461|Zuhause|['Zu Hause']
462|Jemand|
463|Geknuddelt|
464|Sogar|
465|Endlich|
466|Hallo|
467|Habe|
468|Komme|
469|Telefonnummer|
470|Es|
471|Nix|['Nichts']
472|Füttern|
473|Klingelt|
474|Vermisst|
475|Werdet|
476|Paar|
477|Keiner|
478|Gemeldet|
479|Weinend|
480|Drückt|
481|Rausgestellt|['Herausgestellt']
482|An|
483|Überlegt|
484|Könnte|
485|Bringt|
486|Niemand|
487|Plakate|
488|Kamt|
489|Futter|
490|Sitzt|
491|Zimmer|
492|Falls|
493|Viertelstunde|
494|Hüpft|
495|Plakat|
496|Abgebildet|
497|Freude|
498|Tür|
499|Nie|
500|Hängte|
501|Gewartet|
502|Schenkt|
503|Poster|
504|Geöffnet|
505|Gerannt|
506|Ihrer|
507|Tröstete|
508|Aufhängen|
509|Musste|
510|Nachbar|
511|Minute|
512|Schellte|
513|Umarmte|
514|Morgen|
515|Weggelaufen|
516|Nächsten|
517|Angerufen|
518|Gefressen|
519|Plakaten|
520|Erleichtert|
521|Angekommen|
522|Hundefutter|
523|Futterschale|
524|Sekunden|
525|Freudentränen|
526|Fraß|
527|Freute|
528|Wau|['Bau', 'War', 'Au', 'Was', 'Gau', 'Rau', 'Van', 'Gäu', 'Hau', 'Lau', 'Mau', 'Wär', 'Kau', 'Sau', 'Tau', 'Wal', 'An', 'Auf', 'Aus', 'Vag']
529|Gelassen|
530|Warte|
531|Verzweifelt|
532|Gemacht|
533|Klopft|
534|Pfoten|
535|Sien|['Wien', 'Sie', 'Sieg', 'Sein', 'Seen', 'Sinn', 'Seien', 'Sven', 'Asien', 'Siena', 'Sieh', 'Sieb', 'Säen', 'Siel', 'Zieh', 'Kien', 'Zier', 'SVen', 'Spien', 'Sief']
536|Nummer|
537|Geschrieben|
538|Telefonzelle|
539|Klingel|
540|Hängen|
541|Anrufen|
542|Würde|
543|Wartete|
544|Freuen|
545|Irgendwann|
546|Vorbei|
547|Schmeckt|
548|Ersten|
549|Tropften|
550|Herunter|
551|Langsam|
552|Wurde|
553|Besorgt|
554|Verrückt|
555|Klingeling|['Klingeln', 'Klingelions', 'Klingelns', 'Klingelnd', 'Klingelzug', 'Kringelig']
556|Kling|
557|Kurz|
558|Tun|
559|Bins|['Binz', 'Bis', 'Ins', 'Eins', 'Bin', 'Linz', 'Benz', 'Zins', 'Hinz', 'Pink', 'Pins', 'Beins', 'Binse', 'Biss', 'Bens', 'Bias', 'Gins', 'Bind', 'Bits', 'Piks']
560|Dingdong|['Pingpong', 'Sington']
561|Anruf|
562|Stadt|
563|Verlorene|
564|Stuhl|
565|Denkt|
566|Bürgersteig|
567|Hektisch|
568|Ziemlich|
569|Jedem|
570|Entlaufen|
571|Vorsichtig|
572|Nette|
573|Kannte|
574|Gleich|
575|Herein|
576|Urplötzlich|
577|Verschwand|
578|Bilder|
579|Nahm|
580|Friss|
581|Viel|
582|Weggerannt|
583|Mir|
584|Zurückgekommen|
585|Antwort|
586|Klemmt|
587|Wand|
588|Fertig|
589|Geworden|
590|Gelben|
591|Handy|
592|Freudigkeit|
593|Geklingelt|
594|Aufgemacht|
595|Mit|
596|Gelaufen|
597|Lacht|
598|Flur|
599|Macht|
600|Sorgen|
601|Spiegel|
602|Überraschung|
603|Umarm|['Um arm', 'Umarmt', 'Arm', 'Umarme', 'Warm', 'Darm', 'Imam', 'Smart', 'Umkam', 'Umarmen', 'Umarmte', 'Umwarb', 'Alarm', 'Farm', 'Umbra', 'Umraum', 'Unart', 'Omar', 'Hubarm', 'Omars']
604|Geschenkt|
605|Nimm|
606|Hängten|
607|Bist|
608|Gebracht|
609|The|['TV', 'Die', 'Ehe', 'De', 'TC', 'Tee', 'Tue', 'Theo', 'Che', 'TB', 'TL', 'Rhe', 'TN', 'Thea', 'Tu', 'Der', 'TZ', 'Den', 'TeX', 'Des']
610|Kuckte|['kuckte', 'Rückte', 'Guckte', 'Bückte', 'Duckte', 'Glückte', 'Kickte', 'Juckte', 'Knackte', 'Muckte', 'Knickte', 'Ruckte', 'Guckt', 'Zuckte', 'Zückte', 'Checkte', 'Küste', 'Punkte', 'Gucke', 'Suchte', 'Guckten']
611|Sonst|
612|Haust|
613|Zetteln|
614|Futtert|
615|Klebte|
616|Lächelte|
617|Vorher|
618|Blätter|
619|Gar|
620|Fresst|
621|Traurigen|
622|Offen|
623|Alleine|
624|Besser|
625|Flennt|
626|Würstchen|
627|Getan|
628|Freundin|
629|Schon|
630|Raus|
631|Muss|
632|Schüttelt|
633|Abends|
634|Suchplakat|
635|Bekam|
636|Haustüre|
637|Junge|
638|Dich|
639|Minuten|
640|Hörte|
641|Lachte|
642|Ihres|
643|Früh|
644|Nirgendwo|
645|Hab|
646|Beschlossen|
647|Rasse|
648|Gab|
649|Adresse|
650|Gehört|
651|Bellen|
652|Lieber|
653|Gefehlt|
654|Nochmals|
655|Steckbriefe|
656|Vermisste|
657|Kucke|['Kokke', 'Gucke', 'Küche', 'Lücke', 'Mücke', 'Gucken', 'Krücke', 'Tücke', 'Guckt', 'Rücke', 'Knicke', 'Kecke', 'Hucke', 'Guck', 'Kacke', 'Kokken', 'Quecke', 'Bücke', 'Ducke', 'Checke']
658|Hand|
659|Telefoniere|
660|Freue|
661|Außerdem|
662|Findest|
663|Hingestellt|
664|Erstaunt|
665|Gefragt|
666|Ob|
667|Wischt|
668|Vermisstzettel|['Vermisst zettel', 'Vermisst Zettel']
669|Gerührt|
670|Gehängt|
671|Zeigt|
672|Lächelt|
673|Straßen|
674|Wände|
675|Foto|
676|Weißt|
677|Tatsächlich|
678|Schluss|
679|Aufgehangen|['Auf gehangen', 'Ausgehengen', 'Aufgegangen', 'Aufgefangen', 'Aufgehängten', 'Aufgängen', 'Aufhängen', 'Rufgesängen', 'Ausgehangen', 'Rumgehangen', 'Umgehangen']
680|Telefonieren|
681|Trockenfutter|
682|Kleines|
683|Zur|
684|Türe|
685|Deutlich|
686|Langsamer|
687|Bringen|
688|Blumenstrauß|
689|Fröhlichkeit|
690|Sehen|
691|Drinnen|
692|Hört|
693|Kann|
694|Darauf|
695|Wiederzusehen|
696|Hey|
697|Bring|
698|Fresschen|['Prägen', 'Versuchen', 'Kreischen', 'Fresken', 'Fressen', 'Fritzchen', 'Prägten', 'Freudschen', 'Drängen', 'Frischen', 'Kreuzchen', 'Flüsschen', 'Fragen', 'Feschen', 'Fröschen', 'Pflegen', 'Veraschen', 'Felgen', 'Fressehen', 'Trägen']
699|Kuli|
700|Wer|
701|Leute|
702|Lässt|
703|Lachten|
704|Ewig|
705|Verteilt|
706|Voller|
707|Schellt|
708|Dong|['Mönch', 'Dank', 'Deng', 'Dock', 'Denk', 'Dolch', 'Tank', 'Tönt', 'Gong', 'Ding', 'Song', 'Don', 'Dung', 'Tonig', 'Tunk', 'Töne', 'Bong', 'Den', 'Von']
709|Dran|
710|Rüber|
711|Wirst|
712|Seinen|
713|Dein|
714|Gedrückt|
715|Deutsch|
716|Verstanden|
717|Häuser|
718|Gestürmt|
719|Vergessen|
720|Wusste|
721|Beschäftigt|
722|Zurückkriegt|
723|Renn|
724|Langweil|['Lang weil', 'Lang Weil', 'Langteil', 'Langweilt', 'Langweile', 'Langeweile', 'Dankteil', 'Langley', 'Langweilig', 'Fangseil', 'Langweilen', 'Dankseil', 'Langbein', 'Langweilte', 'Gangseil', 'Langwedel', 'Hangseil', 'Langwelle', 'Lackseil', 'Langheim']
725|Wuff|
726|Zurück|
727|Pult|
728|Wissen|
729|Bild|
730|Klingelts|['Klingelns', 'Klingelt', 'Klingelte', 'Klingelst', 'Klingel', 'Klingelton', 'Klingende', 'Klingendes', 'Kleingelds', 'Klingeln', 'Klingend', 'Klingeltons', 'Klingens', 'Clinchend', 'Klinkers', 'Clinchende', 'Klüngelns', 'Clinchendes', 'Klüngels']
731|Soll|
732|Wiedergefunden|
733|Bescheid|
734|Warten|
735|Schilder|
736|Suchen|
737|End|['Und', 'Ende', 'Eng', 'Eid', 'Lend', 'Enz', 'Ente', 'Wend', 'In', 'Äst', 'Ist', 'Mit', 'Den', 'An', 'Sind', 'Hat', 'Ins', 'Ein', 'Fand']
738|Dauerte|
739|Nur|
740|Angst|
741|Lang|
742|Tränchen|['Drängen', 'Tranchen', 'Drangen', 'Drängten', 'Krengen', 'Dringen', 'Krängen', 'Tränken', 'Dränge', 'Wrängen', 'Drängend', 'Bringen', 'Dreschen', 'Brechen', 'Grenzen', 'Rächen', 'Drängel', 'Branchen', 'Drängeln', 'Tränen']
743|Riesige|
744|Notfall|
745|Lieblingsessen|
746|Drauf|['Darauf']
747|Schule|
748|Privat|
749|Unglaublich|
750|Hämmerten|
751|Na|
752|Gedanken|
753|Such|
754|Mitbringen|
755|Hätte|
756|Aufgepasst|
757|Vermisse|
758|Springt|
759|Gelandet|
760|Plitschnass|['Klitschnass', 'Klatschnass', 'Pitschnass', 'Klitschnasse', 'Patschnass', 'Pitschnasse']
761|Wiese|
762|Frosch|
763|Mauer|
764|Wasser|
765|Konnte|
766|Geschrien|
767|Hierhin|
768|Hören|
769|Einem|
770|Blatt|
771|Gesprungen|
772|Eines|
773|Andere|
774|Seite|
775|Nass|
776|Zieht|
777|Strömt|
778|Losgerissen|
779|Geht'S|['’', '‚', '‘', '′']
780|Loslassen|
781|Zurückwinken|
782|Klappt|
783|Jagt|
784|Vorne|
785|Eingeholt|
786|Ankamen|
787|Saß|
788|Schnüffelt|
789|Fest|
790|Kräftig|
791|Wüssten|
792|Kommst|
793|Müssen|
794|Spazierengegangen|['Spazieren gegangen', 'Spazieren Gegangen']
795|Gerochen|
796|Davon|
797|Schlapp|
798|Gassi|
799|Festhalten|
800|Schneller|
801|Gelacht|
802|Neugierig|
803|Verfolgt|
804|Ins|
805|Losgelassen|
806|Nassen|
807|Freigelassen|
808|Kucken|['Kokken', 'Gucken', 'Rücken', 'Lücken', 'Kuchen', 'Knacken', 'Küchen', 'Mücken', 'Küken', 'Klicken', 'Knicken', 'Krücken', 'Tücken', 'Bücken', 'Ducken', 'Jucken', 'Kecken', 'Kicken', 'Zucken', 'Hucken']
809|Fußgängerzone|
810|Hastig|
811|Landet|
812|Geschnuppert|
813|Erschreckt|
814|Ebenfalls|
815|Bleib|
816|Stattdessen|
817|Herr|
818|Schafft|
819|Herrn|
820|Seerose|
821|Deswegen|
822|Nämlich|
823|Müssten|
824|Kurve|
825|Rutsch|
826|Wenigstens|
827|Platsch|
828|Gehorchen|
829|Her|
830|Fluss|
831|Pitschnass|
832|Zog|
833|Stramm|
834|Rannten|
835|Gezogen|
836|Entdeckt|
837|Irgendwas|
838|Treffen|
839|Frühling|
840|Komisch|
841|Wussten|
842|Geschwitzte|['Geschnitzte', 'Geschlitzte', 'Geschwülste', 'Geschwitzt', 'Geschwulste', 'Beschwatzte', 'Geschätzte', 'Beschwipste', 'Geschützte', 'Geschnitzt', 'Geschnitzten', 'Schwitzte', 'Geschnitzter', 'Verschwitzte', 'Geschnitztes', 'Anschwitzte', 'Geschweißte', 'Geschnitztem', 'Geschwärzte', 'Geschlitzt']
843|Hände|
844|Gerissen|
845|Ahnung|
846|Vielleicht|
847|Verlieren|
848|Teich|
849|Reißt|
850|Drüben|
851|Stecken|
852|Komm-Her-Zeichen|
853|Stelle|
854|Tarnt|
855|Sauer|
856|Siehst|
857|Verfolgen|
858|Erschrickt|
859|Weglaufen|
860|Plitscheplatschenass|[]
861|Hattet|
862|Geblieben|
863|Leinen|
864|Patsch|['Putsch', 'Barg', 'Pasch', 'Badisch', 'Hadsch', 'Bang', 'Matsch', 'Barsch', 'Patch', 'Patsche', 'Pötsch', 'Packs', 'Pansch', 'Paschs', 'Patscht', 'Patches', 'Platsch', 'Pitchs', 'Patche', 'Lang']
865|Hinter|
866|Grünen|
867|Gestreckt|
868|Ausgelacht|
869|Einfach|
870|Stoppen|
871|Wegläuft|
872|Tier|
873|Hinterbeine|
874|Spring|
875|Seerosenblatt|
876|Unglück|
877|Hierher|
878|Wir|
879|Trotzdem|
880|Wahr|
881|Staunte|
882|Sprang|
883|Schnüffelte|
884|Meinte|
885|Wieso|
886|Fliehen|
887|Passierts|['Passiert', 'Passwertes', 'Passierte', 'Passwerts', 'Passierst', 'Passherdes', 'Kassierte', 'Passherds', 'Kassiert', 'Basiert', 'Massiert', 'Basierte', 'Massierte', 'Passieren', 'Passworts', 'Passbergs', 'Passorts', 'Passierten']
888|Gerutscht|
889|Ärgern|
890|Dahin|
891|Seht|
892|Entwischt|
893|Erschöpft|
894|Flitzt|
895|Kinder|
896|Seil|
897|Geplumpst|
898|Irgendein|
899|Um|
900|Riecht|
901|Passieren|
902|Erzählten|
903|Loslässt|
904|Bleibt|
905|Jag|['Yak', 'Nach', 'Jak', 'Lag', 'Tag', 'Bach', 'Ja', 'Mag', 'Jan', 'Dach', 'Fach', 'Jagt', 'Wach', 'Jagd', 'Jäh', 'Joch', 'Mach', 'Yacht', 'Lach', 'Hach']
906|Leine|
907|Herrchen|
908|Spielt|
909|Lachen|
910|Rutschte|
911|Händen|
912|Verrückten|
913|Schaffen|
914|Pitsche|['Peitsche', 'Biege', 'Pritsche', 'Patsche', 'Putsche', 'Pirsche', 'Titsche', 'Pitchs', 'Dinge', 'Pythische', 'Siege', 'Fische', 'Pinge', 'Porsche', 'Britische', 'Liege', 'Dodge', 'Pilger', 'Optische', 'Putsch']
915|Patsche|
916|Landete|
917|Kommzeichen|['Komm Zeichen', 'Formzeichen', 'Kopfzeichen']
918|Loch|
919|Hinterhergerannt|
920|Schritte|
921|Legt|
922|Funktioniert|
923|Wütend|
924|Klitschnass|
925|Eingefangen|
926|Brücke|
927|Sprung|
928|Spuckt|
929|Sondern|
930|Frösche|
931|Gehabt|
932|Schnuppert|
933|Lief|
934|Wetter|
935|Stein|
936|Geflogen|
937|Verlier|
938|Reingesprungen|
939|Folgt|
940|Springen|
941|Klippe|
942|Gehüpft|
943|Aufzuhalten|
944|Mund|
945|Halten|
946|Hüpfte|
947|Froschteich|
948|Frei|
949|Stark|
950|Irgendwohin|
951|Ärgert|
952|Froschjagd|
953|Froschi|['Frosch', 'Frösche', 'Fragt', 'Frisch', 'Froschs', 'Frische', 'Forscht', 'Frage', 'Droge', 'Fidschi', 'Fröschen', 'Brosche', 'Frischs', 'Forsch', 'Forsche', 'Dröge', 'Flöge', 'Frischei']
954|Aufgeregt|
955|Hundeleine|
956|Gucken|
957|Rutschig|
958|Hergelaufen|
959|Verrutscht|
960|Verrückte|
961|Rast|
962|Wegfliegt|
963|Friert|
964|Zittert|
965|Armer|
966|Runtergerutscht|['Heruntergerutscht']
967|Unter|
968|Irgendetwas|
969|Versehen|
970|Plumps|
971|Gebrüll|
972|Möglich|
973|Losgerannt|
974|Steckengeblieben|
975|Entdeck|['Enddruck', 'Entdeckt', 'Entdecke', 'Entdecker', 'Entdeckte', 'Entdecken', 'Endzweck', 'Entdeckst', 'Endberg', 'Enddrucke', 'Enddrucks', 'Endteil', 'Endterm', 'Endtest', 'Endtext', 'Erddecke']
976|Anderes|
977|Weglauft|
978|Knurrte|
979|Pfote|
980|Knickt|
981|Rufen|
982|Beiden|
983|Wupps|['Jupps', 'Cups', 'Wuchs', 'Puppe', 'Jupp', 'Kubas', 'Kuppe', 'Suppe', 'Wupper', 'Coupés', 'Pubs', 'Tipps', 'Trupps', 'Krupps', 'Kubus', 'Bubis', 'Guppy', 'Mumps', 'Wurms', 'Wurfs']
984|Pitschepatschenass|[]
985|Flussmauer|
986|Wehtat|
987|Hinterherlaufen|
988|Steckt|
989|Wie|
990|Lisa|
991|Hochgesprungen|
992|Eilig|
993|Abgerutscht|
994|Tages|
995|Einfangen|
996|Flutscht|
997|Gefällt|
998|Erzählt|
999|Gern|
1000|Tat|
1001|Reiß|
1002|Wind|
1003|Juckt|
1004|Darüber|
1005|Karton|
1006|Kriechen|
1007|Kartons|
1008|Spielen|
1009|Max|
1010|Steine|
1011|Versteckt|
1012|Wo|
1013|Bewegte|
1014|Wundern|
1015|Grade|
1016|Obwohl|
1017|Hocker|
1018|Dabei|
1019|Schlüpft|
1020|Kriecht|
1021|Stürzt|
1022|Rückt|
1023|Kopf|
1024|Gekrabbelt|
1025|Krabbelt|
1026|Setzen|
1027|Popo|
1028|Görken|['Glocken', 'Kargen', 'Gurken', 'Knacken', 'Glucken', 'Klicken', 'Glücken', 'Knicken', 'Gören', 'Jörgen', 'Hören', 'Werken', 'Klacken', 'Sorgen', 'Wirken', 'Körnen', 'Garten', 'Können', 'Jürgen', 'Gingen']
1029|Burg|
1030|Kiste|
1031|Bauklötze|
1032|Konzentriert|
1033|Thomas|
1034|Steinklötze|
1035|Dennoch|
1036|Letzten|
1037|Herum|
1038|Erschreckten|
1039|Schreck|
1040|Drunter|
1041|Draufsetzen|
1042|Stand|
1043|Umstürzt|
1044|Hielten|
1045|Lust|
1046|Verkriecht|
1047|Hielt|
1048|Starrten|
1049|Löcher|
1050|Geist|
1051|Unterm|
1052|Bauen|
1053|Kaputtgegangen|
1054|Moment|
