|0|1|2|3
39|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Geld; geht; gilt; Welt; galt; hält; gelb; Feld; Held; kalt; gelte; Zelt; gebt; gälte; gärt; Belt; gell; gäbt; kegle
geld
^^^^"|||
40|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Eisverkäufer; Eispferdeufer; Eisverkäufern; Eisverkäufers; Losverkäufer
eisferkeufer
^^^^^^^^^^^^"|||
41||||
42||||
43|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: IR; die; in; im; ist; mit; ein; er; bis; sie; wie; ihm; ihn; ihr; ins; hin; Art; Ort; ich; nie
ir
^^"|||
44|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fängt; hängt; denkt; lenkt; senkt; funkt; pflückt; fangt; fingt; flickt; flockt; fängst; mengt; pflockt; renkt; sengt; Bengt; zeigt; fest; folgt
fenkt
^^^^^"|||
45|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: geht; gut; gen; lädt; rät; geh; keV; red; kt; sät; gebt; gärt; gäb; Jet; Met; Set; et; gäbt; kämt; käst
get
^^^"|||
46|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Soldat; Stoppt; Stolpe; Stolpert; Solebad; Stülpt; Spülbad; Stolper; Stola; Stolpre; Stolp; Stopft; Stoppst; Stolps; Störbar; Stopbit; Stülpst
Stolpat
^^^^^^^"|||
47|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Opa; dpa; Spa; übe; übt; über; ab; da; gab; ob; ha; bat; ja; spät; Abt; bar; mbH; via; Eva; Kuba
üba
^^^"|||
48|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fällt; fehlt; füllt; fällte; bellt; hellt; fallt; feilt; fälle; fällst; gellt; pellt; pfählt; wellt; stellt; Welt; fest; folgt; zählt
fellt
^^^^^"|||
49|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: hin; Sinn; hing; Zinn; Kinn; hinan; Linn; Finn; Fynn; Lynn; in; ein; eine; einen; sind; kann; dann; hier; ihn; ins
hinn
^^^^"|||
50|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: IDE; die; de; Ute; ade; Bde; Eide; Ode; Tide; Ude; öde; der; in; den; des; im; ist; dem; eine; oder
ide
^^^"|||
51|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gibt; liebt; gräbt; kippt; gießt; klebt; gebt; fiept; giert; gilbt; hiebt; piept; riebt; siebt; ziept; liegt; geht; gilt; dient; hielt
giebt
^^^^^"|||
52|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: glücklich; klügle; klüglich
glüklieg
^^^^^^^^"|||
53|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: bekommen; bekamen; bekämen; begonnen; bekommt; bezogen; befohlen; begeben; begehen; behoben; betonen; bewohnen; begaben; bewogen; kämen; Backofen; Päckchen; bekomme; bekäme; belogen
bekomen
^^^^^^^"|||
54|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: kaputt; kaut; gabst; gabt; gäbet; gäbst; gäbt; kappt; gab; gibt; gut; galt; gebaut; kaum; laut; Papst; gaben; Debüt; baut; glaubt
kabut
^^^^^"|||
55|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: hingefallen; eingefallen; hingehalten; hingefahren; hingefallene; hingehauen; hingemalten; hingeraten
hingefalen
^^^^^^^^^^"|||
56|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ihr; Uhr; Ohr; rar; Ahr; rhe; rühr; der; er; für; war; zur; mehr; nur; vor; Jahr; ihm; ihn; ihre; sehr
rhr
^^^"|||
57|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Spielt; Teilt; Hielt; Täfelt; Teile; Behielt; Teil; Dient; Gezielt; Regelt; Teils; Behält; Feiert; Teilte; Zielt; Trient; Triest; Teilen; Eilt; Gekielt
Teielt
^^^^^^"|||
58|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: höchste; möge; mischte; Vögte; löschte; böschte; mögt; legte; sagte; höchsten; nächste; möchte; fügte; höchst; höchster; sechste; mögen; regte; tagte; wagte
möschde
^^^^^^^"|||
59|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: passt; fast; bald; bat; baut; Gast; bist; hast; last; post; Bast; bass; rast; büßt; pass; blast; patt; barst; basta; paust
past
^^^^"|||
60|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: feil; teil; weil; fiel; viel; fein; fehl; Seil; fair; Keil; heil; Beil; feig; feile; Heil; Mail; Peil; Teil; Zeil; feie
veil
^^^^"|||
61|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: höchste; löste; möchte; möge; mischte; Vögte; löschte; böschte; döste; miste; moste; mäste; möget; mögt; röste; erste; machte; legte; Liste; beste
möschte
^^^^^^^"|||
62|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: in; und; von; an; vom; vor; ins; ohne; oft; zog; Tod; ob; Rom; bot; eng; sog; uns; Hof; Tor; ans
on
^^"|||
63|"Offset 0, length 13, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: runtergefallen; runtergefahren; runtergehalten; runtergehauen; runtergeladen
runtergefalen
^^^^^^^^^^^^^"|||
64|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ein; er; Bern; Kern; gern; fern; Fern; Lern; lern; der; in; den; von; an; eine; es; man; sein; deren; erst
ern
^^^"|||
65|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fehlt; pfählt; zählt; fällt; fährt; fehlte; fühlt; verhält; wählt; fehl; fehle; fehlst; feilt; hehlt; kehlt; pfähle; pfählst; pfählte; führt
fählt
^^^^^"|||
66|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fegen; gegen; wegen; legen; regen; rächen; fügen; Bächen; Degen; Segen; lägen; hegen; vagen; fechten; feigen; sägen; Mägen; fachen; rechen; wägen
vegen
^^^^^"|||
67|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: klüglich; kläglich; klügliche; glücklich; grünlich; flüchtig; klanglich; gütlich; klägliche; kärglich; füglich; klüftig; klüglichem; klüglichen; klüglicher; klügliches
glüglich
^^^^^^^^"|||
68|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: feind; fein; meint; Feind; Saint; feine; weint; eint; feinst; feist; Teint; feilt; feinde; feit; feixt; ein; eine; sein
veint
^^^^^"|||
69||||
70|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: drückt; knickt; druckt; glückt; klickt; knackt; brockt; checkt; geigt; klackt; kragt; treckt; gibt; gilt; zeigt; tritt; trägt; geriet; wirkt; Brücke
krikt
^^^^^"|||
71|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: bisschen; eigen; Ligen; Nischen; mischen; biegen; fischen; picken; wischen; biogen; zischen; tischen; Eigen; Fischen; Mischen; Tischen; Wischen; Zischen; bogen; bögen
bischen
^^^^^^^"|||
72||||
73|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: schlägt; glückt; schluckt; schlackt; schleckt; gelegt; schlecht; schläft; schmeckt; schmückt; gelockt; glückte; schreckt; schluckte; schlagt; gluck; gluckst; glücke; glückst; schlacke
schlekt
^^^^^^^"|||
74|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: al es; als; alles; Wales; altes; Aales; Sales; Tales; Yales; fläz; Öles; Oles; des; aus; es; aber; alle; allem; allen; aller
ales
^^^^"|||
75|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Tröpfchen; Tropischen; Throneschen; Tropische; Tropischer; Tropisches; Tropischem; Topischen; Trophischen; Atrophischen; Droschen; Dröschen; Orffschen; Strophischen; Torfigen; Kröpfchen
TroPfschen
^^^^^^^^^^"|||
76|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
gestolPat
^^^^^^^^^"|||
77|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: weggetan; wegtun; wehgetan; wegen; wegtat; getan; weg-dank; angetan; weg-tank; abgetan; weg-tanz; zugetan; weg-tat; wägen; weg-tun; Bäketal; Vegeta; vegan; vertan; weggetane
wegetan
^^^^^^^"|||
78|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Blicklochs; Glücklich; Glöckleins; Glückliche; Glückliches; Glücklichst
Glöklesch
^^^^^^^^^"|||
79|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sich; ich; mich; reich; Erich; dich; reg; wich; roch; brich; eich; Aich; Eich; Gig; Sikh; zig; auch; nach; nicht; noch
rich
^^^^"|||
80|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Spatzen; Spalthirn
Spatzirn
^^^^^^^^"|||
81|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fand; fast; bald; galt; alt; fällt; hält; Wald; kalt; Salt; halt; malt; fault; falb; falte; Halt; Kalt; aalt; fall; fallt
falt
^^^^"|||
82|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Liebt; Gibt; Fiept; Hiebt; Gräbt; Piept; Kippt; Riebt; Gießt; Siebt; Klebt; Ziept; Gebt; Liegt; Giert; Dient; Gilbt; Hielt; Lebt; Sieht
Giebt
^^^^^"|||
83|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ein; eine; einen; Wien; seien; eben; eigen; eilen; Kien; eiern; feien; äsen; äßen; die; in; den; einem; einer; sie; wie
eien
^^^^"|||
84|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Nachrufe; Nachhause; Nachzüge; Bachaue; Nachtue; Nachbaus; Bagasse; Nachguss; Dachaus; Nachlese; Dachfüße; Zachäus; Nachfüge; Ankrause; Nachlöse; Nachgüsse; Nachahme; Nachsäße; Nachtauge; Nachbaue
Nachause
^^^^^^^^"|||
85|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Bäckt; Legt; Lockt; Deckt; Leckt; Rückt; Lech; Lägt; Lücke; Lebt; Legte; Weckt; Bäcker; Lädt; Legat; Hegt; Lenkt; Packt; Lockte; Regt
Lekt
^^^^"|||
86||||
87|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gestärkt; vermerkt; gemerkt; gehegt; geherzt; gemengt
gehmergt
^^^^^^^^"|||
88||||
89|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: geht tropft; geh-tropfe; getropft
gehttropft
^^^^^^^^^^"|||
90|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gefallen; gehalten; gefangen; geraten; gefahren; geladen; genauen; realen; befallen; gefällt; geraden; Rivalen; gefallene; gefaltet; gemalten; legalen; Gefäßen; gebären; gehauen; gemahlen
gefalen
^^^^^^^"|||
91|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Mystik; rissig; listig; rüstig; mistig; rispig; rittig; rostig; Kritik; richtig; mittig; geistig; giftig; lustig; hastig; lästig; Gestik; Kristin; riesig; bissig
ristig
^^^^^^"|||
92|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: klügelst; Fluglist; klüglich; Glühlist
glüglist
^^^^^^^^"|||
93|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ist; IS; die; in; im; mit; ein; bis; es; sie; wie; ihm; ihn; ihr; ins; hin; ich; nie; wir; bin
is
^^"|||
94|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: schnell; scheel; schwer; schied; gelb; schien; schnelle; schmal; schräg; schöne; schönen; Agnes; Schnee; gen; schöner; schief; schwul; schönes; Igel; geh
schnel
^^^^^^"|||
95|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Hinter; Winter; Hinte; Hinten; Hintere; Hintern; Hinterm; Hintes; Hinters; Sinter; Kinder; Seither; Hinder; Ritter; Dieter; Günter; Günther; Hinteren; Hitler
Hinther
^^^^^^^"|||
96|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sind; Kind; Wind; singt; sinkt; Rind; sing; find; sinnt; eint; lind; zünd; Linth; Pint; bind; zinkt; in; ist; mit; ein
sint
^^^^"|||
97||||
98|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: einwirken; eisarmen; erzwangen; erstarken; Eismarken; Eiswagen; einharken; einparken; einsargen; einwarben; einwarfen; erzwängen
eiswargen
^^^^^^^^^"|||
99|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: die; ist; mit; ein; zu; bis; sie; wie; so; hin; sei; nie; sah; sog; wir; bin; min; mir; saß; Eis
si
^^"|||
100|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ein; Ei; der; die; den; des; mit; dem; er; bei; bis; es; sie; wie; hin; neu; sei; New; her; nie
ei
^^"|||
101|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: und; uns; bunt; uni; Bunt; unkt; übt; in; ist; mit; an; um; hat; nur; unter; ins; Ende; Juni; gut; nun
unt
^^^"|||
102|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sich; sie; sah; zäh; sieh; zieh; zisch; zig; seh; die; in; im; ist; mit; ein; zu; bis; sind; wie; zum
sih
^^^"|||
103|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: stolper; stoppen; steiler; steifer; stolpert; stolzer; stolpern; schleuder; steiger; steuer; steuere; steure; stocher; stolpere; stolpre; stoppe; stotter; stöber; störbar
schtoiper
^^^^^^^^^"|||
104|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Versucht; Versuch; Verfügt; Verzicht; Versuchte; Ersucht; Versagt; Versuchs; Versuche; Verzug; Verbucht; Verzuge; Verseucht; Verzugs; Verfugt; Verzüge; Verrucht; Versuchst; Verzagt; Besucht
Fersucht
^^^^^^^^"|||
105|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Werken; lernen; Flecken; lenken; bergen; merken; Särgen; lärmen; Bergen; Kerken; Merken; blecken; lecken; werken; Mencken; leaken; werden; deren; liegen; langen
lerken
^^^^^^"|||
106|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gebt; gäbt; gibt; geht; lebt; gebe; hebt; gäbe; gebot; bebt; webt; gärt; gäb; Sept; gabt; geb.; gäbet; gäbst; kämt; käst
gept
^^^^"|||
107|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: FOS; Fuß; Von; Los; Vom; Moos; Vor; Zoos; Löß; Fez; Bös; Fes; Food; Höß; Fön; Föns; Pos; Ufos; Phon; Fis
Fos
^^^"|||
