|original|corrected|filename|freq_ori|freq_cor|freq_tup|suggestions|in_sugg|sugg_idx|idx0
17|gieben|geben|01-006-2-III-Eis.csv|1|3|1|['gerieben', 'Giebeln', 'Kiepen', 'rieben', 'gäben', 'geben', 'geriebenen', 'gerben', 'hieben', 'Kippen']|True|5.0|False
18|wollt|wollte|01-006-2-III-Eis.csv|2|201|2|['wollt', 'Wollt', 'wollte', 'wollten', 'wolltest', 'Wöllt', 'Wollte', 'wollen', 'Wollten', 'wöllst']|True|2.0|False
19|feid|fällt|01-006-2-III-Eis.csv|1|198|1|['feit', 'Feind', 'feiner', 'feige', 'feilt', 'feig', 'fein', 'seid', 'fad', 'feinen']|False||False
20|gen|gehen|01-012-2-III-Eis.csv|31|78|31|['gen', 'Gen', 'gehn', 'gehen', 'gegen', 'Jeden', 'Gähn', 'gern', 'Gehn', 'engen']|True|3.0|False
21|wil|will|01-012-2-III-Eis.csv|95|157|95|['will', 'weil', 'Will', 'wild', 'wildern', 'Weil', 'willen', 'Wild', 'wäll', 'Viel']|True|0.0|True
22|gipt|gibt|01-012-2-III-Eis.csv|18|42|18|['gibt', 'gipste', 'Gibt', 'genippt', 'kippt', 'gibts', 'gekippt', 'gibst', 'gepiepst', 'hergibt']|True|0.0|True
23|ter|der|01-012-2-III-Eis.csv|1|9|1|['Tee', 'der', 'Teer', 'tür', 'tigern', 'otter', 'Tacker', 'där', 'lichter', 'Tees']|True|1.0|False
24|ap|ab|01-012-2-III-Eis.csv|26|30|26|['ab', 'aber', 'Ab', 'lapp', 'hab', 'Alp', 'papa', 'taub', 'gab', 'Aber']|True|0.0|True
25|ale|alle|01-012-2-III-Eis.csv|34|39|33|['alle', 'alte', 'eile', 'male', 'Alle', 'Ahle', 'Alte', 'aalte', 'radle', 'allen']|True|0.0|True
26|frölich|fröhlich|01-012-2-III-Eis.csv|51|92|51|['fröhlich', 'Fröhlich', 'fröhliche', 'fröhlichem', 'fröhlichen', 'fröhlicher', 'Fröhliche', 'fraglich', 'fröhlicheren', 'Fröhlichen']|True|0.0|True
27|siend|sind|01-025-2-III-Eis.csv|16|66|16|['sind', 'sinnt', 'siedend', 'Sind', 'ziehend', 'sehend', 'singend', 'sinnend', 'spinnt', 'sirrend']|True|0.0|True
28|weitagegangen|weitergegangen|01-025-2-III-Eis.csv|1|1|1|['weitergegangen', 'weitergingen', 'weitergedacht', 'weitergebracht', 'weitergegeben', 'weitergekrochen', 'weiterklangen', 'weitergemacht', 'weitergetragen', 'weiterginge']|True|0.0|True
29|natürlig|natürlich|01-025-2-III-Eis.csv|1|19|1|['natürlich', 'Natürlich', 'natürliche', 'natürlicher', 'natürlichen', 'natürlisch', 'Natürliche', 'Natürlisch', 'natürliches', 'unnatürlich']|True|0.0|True
30|üder|über|01-025-2-III-Eis.csv|8|35|8|['müder', 'über', 'öder', 'Über', 'müdes', 'übler', 'mürber', 'süßer', 'übern', 'übers']|True|1.0|False
31|ier|ihr|01-025-2-III-Eis.csv|7|40|6|['Ier', 'hier', 'irr', 'Hier', 'ihr', 'eer', 'immer', 'ihrer', 'vier', 'mir']|True|4.0|False
32|runder|runter|01-025-2-III-Eis.csv|18|60|18|['runder', 'runter', 'rundes', 'runden', 'rundem', 'runde', 'Runter', 'herunter', 'rundlicher', 'Rundes']|True|1.0|False
33|harden|haben|01-025-2-III-Eis.csv|2|19|2|['harten', 'hauten', 'hartem', 'Harten', 'harrten', 'Horden', 'Herden', 'hauteng', 'häuten', 'Hartem']|False||False
34|schneel|schnell|01-025-2-III-Eis.csv|1|76|1|['schnell', 'Schnell', 'scheel', 'Schnäbel', 'schnellt', 'schnelle', 'schnellem', 'schnellen', 'Scheel', 'Schnee']|True|0.0|True
35|haten|hatten|01-025-2-III-Eis.csv|53|55|53|['hatten', 'harten', 'halten', 'haßten', 'hakten', 'haften', 'Atem', 'hartem', 'Atmen', 'hasten']|True|0.0|True
36|arder|aber|01-025-2-III-Eis.csv|3|60|3|['achter', 'öder', 'harter', 'armer', 'Achter', 'arger', 'oder', 'fahrender', 'achtern', 'artiger']|False||False
37|gugel|Kugel|01-025-2-III-Eis.csv|1|3|1|['kugel', 'Kugel', 'Gurgel', 'gurgeln', 'kugeln', 'Kugeln', 'gurgelt', 'kugelt', 'guterl', 'googeln']|True|1.0|False
38|hate|hatte|01-025-2-III-Eis.csv|400|427|400|['hatte', 'halte', 'harte', 'haste', 'haßte', 'Hute', 'hakte', 'Hatte', 'Halte', 'Atme']|True|0.0|True
39|geld|gelb|01-025-2-III-Eis.csv|1|1|1|['Geld', 'gelt', 'gellt', 'gelb', 'gelang', 'gellend', 'gell', 'gold', 'gelegt', 'Gelder']|True|3.0|False
40|eisferkeufer|Eisverkäufer|01-026-2-III-Eis.csv|1|4|1|['Eisverkäufer', 'Eisverkäufers', 'Eisverkäuferin', 'Zeitungsverkäufer', 'Verkäufer', 'ausverkaufte', 'ausverkauften', 'Verkäufern', 'Verkäufers', 'verkaufa']|True|0.0|True
41|in|ihn|01-026-2-III-Eis.csv|261|270|260|['in', 'ihn', 'In', 'im', 'Ihn', 'hin', 'ins', 'sin', 'am', 'IN']|True|1.0|False
42|Dan|Dann|01-026-2-III-Eis.csv|188|197|185|['Dan', 'Dann', 'dann', 'Darin', 'Dean', 'Dank', 'Dran', 'Damen', 'Darm', 'Dar']|True|1.0|False
43|ir|ihr|01-026-2-III-Eis.csv|27|40|27|['irr', 'ihr', 'Ihr', 'mir', 'irrt', 'Ihre', 'fir', 'ihre', 'ihren', 'dir']|True|1.0|False
44|fenkt|fängt|01-026-2-III-Eis.csv|1|29|1|['pfenkt', 'fängt', 'Fängt', 'verhängt', 'fängst', 'fing', 'Fänge', 'fangt', 'senkt', 'Fangt']|True|1.0|False
45|get|geht|01-026-2-III-Eis.csv|56|85|56|['geht', 'gelt', 'gehst', 'gebt', 'Geht', 'Gehet', 'Jet', 'geit', 'getan', 'gehd']|True|0.0|True
46|Stolpat|stolpert|01-026-2-III-Eis.csv|2|27|2|['Stolperst', 'stolpert', 'Stolpernd', 'stolperst', 'Stolper', 'Stolpern', 'stolperte', 'stolperten', 'Stoppt', 'stolpernd']|True|1.0|False
47|üba|über|01-026-2-III-Eis.csv|7|35|7|['über', 'übe', 'Über', 'übten', 'üben', 'übern', 'Übe', 'übers', 'übel', 'überm']|True|0.0|True
48|fellt|fällt|01-026-2-III-Eis.csv|9|198|9|['fällt', 'fehlt', 'pellt', 'fallt', 'Fällt', 'Fallt', 'fällst', 'Fehlt', 'fällte', 'fälltest']|True|0.0|True
49|hinn|hin|01-026-2-III-Eis.csv|2|17|2|['hinnen', 'hinne', 'hindern', 'hinein', 'hin', 'hinan', 'hinten', 'hingen', 'haun', 'Hinein']|True|4.0|False
50|ide|Idee|01-026-2-III-Eis.csv|12|34|12|['Idee', 'miede', 'linde', 'Ideen', 'meide', 'Ade', 'ideal', 'jede', 'indes', 'siehe']|True|0.0|True
51|giebt|gibt|01-026-2-III-Eis.csv|16|42|15|['gibt', 'Gibt', 'gibts', 'gibst', 'geliebt', 'gübt', 'gebt', 'gesiebt', 'geerbt', 'hergibt']|True|0.0|True
52|glüklieg|glücklich|01-026-2-III-Eis.csv|1|163|1|['glückselig', 'glücklich', 'Glücklich', 'glückselige', 'glückliche', 'glückseligen', 'Glückliche', 'glücklicher', 'glücklichen', 'glücklichem']|True|1.0|False
53|bekomen|bekommen|01-028-2-III-Eis.csv|19|31|18|['bekommen', 'Bekommen', 'beklommen', 'bekämen', 'bekommt', 'bekamen', 'bekämpfen', 'Beklommen', 'beklommenen', 'herbekommen']|True|0.0|True
54|kabut|kaputt|01-028-2-III-Eis.csv|4|126|4|['kaputt', 'Kaputt', 'kaut', 'kaputte', 'kaputtem', 'kaputten', 'kaputtes', 'Kabuff', 'kaputter', 'kaust']|True|0.0|True
55|hingefalen|hingefallen|01-028-2-III-Eis.csv|5|11|5|['hingefallen', 'Hingefallen', 'hereingefallen', 'angefallen', 'eingefallen', 'hineingefallen', 'hingefahren', 'hinabgefallen', 'eingefallenen', 'hinuntergefallen']|True|0.0|True
56|rhr|ihr|01-028-2-III-Eis.csv|1|40|1|['Ohr', 'rar', 'rein', 'rühr', 'roher', 'Rohr', 'röhrt', 'hehre', 'Ohrs', 'ehr']|False||False
57|Teielt|teilt|01-028-2-III-Eis.csv|1|6|1|['Teilt', 'teilt', 'teilst', 'Teilen', 'teilte', 'teilten', 'Teil', 'Teile', 'Teils', 'teilen']|True|1.0|False
58|möschde|möchte|01-029-2-III-Eis.csv|1|14|1|['möschte', 'möchte', 'Möchte', 'mäste', 'möchten', 'möchtet', 'mischte', 'möch', 'müsste', 'Möchten']|True|1.0|False
59|past|passt|01-029-2-III-Eis.csv|2|3|2|['passt', 'paßt', 'prost', 'patzt', 'Passt', 'passte', 'Paßt', 'packst', 'spaßig', 'sparst']|True|0.0|True
60|veil|weil|01-029-2-III-Eis.csv|4|82|4|['feil', 'Weil', 'weil', 'feilt', 'viel', 'feilen', 'Weile', 'verteil', 'feiler', 'weilt']|True|2.0|False
61|möschte|möchte|01-029-2-III-Eis.csv|2|14|2|['möschte', 'möchte', 'Möchte', 'möchten', 'möchtet', 'mischte', 'Möchten', 'Möchtet', 'möcht', 'mäste']|True|1.0|False
62|on|und|01-029-2-III-Eis.csv|2|106|2|['än', 'ohne', 'an', 'ordne', 'pfon', 'ordnen', 'Ohne', 'oine', 'Hohn', 'mond']|False||False
63|runtergefalen|runtergefallen|01-029-2-III-Eis.csv|12|28|12|['runtergefallen', 'heruntergefallen', 'heruntergefallenen', 'heruntergefallenem', 'runtergefallenes', 'heruntergefallenes', 'runterfallen', 'heruntergefahren', 'hinuntergefallen', 'herunterfallen']|True|0.0|True
64|ern|er|01-029-2-III-Eis.csv|2|14|2|['lern', 'fern', 'ehernen', 'eiern', 'lernen', 'untern', 'gern', 'ehren', 'lerne', 'andern']|False||False
65|fählt|fällt|01-029-2-III-Eis.csv|5|198|5|['fällt', 'wählt', 'Fehlt', 'fächelt', 'Wählt', 'Fällt', 'pfählen', 'fehlt', 'Pfählen', 'wählst']|True|0.0|True
66|vegen|wegen|01-029-2-III-Eis.csv|1|5|1|['fegen', 'Wegen', 'verhängen', 'Fegen', 'wegen', 'vagen', 'vergehn', 'vergehen', 'fegten', 'pflegen']|True|4.0|False
67|glüglich|glücklich|01-029-2-III-Eis.csv|18|163|18|['glücklich', 'Glücklich', 'glückliche', 'glücklichem', 'glücklichen', 'glücklicher', 'Glückliche', 'Glücklichen', 'glücklicheren', 'glückliches']|True|0.0|True
68|veint|weint|01-029-2-III-Eis.csv|1|67|1|['Weint', 'vereint', 'weint', 'verdient', 'Weinst', 'Feind', 'verdingt', 'Weinte', 'vereinst', 'feinste']|True|2.0|False
69|hie|hier|01-029-2-III-Eis.csv|1|55|1|['hie', 'Hie', 'hieß', 'hier', 'hieb', 'Hieß', 'hißte', 'Hier', 'Hiebe', 'Hieb']|True|3.0|False
70|krikt|kriegt|01-037-2-III-Eis.csv|8|51|8|['kriegt', 'Kriegt', 'kriegst', 'kriegte', 'kriegten', 'kriecht', 'Kricket', 'Kriegst', 'kickst', 'klickst']|True|0.0|True
71|bischen|bisschen|01-037-2-III-Eis.csv|20|57|20|['bieschen', 'bisschen', 'bißchen', 'Bisschen', 'nubischen', 'Büschen', 'bisch', 'bissen', 'bisher', 'pirschen']|True|1.0|False
72|au|auf|01-037-2-III-Eis.csv|6|17|1|['Au', 'hau', 'aus', 'auf', 'tau', 'mau', 'AU', 'rau', 'lau', 'bau']|True|3.0|False
73|schlekt|schleckt|01-037-2-III-Eis.csv|2|4|1|['schleckt', 'Schleckt', 'schlägt', 'schlecht', 'schleckte', 'schleckten', 'schlägst', 'Schlägt', 'Schlecht', 'geschleckt']|True|0.0|True
74|ales|alles|01-037-2-III-Eis.csv|35|37|34|['alles', 'altes', 'Alles', 'Altes', 'alters', 'baldiges', 'fahles', 'reales', 'als', 'halbes']|True|0.0|True
75|TroPfschen|Tröpfchen|01-045-2-III-Eis.csv|1|2|1|['Tröpfchen', 'Tropfstein', 'Tropfen', 'Tropfsteinen', 'tropften', 'tropfen', 'tropischen', 'Tropfsteine', 'tropfst', 'tropfend']|True|0.0|True
76|gestolPat|gestolpert|01-045-2-III-Eis.csv|1|14|1|['gestolpert', 'angestolpert', 'gestülpt', 'gestoppt', 'stolpert', 'reingestolpert', 'nachgestolpert', 'herangestolpert', 'entgegenstolperte', 'gestöbert']|True|0.0|True
77|wegetan|wehgetan|01-045-2-III-Eis.csv|11|17|11|['wehgetan', 'Wehgetan', 'wegtun', 'wegtreten', 'weggetragen', 'weghechten', 'weggetaut', 'Vegetarierin', 'wegreden', 'werkelten']|True|0.0|True
78|Glöklesch|glücklich|01-045-2-III-Eis.csv|1|163|1|['Glücklich', 'Glückliches', 'Glückslächeln', 'Glückes', 'glücklich', 'Glückliche', 'Glücklichen', 'Glücklicher', 'glückliches', 'Glöckchen']|True|4.0|False
79|rich|riech|01-045-2-III-Eis.csv|2|2|2|['riech', 'reinlich', 'Riech', 'reich', 'rieche', 'riecht', 'rück', 'ritzt', 'riechen', 'strich']|True|0.0|True
80|Spatzirn|spazieren|01-049-2-III-Eis.csv|1|116|1|['Spatzenhirn', 'Spazieren', 'Spatzenhirnen', 'Spazier', 'Spatzenhirne', 'spazieren', 'Spatzerln', 'Spaziert', 'spaziere', 'spazierten']|True|5.0|False
81|falt|fallt|01-049-2-III-Eis.csv|9|11|9|['fault', 'fallt', 'Fallt', 'feilt', 'fällt', 'falte', 'falten', 'faltest', 'weilt', 'faltig']|True|1.0|False
82|Giebt|gibt|01-049-2-III-Eis.csv|1|42|1|['Gibt', 'Gibst', 'gibt', 'Gebt', 'Geerbt', 'Giebel', 'gibts', 'Gib', 'Gebot', 'gibst']|True|2.0|False
83|eien|eine|01-049-2-III-Eis.csv|2|9|1|['eigen', 'eilen', 'seien', 'einen', 'eiern', 'Eises', 'Eiben', 'Eisen', 'ein', 'leidigen']|False||False
84|Nachause|nachhause|01-049-2-III-Eis.csv|1|10|1|['Nachhause', 'Nachbarhäuser', 'Nachtbusse', 'nachlauschen', 'Nachbarhäusern', 'Nachweise', 'Nachtaugen', 'Nachhausegehen', 'Nachlaufen', 'Nachhauseweg']|False||False
85|Lekt|leckt|01-049-2-III-Eis.csv|4|42|4|['Leckt', 'Legt', 'leckt', 'Legst', 'Lenk', 'legt', 'lenkt', 'Leg', 'Legte', 'Legen']|True|2.0|False
86|siech|sich|01-054-2-III-Eis.csv|24|55|24|['siecht', 'sich', 'sieh', 'siehe', 'Sieg', 'sie', 'Sich', 'sisch', 'riech', 'seicht']|True|1.0|False
87|gehmergt|gemerkt|01-054-2-III-Eis.csv|1|10|1|['gemerkt', 'vermerkt', 'bemerkt', 'geschmiegt', 'gehegt', 'gemehrt', 'geharkt', 'geschmeckt', 'gehämmert', 'genehmigt']|True|0.0|True
88|das|dass|01-054-2-III-Eis.csv|985|1017|981|['das', 'dass', 'Das', 'daß', 'Dass', 'Daß', 'dem', 'da', 'die', 'dasss']|True|1.0|False
89|gehttropft|getropft|01-054-2-III-Eis.csv|1|2|1|['getropft', 'gestopft', 'abgetropft', 'tropft', 'gehopst', 'gepfropft', 'gerupft', 'getupft', 'gestopften', 'getobt']|True|0.0|True
90|gefalen|gefallen|01-054-2-III-Eis.csv|50|69|50|['gefallen', 'Gefallen', 'gefallenen', 'gefallene', 'Gefallenen', 'gefallener', 'gefeilten', 'Gefallene', 'gefällten', 'gefaulenzt']|True|0.0|True
91|ristig|richtig|01-054-2-III-Eis.csv|1|9|1|['rüstig', 'richtig', 'rostig', 'listig', 'rissig', 'rüstige', 'rischtiger', 'Richtig', 'riesig', 'richtige']|True|1.0|False
92|glüglist|glücklich|01-054-2-III-Eis.csv|1|163|1|['glücklichste', 'glücklichsten', 'glücklichstes', 'unglücklichste', 'glückliches', 'glücklich', 'glücklichen', 'klügste', 'Glückliches', 'klügsten']|True|5.0|False
93|is|iss|01-054-2-III-Eis.csv|19|2|1|['is', 'iß', 'iss', 'es', 'Ist', 'Iss', 'ist', 'ichs', 'ins', 'sin']|True|2.0|False
94|schnel|schnell|01-054-2-III-Eis.csv|60|76|60|['schnell', 'Schnell', 'schnellt', 'schnelle', 'schnellem', 'schnellen', 'scheel', 'schell', 'schnall', 'schneller']|True|0.0|True
95|Hinther|hinterher|01-054-2-III-Eis.csv|1|38|1|['Hinterher', 'Hinter', 'hinterher', 'hinter', 'Hintern', 'Hinterm', 'Hinunter', 'hinters', 'hinterem', 'hinterer']|True|2.0|False
96|sint|sind|01-057-2-III-Eis.csv|20|66|20|['sinkt', 'sinnt', 'sind', 'singt', 'Sind', 'Sinkt', 'Singt', 'ist', 'sinket', 'spinnt']|True|2.0|False
97|i|in|01-057-2-III-Eis.csv|2|21|1|['i', 'I', 'in', 'is', 'iß', 'im', 'ni', 'In', 'ich', 'ihn']|True|2.0|False
98|eiswargen|Eiswagen|01-057-2-III-Eis.csv|1|3|1|['Eiswagen', 'einsargen', 'erwogen', 'Eiswolken', 'erwarben', 'hereinwagen', 'erwürgen', 'einwirken', 'auswirken', 'Esswaren']|True|0.0|True
99|si|sie|01-057-2-III-Eis.csv|51|86|46|['sie', 'sieh', 'sin', 'siehe', 'sei', 'Sie', 'sich', 'Sieh', 'is', 'Sic']|True|0.0|True
100|ei|ein|01-057-2-III-Eis.csv|5|26|4|['Ei', 'ein', 'bei', 'eil', 'sei', 'eich', 'Ein', 'leih', 'Eis', 'mein']|True|1.0|False
101|unt|und|01-057-2-III-Eis.csv|30|106|30|['und', 'unkt', 'unten', 'bunt', 'Und', 'turnt', 'unter', 'Unten', 'unteren', 'untern']|True|0.0|True
102|sih|sie|01-057-2-III-Eis.csv|11|86|8|['sieh', 'Sieh', 'sich', 'Sich', 'sitz', 'siehe', 'sieht', 'zieh', 'Seh', 'Sieht']|False||False
103|schtoiper|stolper|01-057-2-III-Eis.csv|1|1|1|['stolper', 'Stolper', 'stolpern', 'stolpert', 'stolpere', 'Stolpern', 'stolperte', 'Stümper', 'Streber', 'stolperst']|True|0.0|True
104|Fersucht|versucht|01-057-2-III-Eis.csv|1|43|1|['Versucht', 'versucht', 'Versuchst', 'Versuchte', 'versuchst', 'versuchter', 'versuchte', 'verseucht', 'versuchten', 'Versuchen']|True|1.0|False
105|lerken|lecken|01-057-2-III-Eis.csv|1|17|1|['lecken', 'lenken', 'merken', 'Lecken', 'legen', 'Lenken', 'Laken', 'lehren', 'bergen', 'leeren']|True|0.0|True
106|gept|gebt|01-057-2-III-Eis.csv|1|3|1|['gebt', 'gepackt', 'Gebt', 'Gepackt', 'gewebt', 'gepennt', 'gebot', 'gepackte', 'geprackt', 'gepackten']|True|0.0|True
107|Fos|was|01-057-2-III-Eis.csv|1|15|1|['Floß', 'Forts', 'Flohs', 'Foster', 'Flops', 'floss', 'vors', 'Fonds', 'Flosse', 'Fon']|False||False
108|aP|ab|01-057-2-III-Eis.csv|1|30|1|['AB', 'ab', 'Ab', 'Ph', 'hab', 'Alp', 'Pack', 'lapp', 'taub', 'gab']|True|1.0|False
109|fer|wenn|01-057-2-III-Eis.csv|1|46|1|['Fahr', 'fern', 'fir', 'per', 'fahr', 'Fern', 'Per', 'wer', 'vor', 'feiere']|False||False
110|nisct|nicht|01-057-2-III-Eis.csv|1|135|1|['nischt', 'Nischt', 'nüscht', 'mischt', 'niest', 'nicht', 'mischst', 'neigt', 'nickt', 'Nischen']|True|5.0|False
111|gechareln|gestorben|01-057-2-III-Eis.csv|1|9|1|['geschahen', 'geschoren', 'gekachelten', 'geharkten', 'Gehirnen', 'gefahren', 'gegabelten', 'gegartem', 'gehören', 'gesparten']|False||False
112|Hete|heute|01-057-2-III-Eis.csv|1|1|1|['Hätte', 'Hefte', 'Hechte', 'Hetze', 'Heute', 'Herde', 'hätte', 'Hätten', 'Härte', 'Hättet']|False||False
113|gescholpat|gestolpert|01-058-2-III-Eis.csv|1|14|1|['gestolpert', 'angestolpert', 'geschultert', 'geschuppt', 'gestoppt', 'geschuldet', 'gestülpt', 'geschlabbert', 'geschleppt', 'stolpert']|True|0.0|True
114|traurisch|traurig|01-058-2-III-Eis.csv|8|119|8|['traurisch', 'traurig', 'Traurig', 'taufrisch', 'träumerisch', 'traurige', 'traurigem', 'traurigen', 'trauriger', 'trauriges']|True|1.0|False
115|Glicklich|glücklich|01-058-2-III-Eis.csv|1|163|1|['Glücklich', 'Glückliche', 'glücklich', 'Glücklichen', 'Glücklicher', 'Glückliches', 'glückliche', 'glücklichem', 'glücklichen', 'glücklicher']|True|2.0|False
116|spazirn|spazieren|01-060-2-III-Eis.csv|1|116|1|['spazieren', 'Spazieren', 'spaziere', 'spazierten', 'Spazier', 'herspazieren', 'spaziert', 'spazierender', 'Spatzenhirn', 'Spaziert']|True|0.0|True
117|kamm|kam|01-060-2-III-Eis.csv|100|129|100|['Kamm', 'kam', 'kämm', 'klamm', 'Kam', 'komm', 'Kamme', 'kämme', 'kamt', 'Kämm']|True|1.0|False
118|lekte|leckte|01-060-2-III-Eis.csv|9|14|9|['leckte', 'legte', 'lenkte', 'Legte', 'leckten', 'legten', 'lenke', 'kleckste', 'bleckte', 'pflegte']|True|0.0|True
119|Plözlich|Plötzlich|01-060-2-III-Eis.csv|47|117|45|['Plötzlich', 'plötzlich', 'Plötzliche', 'plötzliche', 'plötzlichem', 'plötzlichen', 'plötzlicher', 'plötzliches', 'urplötzlich', 'urplötzliche']|True|0.0|True
120|viel|fiel|01-060-2-III-Eis.csv|28|45|26|['viel', 'fiel', 'Viel', 'viele', 'vielem', 'vielen', 'vieler', 'will', 'fiele', 'fielen']|True|1.0|False
121|hien|hin|01-060-2-III-Eis.csv|3|17|3|['hierin', 'hin', 'hieben', 'hier', 'hing', 'Hieben', 'hie', 'chicen', 'hingen', 'hießen']|True|1.0|False
122|Pölzlich|Plötzlich|01-060-2-III-Eis.csv|2|117|2|['Plötzlich', 'plötzlich', 'Plötzliche', 'plötzliche', 'plötzlichem', 'plötzlichen', 'plötzlicher', 'plötzliches', 'Pilz', 'polizeilich']|True|0.0|True
123|weite|weiter|01-060-2-III-Eis.csv|10|17|3|['weite', 'weihte', 'Weite', 'weinte', 'weilte', 'weißte', 'weiten', 'weites', 'weitet', 'weitem']|False||False
124|Eisstant|Eisstand|01-061-2-III-Eis.csv|2|8|2|['Erstand', 'Erstaunt', 'Eisenstangen', 'Eisenstange', 'erstand', 'Eisrand', 'Erstanden', 'Erstarrt', 'Eisstrom', 'Eisstrahl']|False||False
125|gehet|geht|01-061-2-III-Eis.csv|6|85|6|['Gehet', 'Gähnern', 'gehegt', 'gehetzt', 'geht', 'gehend', 'gehemmt', 'Gehetzt', 'gehenkt', 'gehe']|True|4.0|False
126|schildst|schmilzt|01-061-2-III-Eis.csv|1|3|1|['schilderst', 'Schilds', 'schuldest', 'schildert', 'giltst', 'spieltest', 'schillerndsten', 'Schild', 'Schildes', 'schwillst']|False||False
127|frist|frisst|01-061-2-III-Eis.csv|30|38|30|['frißt', 'frisst', 'Frist', 'Frißt', 'fristen', 'fristest', 'trist', 'frierst', 'frischte', 'frisiert']|True|1.0|False
128|abat|aber|01-061-2-III-Eis.csv|1|60|1|['erbat', 'Abart', 'abmacht', 'aba', 'abtrat', 'abgibt', 'sabbert', 'abfahrt', 'labert', 'bat']|False||False
129|Aba|Aber|01-061-2-III-Eis.csv|12|19|12|['aba', 'Aber', 'Alp', 'Abo', 'Abart', 'Ambra', 'Abbau', 'aber', 'Abi', 'Alpen']|True|1.0|False
130|wider|wieder|01-061-2-III-Eis.csv|178|207|178|['wider', 'wieder', 'widert', 'widern', 'Widder', 'Wieder', 'wilder', 'wiehernder', 'widerlich', 'widerte']|True|1.0|False
131|holn|holen|01-063-2-III-Eis.csv|2|11|2|['holen', 'hohlen', 'hol', 'wolln', 'Holen', 'holten', 'Hohn', 'hobeln', 'Höhlen', 'hohl']|True|0.0|True
132|pasirt|passiert|01-063-2-III-Eis.csv|18|75|18|['passiert', 'Passiert', 'passierte', 'passierten', 'paschiert', 'passieren', 'posiert', 'pausieren', 'Passierte', 'pariert']|True|0.0|True
