original	corrected	filename	freq_ori	freq_cor	freq_tup	norma_correction	confidence
glüglich	glücklich	01-029-2-III-Eis.csv	18	163	18	glücklich	1
veint	weint	01-029-2-III-Eis.csv	1	67	1	weint	0.4214
hie	hier	01-029-2-III-Eis.csv	1	55	1	hie	0.909619
krikt	kriegt	01-037-2-III-Eis.csv	8	51	8	kriegt	1
bischen	bisschen	01-037-2-III-Eis.csv	20	57	20	bisschen	1
au	auf	01-037-2-III-Eis.csv	6	17	1	Au	0.333333
schlekt	schleckt	01-037-2-III-Eis.csv	2	4	1	schleckt	0.55438
ales	alles	01-037-2-III-Eis.csv	35	37	34	alles	1
TroPfschen	Tröpfchen	01-045-2-III-Eis.csv	1	2	1	Tropfen	0.288895
gestolPat	gestolpert	01-045-2-III-Eis.csv	1	14	1	gestolpert	0.390133
wegetan	wehgetan	01-045-2-III-Eis.csv	11	17	11	weggetan	0.215998
Glöklesch	glücklich	01-045-2-III-Eis.csv	1	163	1	Glücklich	0.185913
rich	riech	01-045-2-III-Eis.csv	2	2	2	recht	0.208359
Spatzirn	spazieren	01-049-2-III-Eis.csv	1	116	1	Spatzen	0.381782
falt	fallt	01-049-2-III-Eis.csv	9	11	9	fällt	1
Giebt	gibt	01-049-2-III-Eis.csv	1	42	1	gibt	0.477799
eien	eine	01-049-2-III-Eis.csv	2	9	1	ein	0.855368
Nachause	nachhause	01-049-2-III-Eis.csv	1	10	1	nachlauschen	0.0738578
Lekt	leckt	01-049-2-III-Eis.csv	4	42	4	leckt	0.420563
siech	sich	01-054-2-III-Eis.csv	24	55	24	sich	1
gehmergt	gemerkt	01-054-2-III-Eis.csv	1	10	1	gemerkt	0.402227
das	dass	01-054-2-III-Eis.csv	985	1017	981	Da	0.125
gehttropft	getropft	01-054-2-III-Eis.csv	1	2	1	getropft	0.447476
gefalen	gefallen	01-054-2-III-Eis.csv	50	69	50	gefallen	0.585132
ristig	richtig	01-054-2-III-Eis.csv	1	9	1	richtig	0.109805
glüglist	glücklich	01-054-2-III-Eis.csv	1	163	1	glücklich	0.109702
is	iss	01-054-2-III-Eis.csv	19	2	1	Ist	0.2
schnel	schnell	01-054-2-III-Eis.csv	60	76	60	schnell	1
Hinther	hinterher	01-054-2-III-Eis.csv	1	38	1	hinterher	1
sint	sind	01-057-2-III-Eis.csv	20	66	20	sind	0.5
i	in	01-057-2-III-Eis.csv	2	21	1	i	0.849217
eiswargen	Eiswagen	01-057-2-III-Eis.csv	1	3	1	Eiswagen	0.377592
si	sie	01-057-2-III-Eis.csv	51	86	46	Sie	0.5
ei	ein	01-057-2-III-Eis.csv	5	26	4	ein	0.333333
unt	und	01-057-2-III-Eis.csv	30	106	30	Und	0.5
sih	sie	01-057-2-III-Eis.csv	11	86	8	sich	0.5
schtoiper	stolper	01-057-2-III-Eis.csv	1	1	1	stolper	0.362758
Fersucht	versucht	01-057-2-III-Eis.csv	1	43	1	versucht	0.728899
lerken	lecken	01-057-2-III-Eis.csv	1	17	1	lenken	0.499966
gept	gebt	01-057-2-III-Eis.csv	1	3	1	gebt	0.502203
Fos	was	01-057-2-III-Eis.csv	1	15	1	Fes	0.580734
aP	ab	01-057-2-III-Eis.csv	1	30	1	ab	0.414189
fer	wenn	01-057-2-III-Eis.csv	1	46	1	ven	0.132637
nisct	nicht	01-057-2-III-Eis.csv	1	135	1	nischt	0.537134
gechareln	gestorben	01-057-2-III-Eis.csv	1	9	1	hecheln	0.225146
Hete	heute	01-057-2-III-Eis.csv	1	1	1	hätte	0.40456
gescholpat	gestolpert	01-058-2-III-Eis.csv	1	14	1	gestolpert	0.412753
traurisch	traurig	01-058-2-III-Eis.csv	8	119	8	traurig	1
Glicklich	glücklich	01-058-2-III-Eis.csv	1	163	1	Glücklich	0.50056
spazirn	spazieren	01-060-2-III-Eis.csv	1	116	1	spazieren	0.409516
kamm	kam	01-060-2-III-Eis.csv	100	129	100	kam	1
lekte	leckte	01-060-2-III-Eis.csv	9	14	9	leckte	0.476095
Plözlich	Plötzlich	01-060-2-III-Eis.csv	47	117	45	Plötzlich	0.5
viel	fiel	01-060-2-III-Eis.csv	28	45	26	fiel	0.333333
hien	hin	01-060-2-III-Eis.csv	3	17	3	hin	1
Pölzlich	Plötzlich	01-060-2-III-Eis.csv	2	117	2	Plötzlich	0.195535
weite	weiter	01-060-2-III-Eis.csv	10	17	3	weite	0.908961
Eisstant	Eisstand	01-061-2-III-Eis.csv	2	8	2	Erstand	0.277201
gehet	geht	01-061-2-III-Eis.csv	6	85	6	geht	1
schildst	schmilzt	01-061-2-III-Eis.csv	1	3	1	Schilds	0.426936
frist	frisst	01-061-2-III-Eis.csv	30	38	30	frisst	0.5
abat	aber	01-061-2-III-Eis.csv	1	60	1	erbat	0.639736
Aba	Aber	01-061-2-III-Eis.csv	12	19	12	Aber	1
wider	wieder	01-061-2-III-Eis.csv	178	207	178	wieder	1
holn	holen	01-063-2-III-Eis.csv	2	11	2	hol	0.636119
pasirt	passiert	01-063-2-III-Eis.csv	18	75	18	paschiert	0.113316
steuperte	stolperte	01-063-2-III-Eis.csv	1	7	1	steuerte	0.568723
werlirt	verliert	01-063-2-III-Eis.csv	1	5	1	verliert	0.398357
Schnapen	schnappen	01-063-2-III-Eis.csv	1	4	1	Schnappen	0.49468
net	nett	01-063-2-III-Eis.csv	1	1	1	nett	1
pag	Park	01-064-2-III-Eis.csv	1	15	1	Park	1
fengt	fängt	01-064-2-III-Eis.csv	12	29	12	fängt	1
stolpat	stolpert	01-064-2-III-Eis.csv	9	27	9	stolpert	0.639736
taeilt	teilt	01-064-2-III-Eis.csv	1	6	1	teilt	0.335938
nimt	nimmt	01-065-2-III-Eis.csv	45	56	44	nimmt	1
Vanile	Vanille	01-065-2-III-Eis.csv	1	4	1	Vanille	0.720699
Erdbere	Erdbeere	01-065-2-III-Eis.csv	2	5	2	Erdbeere	0.627366
Valtmeister	Waldmeister	01-065-2-III-Eis.csv	1	1	1	Weltmeister	0.239362
sackt	sagt	01-065-2-III-Eis.csv	6	52	6	sagt	1
pas	pass	01-065-2-III-Eis.csv	8	10	8	pass	1
tud	tut	01-065-2-III-Eis.csv	1	6	1	tut	0.744977
helfte	Hälfte	01-065-2-III-Eis.csv	2	3	2	Hälfte	1
van	von	01-065-2-III-Eis.csv	4	76	4	von	1
reinn	rein	01-065-2-III-Eis.csv	1	8	1	rein	0.860723
sinnd	sind	01-065-2-III-Eis.csv	1	66	1	sind	0.766887
Vun	Und	01-073-2-III-Eis.csv	1	11	1	Von	0.514317
jerz	jetzt	01-073-2-III-Eis.csv	1	75	1	Herz	0.367879
gehin	gehen	01-073-2-III-Eis.csv	1	78	1	gehich	0.043066
eina	einer	01-073-2-III-Eis.csv	4	9	4	Einer	0.5
fälen	fallen	01-073-2-III-Eis.csv	1	25	1	fällen	0.720699
schin	schön	01-073-2-III-Eis.csv	2	5	2	schien	0.211012
runt	runter	01-073-2-III-Eis.csv	2	60	2	rund	0.651531
schdolpak	stolpert	01-073-2-III-Eis.csv	1	27	1	stolper	0.246309
irh	ihr	01-073-2-III-Eis.csv	2	40	2	ihre	1
ist	isst	01-073-2-III-Eis.csv	55	57	54	Ist	0.25
isst	ist	01-073-2-III-Eis.csv	5	33	5	ißt	1
ser	sehr	01-073-2-III-Eis.csv	44	67	44	Sehr	0.5
taurisch	traurig	01-073-2-III-Eis.csv	1	119	1	starre	0.0687581
fürlich	fröhlich	01-073-2-III-Eis.csv	1	92	1	türlich	0.425711
tild	teilt	01-073-2-III-Eis.csv	1	6	1	stillt	0.0779354
gehn	gehen	01-073-2-III-Eis.csv	20	78	20	gehen	1
Glüklich	glücklich	01-073-2-III-Eis.csv	7	163	7	glücklich	1
spatzieren	spazieren	01-074-2-III-Eis.csv	19	116	19	spazieren	1
glüklich	glücklich	01-074-2-III-Eis.csv	54	163	54	glücklich	1
gekrigt	gekriegt	01-075-2-III-Eis.csv	6	15	6	gekriegt	1
ban	dann	01-075-2-III-Eis.csv	3	651	3	Bann	0.296708
kaput	kaputt	01-075-2-III-Eis.csv	88	126	88	kaputt	1
ausgeruscht	ausgerutscht	01-075-2-III-Eis.csv	1	9	1	ausgerutscht	0.234388
runba	runter	01-075-2-III-Eis.csv	1	60	1	runter	0.330785
gegan	gegangen	01-075-2-III-Eis.csv	6	57	6	gegart	0.0748292
runda	runter	01-075-2-III-Eis.csv	4	60	4	runder	0.293259
gessen	gegessen	01-075-2-III-Eis.csv	1	21	1	gegessen	1
fon	von	01-075-2-III-Eis.csv	63	76	61	vom	0.333333
bisjen	bisschen	01-075-2-III-Eis.csv	3	57	3	bissen	0.367879
jeda	jeder	01-075-2-III-Eis.csv	4	6	4	jeder	0.243961
weit	weint	01-077-2-III-Eis.csv	3	67	1	weint	0.5
glülisch	glücklich	01-077-2-III-Eis.csv	2	163	2	gütlich	0.230624
wal	weil	01-077-2-III-Eis.csv	23	82	22	weil	1
ruter	runter	01-077-2-III-Eis.csv	4	60	4	runder	0.286145
teiel	teil	01-077-2-III-Eis.csv	1	1	1	teil	0.506443
sit	ist	01-077-2-III-Eis.csv	32	33	2	ist	0.333333
Hart	hat	01-077-2-III-Eis.csv	1	131	1	hart	0.572373
EisStant	Eisstand	01-088-2-III-Eis.csv	2	8	2	Erstand	0.22093
getroft	getropft	01-088-2-III-Eis.csv	1	2	1	getropft	0.54374
fersucht	versucht	01-088-2-III-Eis.csv	29	43	29	versucht	1
Had	hat	01-088-2-III-Eis.csv	1	131	1	hat	1
gegesch	gegessen	01-088-2-III-Eis.csv	1	21	1	gegen	0.160428
aufsten	Aufstehen	01-090-2-III-Eis.csv	1	1	1	Aufstände	0.0967328
sig	sie	01-090-2-III-Eis.csv	1	86	1	sich	1
wiel	will	01-097-2-III-Eis.csv	52	157	47	viel	0.5
unden	unten	01-097-2-III-Eis.csv	2	5	2	unten	0.394038
Schlekt	schleckt	01-097-2-III-Eis.csv	1	4	1	Schleckt	0.55491
steupert	stolpert	01-097-2-III-Eis.csv	1	27	1	steuert	0.568723
geteit	geteilt	01-097-2-III-Eis.csv	1	6	1	geteilt	0.136744
sient	sind	01-097-2-III-Eis.csv	4	66	3	sind	1
glüklisch	glücklich	01-097-2-III-Eis.csv	1	163	1	glücklich	0.477147
üüber	über	01-102-2-III-Eis.csv	1	35	1	rüber	0.48371
fräut	freut	01-102-2-III-Eis.csv	1	42	1	träum	0.053465
eIu	Eis	01-102-2-III-Eis.csv	1	30	1	I	0.347002
ruhr	Ruhe	01-102-2-III-Eis.csv	1	1	1	ruh	0.165513
ach	auch	01-105-2-III-Eis.csv	1	19	1	Ach	1
hingfallen	hingefallen	01-105-2-III-Eis.csv	1	11	1	hingefallen	0.595449
samelt	sammelt	01-108-2-III-Eis.csv	1	2	1	sammelt	1
irem	ihrem	01-110-2-III-Eis.csv	11	13	11	ihrem	1
feld	fällt	01-110-2-III-Eis.csv	11	198	11	Feld	1
töst	tröstet	01-110-2-III-Eis.csv	1	8	1	tröste	0.0835505
ine	eine	01-110-2-III-Eis.csv	2	9	1	eine	0.299336
eiskuge	Eiskugel	01-110-2-III-Eis.csv	1	1	1	eisige	0.278267
u	und	01-110-2-III-Eis.csv	5	106	2	um	0.0426288
eisman	Eismann	01-111-2-III-Eis.csv	4	10	4	Eismann	0.443496
schläkte	schleckte	01-111-2-III-Eis.csv	1	5	1	schlägt	0.466393
stolpate	stolperte	01-111-2-III-Eis.csv	3	7	3	stolperte	0.639736
we	weh	01-111-2-III-Eis.csv	4	4	4	weh	0.5
zusamen	zusammen	01-111-2-III-Eis.csv	36	44	36	zusammen	0.5
cemast	zermatscht	01-113-2-III-Eis.csv	1	1	1	schmauste	0.0710526
kletert	klettert	01-116-2-III-Eis.csv	7	8	7	klettert	1
troft	tropft	01-116-2-III-Eis.csv	5	9	5	tropft	0.54374
merck	merkt	01-116-2-III-Eis.csv	1	16	1	merk	0.239102
geschtolpert	gestolpert	01-116-2-III-Eis.csv	3	14	3	gestolpert	0.224624
kaft	kläfft	01-116-2-III-Eis.csv	1	4	1	klafft	0.124284
jest	jetzt	01-116-2-III-Eis.csv	7	75	7	jetzt	1
gemerckt	gemerkt	01-116-2-III-Eis.csv	4	10	4	gemerkt	0.303528
trofen	Tropfen	01-116-2-III-Eis.csv	9	14	8	trafen	0.547663
Eisferkäufer	Eisverkäufer	01-122-2-III-Eis.csv	1	4	1	Eisverkäufer	0.694706
daf	darf	01-122-2-III-Eis.csv	1	2	1	darf	1
den	denn	01-122-2-III-Eis.csv	122	119	117	Den	0.1
Eerber	Erdbeer	01-122-2-III-Eis.csv	1	3	1	Eber	0.427347
Wanile	Vanille	01-122-2-III-Eis.csv	1	4	1	Weile	0.413893
krik	krieg	01-122-2-III-Eis.csv	1	4	1	krieg	1
nikch	nichts	01-122-2-III-Eis.csv	1	25	1	nich	0.598727
sis	sies	01-122-2-III-Eis.csv	2	1	1	is	0.152136
vegt	fängt	01-122-2-III-Eis.csv	3	29	1	weckt	0.340884
Sagtt	sagt	01-122-2-III-Eis.csv	1	52	1	Sagt	0.611935
dier	dir	01-122-2-III-Eis.csv	18	24	18	dir	1
Stet	steht	01-122-2-III-Eis.csv	2	37	1	steht	1
Dage	Danke	01-122-2-III-Eis.csv	1	7	1	Danke	0.117905
Gehn	Gehen	01-124-2-III-Eis.csv	1	2	1	gen	0.547741
haden	haben	01-124-2-III-Eis.csv	6	19	6	haben	1
talt	teilt	01-124-2-III-Eis.csv	1	6	1	stellt	0.0843919
freulich	fröhlich	01-124-2-III-Eis.csv	3	92	3	fraulich	0.291832
kolen	holen	01-127-2-III-Eis.csv	1	11	1	kahlen	0.129809
schleker	schlecken	01-127-2-III-Eis.csv	1	1	1	schlecke	0.253003
venkt	fängt	01-127-2-III-Eis.csv	1	29	1	fängt	0.186154
eimal	einmal	01-127-2-III-Eis.csv	29	62	29	anmalen	0.0672124
wiel	fiel	01-127-2-III-Eis.csv	52	45	5	viel	0.5
hörnschen	Hörnchen	01-127-2-III-Eis.csv	1	1	1	Hörnchen	0.339155
vrot	freut	01-127-2-III-Eis.csv	1	42	1	frommen	0.0746124
gestolper	gestolpert	01-127-2-III-Eis.csv	1	14	1	gestolpert	0.129345
trostet	tröstet	01-127-2-III-Eis.csv	2	8	2	tröstet	0.426411
ste	steh	01-127-2-III-Eis.csv	1	1	1	sie	0.0499311
betagt	bedankt	01-127-2-III-Eis.csv	1	4	1	betagt	0.544782
paKh	Park	01-127-2-III-Eis.csv	1	15	1	paß	0.269011
vars	wars	01-127-2-III-Eis.csv	1	2	1	fass	0.264455
Trupf	tropf	01-128-2-III-Eis.csv	1	1	1	Tropf	0.514317
Schupfs	schups	01-128-2-III-Eis.csv	1	1	1	Schopfs	0.514317
Fellt	fällt	01-128-2-III-Eis.csv	1	198	1	Feld	0.331304
runta	runter	01-128-2-III-Eis.csv	19	60	19	runter	1
traurich	traurig	01-128-2-III-Eis.csv	54	119	54	traurig	1
fann	dann	01-128-2-III-Eis.csv	1	651	1	wann	0.406987
is	ist	01-128-2-III-Eis.csv	19	33	16	Ist	0.2
runterfale	runterfallen	01-128-2-III-Eis.csv	1	2	1	runterfalle	0.598661
lasen	lassen	01-128-2-III-Eis.csv	7	7	7	lasen	0.717087
fru	froh	01-128-2-III-Eis.csv	1	35	1	Frau	1
belld	bellt	01-132-2-III-Eis.csv	1	138	1	bellt	0.320453
schlukt	schluckt	01-132-2-III-Eis.csv	1	1	1	schluckt	0.522362
plözlisch	plötzlich	01-132-2-III-Eis.csv	1	62	1	plötzlich	0.458402
stolbert	stolpert	01-132-2-III-Eis.csv	2	27	2	stolpert	0.296174
rend	rennt	01-132-2-III-Eis.csv	42	167	42	rannt	0.333333
loss	los	01-132-2-III-Eis.csv	6	9	6	losten	0.0263815
hingfalen	hingefallen	01-132-2-III-Eis.csv	2	11	2	hingefallen	0.525183
weind	weint	01-132-2-III-Eis.csv	45	67	45	weint	0.670814
gibd	gibt	01-132-2-III-Eis.csv	1	42	1	gibt	1
wolten	wollten	01-134-2-III-Eis.csv	15	22	14	wollten	1
Eeis	Eis	01-134-2-III-Eis.csv	12	30	12	Eis	1
krekte	kriegte	01-134-2-III-Eis.csv	1	5	1	gereckten	0.253414
for	vor	01-134-2-III-Eis.csv	48	66	48	Vor	0.25
füse	Füße	01-134-2-III-Eis.csv	2	2	2	Flüsse	0.132454
warn	waren	01-135-2-III-Eis.csv	20	40	20	waren	1
eiss	Eis	01-135-2-III-Eis.csv	1	30	1	iss	0.7167
Körten	könnten	01-135-2-III-Eis.csv	1	3	1	Kröten	0.434429
tröpfschen	Tröpfchen	01-135-2-III-Eis.csv	1	2	1	Tröpfchen	0.366639
gegesen	gegessen	01-135-2-III-Eis.csv	15	21	15	gegessen	1
abgelekt	abgeleckt	01-135-2-III-Eis.csv	2	5	2	abgeleckt	0.447226
mer	mehr	01-135-2-III-Eis.csv	69	84	68	mehr	1
trauig	traurig	01-135-2-III-Eis.csv	4	119	4	traurig	0.496179
allle	alle	01-135-2-III-Eis.csv	1	39	1	alle	0.743968
Eisdile	Eisdiele	01-136-2-III-Eis.csv	2	4	2	Eisdiele	0.734404
schpasiren	spazieren	01-136-2-III-Eis.csv	1	116	1	sparen	0.265006
fält	fällt	01-136-2-III-Eis.csv	31	198	31	fällt	1
siene	seine	01-136-2-III-Eis.csv	1	4	1	seine	1
gugt	guckt	01-136-2-III-Eis.csv	22	49	22	guckt	1
legt	leckt	01-136-2-III-Eis.csv	12	42	12	legt	0.702764
Bonden	Boden	01-136-2-III-Eis.csv	1	9	1	bohnern	0.0576699
bestelen	bestellen	01-138-2-III-Eis.csv	1	1	1	bestellen	0.61562
abkrikt	abkriegt	01-138-2-III-Eis.csv	1	1	1	abkriegt	0.212255
jezt	jetzt	01-138-2-III-Eis.csv	14	75	14	Jetzt	0.5
feil	weil	01-138-2-III-Eis.csv	8	82	8	Pfeil	1
bisien	bisschen	01-138-2-III-Eis.csv	5	57	5	bisschen	1
bekomt	bekommt	01-138-2-III-Eis.csv	10	11	10	bekommt	1
dichr	dir	01-138-2-III-Eis.csv	1	24	1	dich	0.297661
imer	immer	01-138-2-III-Eis.csv	45	59	45	Immer	0.5
rumtergefalen	runtergefallen	01-139-2-III-Eis.csv	1	28	1	runtergefallen	0.445111
haz	hats	01-139-2-III-Eis.csv	1	4	1	Dachs	0.0598554
ekltra	extra	01-139-2-III-Eis.csv	1	6	1	ekle	0.30157
frolich	fröhlich	01-139-2-III-Eis.csv	3	92	3	fröhlich	0.396078
hte	hatte	01-139-2-III-Eis.csv	1	427	1	heute	1
dar	da	01-139-2-III-Eis.csv	58	86	51	Da	0.333333
ede	Idee	01-139-2-III-Eis.csv	4	34	3	den	0.184319
gluklich	glücklich	01-139-2-III-Eis.csv	6	163	6	glücklich	1
natulich	natürlich	01-139-2-III-Eis.csv	2	19	2	natürlich	1
glucklich	glücklich	01-139-2-III-Eis.csv	12	163	12	glücklich	1
wen	wenn	01-139-2-III-Eis.csv	40	46	40	Wenn	0.5
nich	nicht	01-139-2-III-Eis.csv	110	135	109	Nicht	0.5
gschrden	gestorben	01-139-2-III-Eis.csv	1	9	1	gescheut	0.0261293
si-	sie	01-139-2-III-Eis.csv	1	86	1	sie	0.379786
geseigt	gezeigt	01-140-2-III-Eis.csv	1	7	1	gegeigt	0.175543
gelegt	geleckt	01-140-2-III-Eis.csv	2	4	2	gelegt	0.778851
krigt	kriegt	01-143-2-III-Eis.csv	17	51	17	kriegt	1
belschen	Bällchen	01-143-2-III-Eis.csv	1	1	1	belegen	0.117332
Eisman	Eismann	01-143-2-III-Eis.csv	5	10	5	Eismann	0.735213
last	lasst	01-143-2-III-Eis.csv	18	26	18	lässt	0.5
äuch	euch	01-143-2-III-Eis.csv	1	1	1	euch	0.63716
schmeken	schmecken	01-143-2-III-Eis.csv	1	1	1	schmiegen	0.0615842
geen	gehen	01-143-2-III-Eis.csv	2	78	2	her	0.0244887
miten	mitten	01-143-2-III-Eis.csv	4	5	4	mitten	1
hoen	hohen	01-143-2-III-Eis.csv	1	1	1	hohen	0.564676
aufzusteen	aufzustehen	01-143-2-III-Eis.csv	1	3	1	Aufzucht	0.0480903
schocklade	Schokolade	01-143-2-III-Eis.csv	1	2	1	Schokolade	0.314098
Mächen	Mädchen	01-154-2-III-Eis.csv	8	32	8	Mädchen	1
hatetn	hatten	01-154-2-III-Eis.csv	1	55	1	Halde	0.0269978
heist	heißt	01-154-2-III-Eis.csv	14	23	14	heißt	1
gekaut	gekauft	01-154-2-III-Eis.csv	2	4	2	gekaut	0.623928
Eistoropfchen	Eiströpfchen	01-154-2-III-Eis.csv	1	1	1	Eistoropfchen	0
inden	indem	01-154-2-III-Eis.csv	1	1	1	enden	0.453806
kafen	kaufen	01-160-2-III-Eis.csv	2	6	2	klaffende	0.0558317
giept	gibt	01-160-2-III-Eis.csv	1	42	1	gibt	1
frölig	fröhlich	01-160-2-III-Eis.csv	3	92	3	fröhlich	1
bies	bis	01-160-2-III-Eis.csv	7	21	6	bis	1
ein	Eis	01-160-2-III-Eis.csv	4	30	1	Ein	0.111111
iest	ist	01-160-2-III-Eis.csv	2	33	2	ist	1
wa	war	01-161-2-III-Eis.csv	30	109	27	war	1
eima	einmal	01-161-2-III-Eis.csv	1	62	1	immer	0.299177
Mechen	Mädchen	01-161-2-III-Eis.csv	1	32	1	Mädchen	1
froeunde	Freunde	01-161-2-III-Eis.csv	2	3	2	freunde	0.558656
shönne	schöne	01-161-2-III-Eis.csv	1	1	1	schöne	0.261759
friche	frische	01-161-2-III-Eis.csv	1	1	1	freche	0.367839
könen	können	01-161-2-III-Eis.csv	7	11	7	können	1
zvay	zwei	01-161-2-III-Eis.csv	1	2	1	va	0.266898
eime	eine	01-161-2-III-Eis.csv	3	9	3	amen	0.208638
Erberkugl	Erdbeerkugel	01-161-2-III-Eis.csv	1	1	1	Ertrug	0.165587
biete	bitte	01-161-2-III-Eis.csv	3	12	3	bitte	1
dakechön	dankeschön	01-161-2-III-Eis.csv	1	3	1	dankeschön	0.310483
seit	sei	01-161-2-III-Eis.csv	3	3	1	seit	0.852829
krist	kriegst	01-161-2-III-Eis.csv	2	8	2	geist	0.277274
keie	keine	01-161-2-III-Eis.csv	1	1	1	kein	0.199185
Das	dass	01-161-2-III-Eis.csv	41	1017	30	Dass	0.166667
nist	nichts	01-161-2-III-Eis.csv	2	25	2	niest	0.515319
gegiben	gegeben	01-161-2-III-Eis.csv	1	6	1	gegeben	0.260436
merz	merkst	01-161-2-III-Eis.csv	1	1	1	Merz	0.407188
runtafelt	runterfällt	01-161-2-III-Eis.csv	1	3	1	runterfällt	0.343302
ubs	ups	01-161-2-III-Eis.csv	2	2	2	üb	0.423544
schmils	schmilz	01-161-2-III-Eis.csv	1	1	1	schmiß	0.408387
