original|corrected|filename
stolpert|stolpert|01-012-2-III-Eis.csv
über|über|01-012-2-III-Eis.csv
Sein|Sein|01-012-2-III-Eis.csv
"aus|"|aus|01-012-2-III-Eis.csv
ter|der|01-012-2-III-Eis.csv
Hand|Hand|01-012-2-III-Eis.csv
runter|runter|01-012-2-III-Eis.csv
weint|weint|01-012-2-III-Eis.csv
helft|helft|01-012-2-III-Eis.csv
in|in|01-012-2-III-Eis.csv
hoch|hoch|01-012-2-III-Eis.csv
ap|ab|01-012-2-III-Eis.csv
sind|sind|01-012-2-III-Eis.csv
ale|alle|01-012-2-III-Eis.csv
frölich|fröhlich|01-012-2-III-Eis.csv
holen|holen|01-025-2-III-Eis.csv
sich|sich|01-025-2-III-Eis.csv
vom|vom|01-025-2-III-Eis.csv
Eis_^wagen|Eiswagen|01-025-2-III-Eis.csv
Dann|Dann|01-025-2-III-Eis.csv
siend|sind|01-025-2-III-Eis.csv
weitagegangen|weitergegangen|01-025-2-III-Eis.csv
natürlig|natürlich|01-025-2-III-Eis.csv
Und|Und|01-025-2-III-Eis.csv
ist|ist|01-025-2-III-Eis.csv
üder|über|01-025-2-III-Eis.csv
gefallen|gefallen|01-025-2-III-Eis.csv
ier|ihr|01-025-2-III-Eis.csv
runder|runter|01-025-2-III-Eis.csv
hat|hat|01-025-2-III-Eis.csv
gegessen|gegessen|01-025-2-III-Eis.csv
gekommen|gekommen|01-025-2-III-Eis.csv
harden|haben|01-025-2-III-Eis.csv
das|das|01-025-2-III-Eis.csv
geteilt|geteilt|01-025-2-III-Eis.csv
schneel|schnell|01-025-2-III-Eis.csv
Noch|noch|01-025-2-III-Eis.csv
aufgegessen|aufgegessen|01-025-2-III-Eis.csv
haten|hatten|01-025-2-III-Eis.csv
die|die|01-025-2-III-Eis.csv
Alle|alle|01-025-2-III-Eis.csv
arder|aber|01-025-2-III-Eis.csv
gugel|Kugel|01-025-2-III-Eis.csv
Rot|Rot|01-025-2-III-Eis.csv
hate|hatte|01-025-2-III-Eis.csv
geld|gelb|01-025-2-III-Eis.csv
ein|ein|01-026-2-III-Eis.csv
Der|Der|01-026-2-III-Eis.csv
eisferkeufer|Eisverkäufer|01-026-2-III-Eis.csv
"gibt|"|gibt|01-026-2-III-Eis.csv
in|ihn|01-026-2-III-Eis.csv
eins|eins|01-026-2-III-Eis.csv
Dan|Dann|01-026-2-III-Eis.csv
ir|ihr|01-026-2-III-Eis.csv
fenkt|fängt|01-026-2-III-Eis.csv
tropfen|Tropfen|01-026-2-III-Eis.csv
fallen|fallen|01-026-2-III-Eis.csv
get|geht|01-026-2-III-Eis.csv
so|so|01-026-2-III-Eis.csv
langsam|langsam|01-026-2-III-Eis.csv
Stolpat|stolpert|01-026-2-III-Eis.csv
üba|über|01-026-2-III-Eis.csv
fellt|fällt|01-026-2-III-Eis.csv
aus|aus|01-026-2-III-Eis.csv
Sie|Sie|01-026-2-III-Eis.csv
hinn|hin|01-026-2-III-Eis.csv
hilft|hilft|01-026-2-III-Eis.csv
auf|auf|01-026-2-III-Eis.csv
ide|Idee|01-026-2-III-Eis.csv
er|er|01-026-2-III-Eis.csv
giebt|gibt|01-026-2-III-Eis.csv
kugel|Kugel|01-026-2-III-Eis.csv
glüklieg|glücklich|01-026-2-III-Eis.csv
Die|Die|01-028-2-III-Eis.csv
bekomen|bekommen|01-028-2-III-Eis.csv
Das|Das|01-028-2-III-Eis.csv
kabut|kaputt|01-028-2-III-Eis.csv
hin_gefalen|hingefallen|01-028-2-III-Eis.csv
rhr|ihr|01-028-2-III-Eis.csv
Las|Lars|01-028-2-III-Eis.csv
Teielt|teilt|01-028-2-III-Eis.csv
einmal|Einmal|01-029-2-III-Eis.csv
Hund|Hund|01-029-2-III-Eis.csv
möschde|möchte|01-029-2-III-Eis.csv
auch|auch|01-029-2-III-Eis.csv
essen|essen|01-029-2-III-Eis.csv
schmels|~schmelz|01-029-2-III-Eis.csv
esst|esst|01-029-2-III-Eis.csv
Troknite|?Troknite|01-029-2-III-Eis.csv
past|passt|01-029-2-III-Eis.csv
zu|zu|01-029-2-III-Eis.csv
veil|weil|01-029-2-III-Eis.csv
möschte|möchte|01-029-2-III-Eis.csv
"on|"|und|01-029-2-III-Eis.csv
runtergefalen|runtergefallen|01-029-2-III-Eis.csv
ern|er|01-029-2-III-Eis.csv
lauft|lauft|01-029-2-III-Eis.csv
fählt|fällt|01-029-2-III-Eis.csv
vegen|wegen|01-029-2-III-Eis.csv
jetzt|jetzt|01-029-2-III-Eis.csv
glüglich|glücklich|01-029-2-III-Eis.csv
veint|weint|01-029-2-III-Eis.csv
lars|Lars|01-029-2-III-Eis.csv
traurig|traurig|01-029-2-III-Eis.csv
"Eis|"|Eis|01-029-2-III-Eis.csv
muss|muss|01-029-2-III-Eis.csv
hie|hier|01-029-2-III-Eis.csv
bleiben|bleiben|01-029-2-III-Eis.csv
ihr|ihr|01-037-2-III-Eis.csv
krikt|kriegt|01-037-2-III-Eis.csv
nur|nur|01-037-2-III-Eis.csv
bi-^schen|bisschen|01-037-2-III-Eis.csv
um|um|01-037-2-III-Eis.csv
liegt|liegt|01-037-2-III-Eis.csv
au|auf|01-037-2-III-Eis.csv
Boden|Boden|01-037-2-III-Eis.csv
schlekt|schleckt|01-037-2-III-Eis.csv
ales|alles|01-037-2-III-Eis.csv
was|was|01-037-2-III-Eis.csv
weiter|weiter|01-037-2-III-Eis.csv
wollen|wollen|01-045-2-III-Eis.csv
Leas|Leas|01-045-2-III-Eis.csv
TroPft|tropft|01-045-2-III-Eis.csv
leckt|leckt|01-045-2-III-Eis.csv
TroPfschen|Tröpfchen|01-045-2-III-Eis.csv
gestolPat|gestolpert|01-045-2-III-Eis.csv
sein|sein|01-045-2-III-Eis.csv
wegetan|wehgetan|01-045-2-III-Eis.csv
Leckt|leckt|01-045-2-III-Eis.csv
Sein|sein|01-045-2-III-Eis.csv
teilt|teilt|01-045-2-III-Eis.csv
zusamm-^en|zusammen|01-045-2-III-Eis.csv
Glöklesch|glücklich|01-045-2-III-Eis.csv
rich|riech|01-045-2-III-Eis.csv
nach|nach|01-045-2-III-Eis.csv
Gehen|gehen|01-049-2-III-Eis.csv
Kaufen|kaufen|01-049-2-III-Eis.csv
Sie|sie|01-049-2-III-Eis.csv
Spatzirn|spazieren|01-049-2-III-Eis.csv
falt|fallt|01-049-2-III-Eis.csv
Giebt|gibt|01-049-2-III-Eis.csv
eien|eine|01-049-2-III-Eis.csv
Kugel|Kugel|01-049-2-III-Eis.csv
Nachause|nachhause|01-049-2-III-Eis.csv
Lekt|leckt|01-049-2-III-Eis.csv
siech|sich|01-054-2-III-Eis.csv
gehmergt|gemerkt|01-054-2-III-Eis.csv
das|dass|01-054-2-III-Eis.csv
geht_tropft|getropft|01-054-2-III-Eis.csv
war|war|01-054-2-III-Eis.csv
gefalen|gefallen|01-054-2-III-Eis.csv
ristig|richtig|01-054-2-III-Eis.csv
glücklich|glücklich|01-054-2-III-Eis.csv
gab|gab|01-054-2-III-Eis.csv
sehr|sehr|01-054-2-III-Eis.csv
glüglist|glücklich|01-054-2-III-Eis.csv
is|iss|01-054-2-III-Eis.csv
ganz|ganz|01-054-2-III-Eis.csv
schnel|schnell|01-054-2-III-Eis.csv
packte|packte|01-054-2-III-Eis.csv
gingen|gingen|01-054-2-III-Eis.csv
Hause|Hause|01-054-2-III-Eis.csv
Hinther|hinterher|01-054-2-III-Eis.csv
"si_nt|"|sind|01-057-2-III-Eis.csv
"i|"|in|01-057-2-III-Eis.csv
eis_wargen|Eiswagen|01-057-2-III-Eis.csv
si|sie|01-057-2-III-Eis.csv
ei|ein|01-057-2-III-Eis.csv
unt|und|01-057-2-III-Eis.csv
sih|sie|01-057-2-III-Eis.csv
Das|das|01-057-2-III-Eis.csv
schtoiper|stolper|01-057-2-III-Eis.csv
Fersucht|versucht|01-057-2-III-Eis.csv
lerk-^en|lecken|01-057-2-III-Eis.csv
las|Lars|01-057-2-III-Eis.csv
Tröstet|tröstet|01-057-2-III-Eis.csv
gept|gebt|01-057-2-III-Eis.csv
Fos|was|01-057-2-III-Eis.csv
aP|ab|01-057-2-III-Eis.csv
fer|wenn|01-057-2-III-Eis.csv
nisct|nicht|01-057-2-III-Eis.csv
gecha_reln|gestorben|01-057-2-III-Eis.csv
"leben|"|leben|01-057-2-III-Eis.csv
nor*|noch|01-057-2-III-Eis.csv
Hete|heute|01-057-2-III-Eis.csv
holten|holten|01-058-2-III-Eis.csv
gescholpat|gestolpert|01-058-2-III-Eis.csv
traurisch|traurig|01-058-2-III-Eis.csv
Glicklich|glücklich|01-058-2-III-Eis.csv
stück|Stück|01-058-2-III-Eis.csv
gegeben|gegeben|01-058-2-III-Eis.csv
alle|alle|01-058-2-III-Eis.csv
spazirn|spazieren|01-060-2-III-Eis.csv
Da|Da|01-060-2-III-Eis.csv
kamm|kam|01-060-2-III-Eis.csv
lekte|leckte|01-060-2-III-Eis.csv
Plözlich|Plötzlich|01-060-2-III-Eis.csv
viel|fiel|01-060-2-III-Eis.csv
hien|hin|01-060-2-III-Eis.csv
weinte|weinte|01-060-2-III-Eis.csv
freute|freute|01-060-2-III-Eis.csv
weil|weil|01-060-2-III-Eis.csv
leckte|leckte|01-060-2-III-Eis.csv
Pölzlich|Plötzlich|01-060-2-III-Eis.csv
hatte|hatte|01-060-2-III-Eis.csv
Idee|Idee|01-060-2-III-Eis.csv
teilte|teilte|01-060-2-III-Eis.csv
liefen|liefen|01-060-2-III-Eis.csv
weite|weiter|01-060-2-III-Eis.csv
immer|immer|01-060-2-III-Eis.csv
noch|noch|01-060-2-III-Eis.csv
zum|zum|01-061-2-III-Eis.csv
Eisstant|Eisstand|01-061-2-III-Eis.csv
gehet|geht|01-061-2-III-Eis.csv
schildst|schmilzt|01-061-2-III-Eis.csv
frist|frisst|01-061-2-III-Eis.csv
tro-^pfen|Tropfen|01-061-2-III-Eis.csv
abat|aber|01-061-2-III-Eis.csv
Auf|auf|01-061-2-III-Eis.csv
freut|freut|01-061-2-III-Eis.csv
Aba|Aber|01-061-2-III-Eis.csv
tröstet|tröstet|01-061-2-III-Eis.csv
"ihr|"|ihr|01-061-2-III-Eis.csv
hälfte|Hälfte|01-061-2-III-Eis.csv
Jetzt|jetzt|01-061-2-III-Eis.csv
wider|wieder|01-061-2-III-Eis.csv
holn|holen|01-063-2-III-Eis.csv
lecken|lecken|01-063-2-III-Eis.csv
fröhlich|fröhlich|01-063-2-III-Eis.csv
pasirt|passiert|01-063-2-III-Eis.csv
steuperte|stolperte|01-063-2-III-Eis.csv
werlirt|verliert|01-063-2-III-Eis.csv
macht|macht|01-063-2-III-Eis.csv
Maul|Maul|01-063-2-III-Eis.csv
Schnapen|schnappen|01-063-2-III-Eis.csv
net|nett|01-063-2-III-Eis.csv
eines|eines|01-064-2-III-Eis.csv
tages|Tages|01-064-2-III-Eis.csv
pag|Park|01-064-2-III-Eis.csv
gegangen|gegangen|01-064-2-III-Eis.csv
da|da|01-064-2-III-Eis.csv
gekauft|gekauft|01-064-2-III-Eis.csv
fengt|fängt|01-064-2-III-Eis.csv
seiner|seiner|01-064-2-III-Eis.csv
schnauze|Schnauze|01-064-2-III-Eis.csv
stolpat|stolpert|01-064-2-III-Eis.csv
dobo|Dodo|01-064-2-III-Eis.csv
taeilt|teilt|01-064-2-III-Eis.csv
hause|Hause|01-064-2-III-Eis.csv
nimt|nimmt|01-065-2-III-Eis.csv
Vanile|Vanille|01-065-2-III-Eis.csv
Erdbere|Erdbeere|01-065-2-III-Eis.csv
Valtmeister|Waldmeister|01-065-2-III-Eis.csv
tropfen|tropfen|01-065-2-III-Eis.csv
schmeckt|schmeckt|01-065-2-III-Eis.csv
sackt|sagt|01-065-2-III-Eis.csv
pas|pass|01-065-2-III-Eis.csv
rennt|rennt|01-065-2-III-Eis.csv
ich|ich|01-065-2-III-Eis.csv
habe|habe|01-065-2-III-Eis.csv
tud|tut|01-065-2-III-Eis.csv
helfte|Hälfte|01-065-2-III-Eis.csv
van|von|01-065-2-III-Eis.csv
bei|bei|01-065-2-III-Eis.csv
reinn|rein|01-065-2-III-Eis.csv
wenn|wenn|01-065-2-III-Eis.csv
gestorben|gestorben|01-065-2-III-Eis.csv
sinnd|sind|01-065-2-III-Eis.csv
leben|leben|01-065-2-III-Eis.csv
heute|heute|01-065-2-III-Eis.csv
Vun|Und|01-073-2-III-Eis.csv
jerz|jetzt|01-073-2-III-Eis.csv
gehin|gehen|01-073-2-III-Eis.csv
eina|einer|01-073-2-III-Eis.csv
wird|wird|01-073-2-III-Eis.csv
fälen|fallen|01-073-2-III-Eis.csv
töfh|?töfh|01-073-2-III-Eis.csv
schin|schön|01-073-2-III-Eis.csv
runt|runter|01-073-2-III-Eis.csv
schd_^olpak|stolpert|01-073-2-III-Eis.csv
irh|ihr|01-073-2-III-Eis.csv
ist|isst|01-073-2-III-Eis.csv
Aber|Aber|01-073-2-III-Eis.csv
isst|ist|01-073-2-III-Eis.csv
ser|sehr|01-073-2-III-Eis.csv
taur_^isch|traurig|01-073-2-III-Eis.csv
fürlich|fröhlich|01-073-2-III-Eis.csv
tild|teilt|01-073-2-III-Eis.csv
gehn|gehen|01-073-2-III-Eis.csv
Glük_lich|glücklich|01-073-2-III-Eis.csv
2|2|01-074-2-III-Eis.csv
spatzieren|spazieren|01-074-2-III-Eis.csv
"auf|"|auf|01-074-2-III-Eis.csv
einmal|einmal|01-074-2-III-Eis.csv
fiel|fiel|01-074-2-III-Eis.csv
glüklich|glücklich|01-074-2-III-Eis.csv
Leo|Lea|01-075-2-III-Eis.csv
kauften|kauften|01-075-2-III-Eis.csv
"sie|"|sie|01-075-2-III-Eis.csv
gekrigt|gekriegt|01-075-2-III-Eis.csv
ban|dann|01-075-2-III-Eis.csv
schteing|?steing|01-075-2-III-Eis.csv
kaput|kaputt|01-075-2-III-Eis.csv
aus_^geruscht|ausgerutscht|01-075-2-III-Eis.csv
runba|runter|01-075-2-III-Eis.csv
gegan|gegangen|01-075-2-III-Eis.csv
runda|runter|01-075-2-III-Eis.csv
gessen|gegessen|01-075-2-III-Eis.csv
fon|von|01-075-2-III-Eis.csv
bisjen|bisschen|01-075-2-III-Eis.csv
jeda|jeder|01-075-2-III-Eis.csv
Holen|holen|01-077-2-III-Eis.csv
wil|will|01-077-2-III-Eis.csv
weit|weint|01-077-2-III-Eis.csv
glülisch|glücklich|01-077-2-III-Eis.csv
wal|weil|01-077-2-III-Eis.csv
ruter|runter|01-077-2-III-Eis.csv
geflogen|geflogen|01-077-2-III-Eis.csv
teiel|teil|01-077-2-III-Eis.csv
darum|darum|01-077-2-III-Eis.csv
sit|ist|01-077-2-III-Eis.csv
Jeder|Jeder|01-077-2-III-Eis.csv
Hart|hat|01-077-2-III-Eis.csv
sint|sind|01-088-2-III-Eis.csv
Eis_Stant|Eisstand|01-088-2-III-Eis.csv
"dan|"|dann|01-088-2-III-Eis.csv
getroft|getropft|01-088-2-III-Eis.csv
Hat|hat|01-088-2-III-Eis.csv
getropfen|~getropfen|01-088-2-III-Eis.csv
Hin|hin|01-088-2-III-Eis.csv
fer_^sucht|versucht|01-088-2-III-Eis.csv
Had|hat|01-088-2-III-Eis.csv
gegesch|gegessen|01-088-2-III-Eis.csv
weg|weg|01-090-2-III-Eis.csv
stolperte|stolperte|01-090-2-III-Eis.csv
beim|beim|01-090-2-III-Eis.csv
aufsten|Aufstehen|01-090-2-III-Eis.csv
sig|sie|01-090-2-III-Eis.csv
wiel|will|01-097-2-III-Eis.csv
unden|unten|01-097-2-III-Eis.csv
am|am|01-097-2-III-Eis.csv
Schlekt|schleckt|01-097-2-III-Eis.csv
steupert|stolpert|01-097-2-III-Eis.csv
geteit|geteilt|01-097-2-III-Eis.csv
sient|sind|01-097-2-III-Eis.csv
glüklisch|glücklich|01-097-2-III-Eis.csv
Lass|Lars|01-102-2-III-Eis.csv
einer|einer|01-102-2-III-Eis.csv
eis_diele|Eisdiele|01-102-2-III-Eis.csv
doch|doch|01-102-2-III-Eis.csv
üüber|über|01-102-2-III-Eis.csv
fräut|freut|01-102-2-III-Eis.csv
eIu|Eis|01-102-2-III-Eis.csv
riesen_schreck|Riesenschreck|01-102-2-III-Eis.csv
bekommen|bekommen|01-102-2-III-Eis.csv
ruhr|Ruhe|01-102-2-III-Eis.csv
ENDE|ENDE|01-102-2-III-Eis.csv
ach|auch|01-105-2-III-Eis.csv
Loch|Loch|01-105-2-III-Eis.csv
hin_gfallen|hingefallen|01-105-2-III-Eis.csv
tropft|tropft|01-108-2-III-Eis.csv
isst|isst|01-108-2-III-Eis.csv
Dado|Dodo|01-108-2-III-Eis.csv
schleckt|schleckt|01-108-2-III-Eis.csv
Von|Von|01-108-2-III-Eis.csv
beiden|beiden|01-108-2-III-Eis.csv
samelt|sammelt|01-108-2-III-Eis.csv
eis_laden|Eisladen|01-110-2-III-Eis.csv
zwei|zwei|01-110-2-III-Eis.csv
eis_kug_^eln|Eiskugeln|01-110-2-III-Eis.csv
irem|ihrem|01-110-2-III-Eis.csv
Bis|Bis|01-110-2-III-Eis.csv
feld|fällt|01-110-2-III-Eis.csv
un_^d|und|01-110-2-III-Eis.csv
töst|tröstet|01-110-2-III-Eis.csv
ine|eine|01-110-2-III-Eis.csv
eiskuge|Eiskugel|01-110-2-III-Eis.csv
lea|Lea|01-110-2-III-Eis.csv
u|und|01-110-2-III-Eis.csv
eisman|Eismann|01-111-2-III-Eis.csv
"ein|"|ein|01-111-2-III-Eis.csv
"eis|"|Eis|01-111-2-III-Eis.csv
tropfte|tropfte|01-111-2-III-Eis.csv
schläkte|schleckte|01-111-2-III-Eis.csv
"das|"|das|01-111-2-III-Eis.csv
stolpate|stolperte|01-111-2-III-Eis.csv
"Und|"|Und|01-111-2-III-Eis.csv
tat|tat|01-111-2-III-Eis.csv
we|weh|01-111-2-III-Eis.csv
esste|~esste|01-111-2-III-Eis.csv
"und|"|und|01-111-2-III-Eis.csv
gebte|~gebte|01-111-2-III-Eis.csv
beide|beide|01-111-2-III-Eis.csv
"war-^en|"|waren|01-111-2-III-Eis.csv
zusamen|zusammen|01-111-2-III-Eis.csv
glü-^klich|glücklich|01-111-2-III-Eis.csv
"nach|"|nach|01-111-2-III-Eis.csv
ganze|ganze|01-113-2-III-Eis.csv
cemast|zermatscht|01-113-2-III-Eis.csv
wein-^t|weint|01-113-2-III-Eis.csv
stückchen|Stückchen|01-113-2-III-Eis.csv
Freut|freut|01-113-2-III-Eis.csv
kletert|klettert|01-116-2-III-Eis.csv
Wagen|Wagen|01-116-2-III-Eis.csv
troft|tropft|01-116-2-III-Eis.csv
Lors|Lars|01-116-2-III-Eis.csv
merck|merkt|01-116-2-III-Eis.csv
geschtolpert|gestolpert|01-116-2-III-Eis.csv
kaft|kläfft|01-116-2-III-Eis.csv
fressen|fressen|01-116-2-III-Eis.csv
jest|jetzt|01-116-2-III-Eis.csv
erst|erst|01-116-2-III-Eis.csv
gemerckt|gemerkt|01-116-2-III-Eis.csv
frisst|frisst|01-116-2-III-Eis.csv
Teilen|teilen|01-116-2-III-Eis.csv
wieder|wieder|01-116-2-III-Eis.csv
froh|froh|01-116-2-III-Eis.csv
halten|halten|01-116-2-III-Eis.csv
trofen|Tropfen|01-116-2-III-Eis.csv
Eisfer_käufer|Eisverkäufer|01-122-2-III-Eis.csv
sagt|sagt|01-122-2-III-Eis.csv
daf|darf|01-122-2-III-Eis.csv
den|denn|01-122-2-III-Eis.csv
Eerber|Erdbeer|01-122-2-III-Eis.csv
Waldmeister|Waldmeister|01-122-2-III-Eis.csv
Schokolade|Schokolade|01-122-2-III-Eis.csv
Wanile|Vanille|01-122-2-III-Eis.csv
krik|krieg|01-122-2-III-Eis.csv
ni-^kch|nichts|01-122-2-III-Eis.csv
Als|Als|01-122-2-III-Eis.csv
sis|sies|01-122-2-III-Eis.csv
be_komen|bekommen|01-122-2-III-Eis.csv
laufen|laufen|01-122-2-III-Eis.csv
vegt|fängt|01-122-2-III-Eis.csv
Sagtt|sagt|01-122-2-III-Eis.csv
hast|hast|01-122-2-III-Eis.csv
Du|du|01-122-2-III-Eis.csv
dier|dir|01-122-2-III-Eis.csv
nein|nein|01-122-2-III-Eis.csv
mein|mein|01-122-2-III-Eis.csv
Stet|steht|01-122-2-III-Eis.csv
Dage|Danke|01-122-2-III-Eis.csv
Laufen|laufen|01-122-2-III-Eis.csv
Gehn|Gehen|01-124-2-III-Eis.csv
im|im|01-124-2-III-Eis.csv
Eisladen|Eisladen|01-124-2-III-Eis.csv
Beiden|beiden|01-124-2-III-Eis.csv
möchte|möchte|01-124-2-III-Eis.csv
haden|haben|01-124-2-III-Eis.csv
fallt|fallt|01-124-2-III-Eis.csv
talt|teilt|01-124-2-III-Eis.csv
freulich|fröhlich|01-124-2-III-Eis.csv
kolen|holen|01-127-2-III-Eis.csv
schleker|schlecken|01-127-2-III-Eis.csv
venkt|fängt|01-127-2-III-Eis.csv
Kleinen|kleinen|01-127-2-III-Eis.csv
eimal|einmal|01-127-2-III-Eis.csv
stolper|stolper|01-127-2-III-Eis.csv
wiel|fiel|01-127-2-III-Eis.csv
d_em|dem|01-127-2-III-Eis.csv
hörnschen|Hörnchen|01-127-2-III-Eis.csv
vrot|freut|01-127-2-III-Eis.csv
gestolper|gestolpert|01-127-2-III-Eis.csv
trostet|tröstet|01-127-2-III-Eis.csv
sagte|sagte|01-127-2-III-Eis.csv
Komm|Komm|01-127-2-III-Eis.csv
ste|steh|01-127-2-III-Eis.csv
Komm|komm|01-127-2-III-Eis.csv
teile|teile|01-127-2-III-Eis.csv
dir|dir|01-127-2-III-Eis.csv
be_tagt|bedankt|01-127-2-III-Eis.csv
zu_^samen|zusammen|01-127-2-III-Eis.csv
paKh|Park|01-127-2-III-Eis.csv
vars|wars|01-127-2-III-Eis.csv
Trupf|tropf|01-128-2-III-Eis.csv
Schupfs|schups|01-128-2-III-Eis.csv
Fellt|fällt|01-128-2-III-Eis.csv
runta|runter|01-128-2-III-Eis.csv
traurich|traurig|01-128-2-III-Eis.csv
wegen|wegen|01-128-2-III-Eis.csv
fann|dann|01-128-2-III-Eis.csv
"sein|"|sein|01-128-2-III-Eis.csv
e_is|Eis|01-128-2-III-Eis.csv
is|ist|01-128-2-III-Eis.csv
runterfale|runterfallen|01-128-2-III-Eis.csv
lasen|lassen|01-128-2-III-Eis.csv
Lar|Lars|01-128-2-III-Eis.csv
fru|froh|01-128-2-III-Eis.csv
belld|bellt|01-132-2-III-Eis.csv
Tropft|tropft|01-132-2-III-Eis.csv
schlukt|schluckt|01-132-2-III-Eis.csv
plözlisch|plötzlich|01-132-2-III-Eis.csv
stolbert|stolpert|01-132-2-III-Eis.csv
rend|rennt|01-132-2-III-Eis.csv
loss|los|01-132-2-III-Eis.csv
hingfalen|hingefallen|01-132-2-III-Eis.csv
weind|weint|01-132-2-III-Eis.csv
gibd|gibt|01-132-2-III-Eis.csv
Eiskugel|Eiskugel|01-132-2-III-Eis.csv
lacht|lacht|01-132-2-III-Eis.csv
hinten|hinten|01-132-2-III-Eis.csv
wolten|wollten|01-134-2-III-Eis.csv
Eeis|Eis|01-134-2-III-Eis.csv
krekte|kriegte|01-134-2-III-Eis.csv
kein|kein|01-134-2-III-Eis.csv
herunter|herunter|01-134-2-III-Eis.csv
for|vor|01-134-2-III-Eis.csv
seine|seine|01-134-2-III-Eis.csv
füse|Füße|01-134-2-III-Eis.csv
gelaufen|gelaufen|01-134-2-III-Eis.csv
drei|drei|01-134-2-III-Eis.csv
warn|waren|01-135-2-III-Eis.csv
eiss|Eis|01-135-2-III-Eis.csv
Körten|könnten|01-135-2-III-Eis.csv
verstehen|verstehen|01-135-2-III-Eis.csv
diese|diese|01-135-2-III-Eis.csv
tröpfschen|Tröpfchen|01-135-2-III-Eis.csv
gegesen|gegessen|01-135-2-III-Eis.csv
für|für|01-135-2-III-Eis.csv
schnell|schnell|01-135-2-III-Eis.csv
gewesen|gewesen|01-135-2-III-Eis.csv
ab_^gelekt|abgeleckt|01-135-2-III-Eis.csv
ab_gegeben|abgegeben|01-135-2-III-Eis.csv
mer|mehr|01-135-2-III-Eis.csv
trauig|traurig|01-135-2-III-Eis.csv
allle|alle|01-135-2-III-Eis.csv
zu_frieden|zufrieden|01-135-2-III-Eis.csv
Eisdile|Eisdiele|01-136-2-III-Eis.csv
suchen|suchen|01-136-2-III-Eis.csv
Eis-^sorten|Eissorten|01-136-2-III-Eis.csv
schpasiren|spazieren|01-136-2-III-Eis.csv
fält|fällt|01-136-2-III-Eis.csv
siene|seine|01-136-2-III-Eis.csv
Eissorten|Eissorten|01-136-2-III-Eis.csv
gugt|guckt|01-136-2-III-Eis.csv
legt|leckt|01-136-2-III-Eis.csv
Eissorte|Eissorte|01-136-2-III-Eis.csv
Bon-^den|Boden|01-136-2-III-Eis.csv
Eis_dile|Eisdiele|01-138-2-III-Eis.csv
bestelen|bestellen|01-138-2-III-Eis.csv
ab_krikt|abkriegt|01-138-2-III-Eis.csv
