original|corrected|filename|freq_ori|freq_cor|freq_tup
ristig|richtig|01-054-2-III-Eis.csv|1|39|1
glücklich|glücklich|01-054-2-III-Eis.csv|221|423|221
gab|gab|01-054-2-III-Eis.csv|137|147|137
sehr|sehr|01-054-2-III-Eis.csv|421|489|421
glüglist|glücklich|01-054-2-III-Eis.csv|1|423|1
is|iss|01-054-2-III-Eis.csv|19|4|1
ganz|ganz|01-054-2-III-Eis.csv|314|363|313
schnel|schnell|01-054-2-III-Eis.csv|60|324|60
packte|packte|01-054-2-III-Eis.csv|4|4|4
gingen|gingen|01-054-2-III-Eis.csv|105|111|105
Hause|Hause|01-054-2-III-Eis.csv|272|406|271
Hinther|hinterher|01-054-2-III-Eis.csv|1|208|1
sint|sind|01-057-2-III-Eis.csv|20|464|20
i|in|01-057-2-III-Eis.csv|2|1368|1
eiswargen|Eiswagen|01-057-2-III-Eis.csv|1|8|1
si|sie|01-057-2-III-Eis.csv|51|3490|46
ei|ein|01-057-2-III-Eis.csv|5|2154|4
unt|und|01-057-2-III-Eis.csv|30|9827|30
sih|sie|01-057-2-III-Eis.csv|11|3490|8
Das|das|01-057-2-III-Eis.csv|314|1817|24
schtoiper|stolper|01-057-2-III-Eis.csv|1|2|1
Fersucht|versucht|01-057-2-III-Eis.csv|1|71|1
lerken|lecken|01-057-2-III-Eis.csv|1|26|1
Tröstet|tröstet|01-057-2-III-Eis.csv|2|17|2
gept|gebt|01-057-2-III-Eis.csv|1|10|1
Fos|was|01-057-2-III-Eis.csv|1|458|1
aP|ab|01-057-2-III-Eis.csv|1|248|1
fer|wenn|01-057-2-III-Eis.csv|1|121|1
nisct|nicht|01-057-2-III-Eis.csv|1|1177|1
gechareln|gestorben|01-057-2-III-Eis.csv|1|23|1
leben|leben|01-057-2-III-Eis.csv|21|32|20
Hete|heute|01-057-2-III-Eis.csv|1|86|1
holten|holten|01-058-2-III-Eis.csv|5|7|5
gescholpat|gestolpert|01-058-2-III-Eis.csv|1|18|1
traurisch|traurig|01-058-2-III-Eis.csv|8|457|8
Glicklich|glücklich|01-058-2-III-Eis.csv|1|423|1
stück|Stück|01-058-2-III-Eis.csv|10|26|10
gegeben|gegeben|01-058-2-III-Eis.csv|63|70|63
alle|alle|01-058-2-III-Eis.csv|223|269|221
spazirn|spazieren|01-060-2-III-Eis.csv|1|146|1
Da|Da|01-060-2-III-Eis.csv|395|419|391
kamm|kam|01-060-2-III-Eis.csv|100|378|100
lekte|leckte|01-060-2-III-Eis.csv|9|32|9
Plözlich|Plötzlich|01-060-2-III-Eis.csv|47|384|45
viel|fiel|01-060-2-III-Eis.csv|85|98|26
hien|hin|01-060-2-III-Eis.csv|3|174|3
weinte|weinte|01-060-2-III-Eis.csv|134|151|134
freute|freute|01-060-2-III-Eis.csv|108|116|108
weil|weil|01-060-2-III-Eis.csv|577|665|576
leckte|leckte|01-060-2-III-Eis.csv|13|32|13
Pölzlich|Plötzlich|01-060-2-III-Eis.csv|2|384|2
hatte|hatte|01-060-2-III-Eis.csv|489|918|489
Idee|Idee|01-060-2-III-Eis.csv|46|97|46
teilte|teilte|01-060-2-III-Eis.csv|6|8|6
liefen|liefen|01-060-2-III-Eis.csv|4|5|4
weite|weiter|01-060-2-III-Eis.csv|11|193|3
immer|immer|01-060-2-III-Eis.csv|165|225|165
noch|noch|01-060-2-III-Eis.csv|504|519|500
zum|zum|01-061-2-III-Eis.csv|360|372|358
Eisstant|Eisstand|01-061-2-III-Eis.csv|2|10|2
gehet|geht|01-061-2-III-Eis.csv|6|464|6
schildst|schmilzt|01-061-2-III-Eis.csv|1|4|1
frist|frisst|01-061-2-III-Eis.csv|30|75|30
abat|aber|01-061-2-III-Eis.csv|1|879|1
Auf|auf|01-061-2-III-Eis.csv|222|2264|21
freut|freut|01-061-2-III-Eis.csv|178|227|177
Aba|Aber|01-061-2-III-Eis.csv|12|341|12
tröstet|tröstet|01-061-2-III-Eis.csv|7|17|7
hälfte|Hälfte|01-061-2-III-Eis.csv|2|5|2
Jetzt|jetzt|01-061-2-III-Eis.csv|103|263|27
wider|wieder|01-061-2-III-Eis.csv|178|548|178
holn|holen|01-063-2-III-Eis.csv|2|54|2
lecken|lecken|01-063-2-III-Eis.csv|8|26|8
fröhlich|fröhlich|01-063-2-III-Eis.csv|47|142|47
pasirt|passiert|01-063-2-III-Eis.csv|18|104|18
steuperte|stolperte|01-063-2-III-Eis.csv|1|8|1
werlirt|verliert|01-063-2-III-Eis.csv|1|12|1
macht|macht|01-063-2-III-Eis.csv|255|270|255
Maul|Maul|01-063-2-III-Eis.csv|5|6|5
Schnapen|schnappen|01-063-2-III-Eis.csv|1|4|1
net|nett|01-063-2-III-Eis.csv|1|14|1
eines|eines|01-064-2-III-Eis.csv|15|9|9
tages|Tages|01-064-2-III-Eis.csv|32|183|32
pag|Park|01-064-2-III-Eis.csv|1|75|1
gegangen|gegangen|01-064-2-III-Eis.csv|198|256|198
da|da|01-064-2-III-Eis.csv|755|835|745
gekauft|gekauft|01-064-2-III-Eis.csv|21|26|21
fengt|fängt|01-064-2-III-Eis.csv|12|65|12
seiner|seiner|01-064-2-III-Eis.csv|46|49|46
schnauze|Schnauze|01-064-2-III-Eis.csv|1|2|1
stolpat|stolpert|01-064-2-III-Eis.csv|9|43|9
taeilt|teilt|01-064-2-III-Eis.csv|1|23|1
hause|Hause|01-064-2-III-Eis.csv|121|406|121
nimt|nimmt|01-065-2-III-Eis.csv|45|92|44
Vanile|Vanille|01-065-2-III-Eis.csv|1|5|1
Erdbere|Erdbeere|01-065-2-III-Eis.csv|2|5|2
Valtmeister|Waldmeister|01-065-2-III-Eis.csv|1|2|1
tropfen|tropfen|01-065-2-III-Eis.csv|22|5|4
schmeckt|schmeckt|01-065-2-III-Eis.csv|2|3|2
sackt|sagt|01-065-2-III-Eis.csv|6|951|6
pas|pass|01-065-2-III-Eis.csv|8|18|8
rennt|rennt|01-065-2-III-Eis.csv|144|314|144
ich|ich|01-065-2-III-Eis.csv|907|849|834
habe|habe|01-065-2-III-Eis.csv|346|365|346
tud|tut|01-065-2-III-Eis.csv|1|69|1
helfte|Hälfte|01-065-2-III-Eis.csv|2|5|2
van|von|01-065-2-III-Eis.csv|4|748|4
bei|bei|01-065-2-III-Eis.csv|383|401|382
reinn|rein|01-065-2-III-Eis.csv|1|149|1
wenn|wenn|01-065-2-III-Eis.csv|79|121|75
gestorben|gestorben|01-065-2-III-Eis.csv|14|23|14
sinnd|sind|01-065-2-III-Eis.csv|1|464|1
heute|heute|01-065-2-III-Eis.csv|75|86|74
Vun|Und|01-073-2-III-Eis.csv|1|910|1
jerz|jetzt|01-073-2-III-Eis.csv|1|263|1
gehin|gehen|01-073-2-III-Eis.csv|1|377|1
eina|einer|01-073-2-III-Eis.csv|4|219|4
wird|wird|01-073-2-III-Eis.csv|73|100|73
fälen|fallen|01-073-2-III-Eis.csv|1|64|1
schin|schön|01-073-2-III-Eis.csv|2|34|2
runt|runter|01-073-2-III-Eis.csv|2|280|2
schdolpak|stolpert|01-073-2-III-Eis.csv|1|43|1
irh|ihr|01-073-2-III-Eis.csv|2|621|2
ist|isst|01-073-2-III-Eis.csv|3535|100|54
Aber|Aber|01-073-2-III-Eis.csv|323|341|320
isst|ist|01-073-2-III-Eis.csv|47|3510|5
ser|sehr|01-073-2-III-Eis.csv|44|489|44
taurisch|traurig|01-073-2-III-Eis.csv|1|457|1
fürlich|fröhlich|01-073-2-III-Eis.csv|1|142|1
tild|teilt|01-073-2-III-Eis.csv|1|23|1
gehn|gehen|01-073-2-III-Eis.csv|20|377|20
Glüklich|glücklich|01-073-2-III-Eis.csv|7|423|7
spatzieren|spazieren|01-074-2-III-Eis.csv|19|146|19
einmal|einmal|01-074-2-III-Eis.csv|313|375|312
fiel|fiel|01-074-2-III-Eis.csv|60|98|53
glüklich|glücklich|01-074-2-III-Eis.csv|54|423|54
kauften|kauften|01-075-2-III-Eis.csv|4|5|4
gekrigt|gekriegt|01-075-2-III-Eis.csv|6|16|6
ban|dann|01-075-2-III-Eis.csv|3|1379|3
kaput|kaputt|01-075-2-III-Eis.csv|88|160|88
ausgeruscht|ausgerutscht|01-075-2-III-Eis.csv|1|9|1
runba|runter|01-075-2-III-Eis.csv|1|280|1
gegan|gegangen|01-075-2-III-Eis.csv|6|256|6
runda|runter|01-075-2-III-Eis.csv|4|280|4
gessen|gegessen|01-075-2-III-Eis.csv|1|41|1
fon|von|01-075-2-III-Eis.csv|63|748|61
bisjen|bisschen|01-075-2-III-Eis.csv|3|64|3
jeda|jeder|01-075-2-III-Eis.csv|4|30|4
Holen|holen|01-077-2-III-Eis.csv|4|54|4
weit|weint|01-077-2-III-Eis.csv|16|300|1
glülisch|glücklich|01-077-2-III-Eis.csv|2|423|2
wal|weil|01-077-2-III-Eis.csv|23|665|22
ruter|runter|01-077-2-III-Eis.csv|4|280|4
geflogen|geflogen|01-077-2-III-Eis.csv|14|15|14
teiel|teil|01-077-2-III-Eis.csv|1|1|1
darum|darum|01-077-2-III-Eis.csv|12|13|12
sit|ist|01-077-2-III-Eis.csv|32|3510|2
Jeder|Jeder|01-077-2-III-Eis.csv|9|4|4
Hart|hat|01-077-2-III-Eis.csv|1|3155|1
EisStant|Eisstand|01-088-2-III-Eis.csv|2|10|2
getroft|getropft|01-088-2-III-Eis.csv|1|4|1
Hat|hat|01-088-2-III-Eis.csv|27|3155|19
Hin|hin|01-088-2-III-Eis.csv|2|174|2
fersucht|versucht|01-088-2-III-Eis.csv|29|71|29
Had|hat|01-088-2-III-Eis.csv|1|3155|1
gegesch|gegessen|01-088-2-III-Eis.csv|1|41|1
weg|weg|01-090-2-III-Eis.csv|481|553|451
stolperte|stolperte|01-090-2-III-Eis.csv|1|8|1
beim|beim|01-090-2-III-Eis.csv|60|64|60
aufsten|Aufstehen|01-090-2-III-Eis.csv|1|1|1
sig|sie|01-090-2-III-Eis.csv|1|3490|1
wiel|will|01-097-2-III-Eis.csv|52|320|47
unden|unten|01-097-2-III-Eis.csv|2|43|2
am|am|01-097-2-III-Eis.csv|355|355|352
Schlekt|schleckt|01-097-2-III-Eis.csv|1|7|1
steupert|stolpert|01-097-2-III-Eis.csv|1|43|1
geteit|geteilt|01-097-2-III-Eis.csv|1|10|1
sient|sind|01-097-2-III-Eis.csv|4|464|3
glüklisch|glücklich|01-097-2-III-Eis.csv|1|423|1
einer|einer|01-102-2-III-Eis.csv|210|219|210
eisdiele|Eisdiele|01-102-2-III-Eis.csv|1|5|1
doch|doch|01-102-2-III-Eis.csv|147|152|145
üüber|über|01-102-2-III-Eis.csv|1|224|1
fräut|freut|01-102-2-III-Eis.csv|1|227|1
eIu|Eis|01-102-2-III-Eis.csv|1|657|1
riesenschreck|Riesenschreck|01-102-2-III-Eis.csv|1|2|1
bekommen|bekommen|01-102-2-III-Eis.csv|34|65|34
ruhr|Ruhe|01-102-2-III-Eis.csv|1|10|1
ENDE|ENDE|01-102-2-III-Eis.csv|17|19|17
ach|auch|01-105-2-III-Eis.csv|22|610|1
Loch|Loch|01-105-2-III-Eis.csv|14|19|14
hingfallen|hingefallen|01-105-2-III-Eis.csv|1|11|1
tropft|tropft|01-108-2-III-Eis.csv|8|20|8
isst|isst|01-108-2-III-Eis.csv|47|100|42
schleckt|schleckt|01-108-2-III-Eis.csv|3|7|3
Von|Von|01-108-2-III-Eis.csv|22|16|14
beiden|beiden|01-108-2-III-Eis.csv|83|100|83
samelt|sammelt|01-108-2-III-Eis.csv|1|3|1
eisladen|Eisladen|01-110-2-III-Eis.csv|1|4|1
zwei|zwei|01-110-2-III-Eis.csv|47|52|47
eiskugeln|Eiskugeln|01-110-2-III-Eis.csv|1|2|1
irem|ihrem|01-110-2-III-Eis.csv|11|98|11
Bis|Bis|01-110-2-III-Eis.csv|17|17|13
feld|fällt|01-110-2-III-Eis.csv|11|230|11
töst|tröstet|01-110-2-III-Eis.csv|1|17|1
ine|eine|01-110-2-III-Eis.csv|2|595|1
eiskuge|Eiskugel|01-110-2-III-Eis.csv|1|9|1
u|und|01-110-2-III-Eis.csv|5|9827|2
eisman|Eismann|01-111-2-III-Eis.csv|4|22|4
tropfte|tropfte|01-111-2-III-Eis.csv|3|3|3
schläkte|schleckte|01-111-2-III-Eis.csv|1|6|1
stolpate|stolperte|01-111-2-III-Eis.csv|3|8|3
tat|tat|01-111-2-III-Eis.csv|8|16|8
we|weh|01-111-2-III-Eis.csv|4|13|4
beide|beide|01-111-2-III-Eis.csv|44|50|44
waren|waren|01-111-2-III-Eis.csv|213|254|213
zusamen|zusammen|01-111-2-III-Eis.csv|36|96|36
ganze|ganze|01-113-2-III-Eis.csv|98|118|97
cemast|zermatscht|01-113-2-III-Eis.csv|1|1|1
stückchen|Stückchen|01-113-2-III-Eis.csv|1|1|1
Freut|freut|01-113-2-III-Eis.csv|8|227|8
kletert|klettert|01-116-2-III-Eis.csv|7|12|7
Wagen|Wagen|01-116-2-III-Eis.csv|8|12|8
troft|tropft|01-116-2-III-Eis.csv|5|20|5
merck|merkt|01-116-2-III-Eis.csv|1|44|1
geschtolpert|gestolpert|01-116-2-III-Eis.csv|3|18|3
kaft|kläfft|01-116-2-III-Eis.csv|1|4|1
fressen|fressen|01-116-2-III-Eis.csv|17|12|9
jest|jetzt|01-116-2-III-Eis.csv|7|263|7
erst|erst|01-116-2-III-Eis.csv|31|32|31
gemerckt|gemerkt|01-116-2-III-Eis.csv|4|30|4
frisst|frisst|01-116-2-III-Eis.csv|36|75|36
Teilen|teilen|01-116-2-III-Eis.csv|4|7|3
wieder|wieder|01-116-2-III-Eis.csv|339|548|339
froh|froh|01-116-2-III-Eis.csv|52|89|52
halten|halten|01-116-2-III-Eis.csv|71|81|70
trofen|Tropfen|01-116-2-III-Eis.csv|9|37|8
Eisferkäufer|Eisverkäufer|01-122-2-III-Eis.csv|1|6|1
sagt|sagt|01-122-2-III-Eis.csv|886|951|886
daf|darf|01-122-2-III-Eis.csv|1|31|1
den|denn|01-122-2-III-Eis.csv|2401|166|117
Eerber|Erdbeer|01-122-2-III-Eis.csv|1|3|1
Waldmeister|Waldmeister|01-122-2-III-Eis.csv|1|2|1
Schokolade|Schokolade|01-122-2-III-Eis.csv|1|3|1
Wanile|Vanille|01-122-2-III-Eis.csv|1|5|1
krik|krieg|01-122-2-III-Eis.csv|1|5|1
nikch|nichts|01-122-2-III-Eis.csv|1|74|1
Als|Als|01-122-2-III-Eis.csv|348|374|348
sis|sies|01-122-2-III-Eis.csv|2|1|1
laufen|laufen|01-122-2-III-Eis.csv|41|40|38
vegt|fängt|01-122-2-III-Eis.csv|3|65|1
Sagtt|sagt|01-122-2-III-Eis.csv|1|951|1
hast|hast|01-122-2-III-Eis.csv|182|186|176
Du|du|01-122-2-III-Eis.csv|33|474|1
dier|dir|01-122-2-III-Eis.csv|18|232|18
nein|nein|01-122-2-III-Eis.csv|103|101|95
mein|mein|01-122-2-III-Eis.csv|133|134|130
Stet|steht|01-122-2-III-Eis.csv|2|114|1
Dage|Danke|01-122-2-III-Eis.csv|1|100|1
Laufen|laufen|01-122-2-III-Eis.csv|3|40|2
Gehn|Gehen|01-124-2-III-Eis.csv|1|4|1
im|im|01-124-2-III-Eis.csv|544|494|484
Eisladen|Eisladen|01-124-2-III-Eis.csv|3|4|3
Beiden|beiden|01-124-2-III-Eis.csv|12|100|12
möchte|möchte|01-124-2-III-Eis.csv|72|86|72
haden|haben|01-124-2-III-Eis.csv|6|485|6
fallt|fallt|01-124-2-III-Eis.csv|5|16|5
talt|teilt|01-124-2-III-Eis.csv|1|23|1
freulich|fröhlich|01-124-2-III-Eis.csv|3|142|3
kolen|holen|01-127-2-III-Eis.csv|1|54|1
schleker|schlecken|01-127-2-III-Eis.csv|1|1|1
venkt|fängt|01-127-2-III-Eis.csv|1|65|1
Kleinen|kleinen|01-127-2-III-Eis.csv|1|25|1
eimal|einmal|01-127-2-III-Eis.csv|29|375|29
stolper|stolper|01-127-2-III-Eis.csv|1|2|1
wiel|fiel|01-127-2-III-Eis.csv|52|98|5
hörnschen|Hörnchen|01-127-2-III-Eis.csv|1|1|1
vrot|freut|01-127-2-III-Eis.csv|1|227|1
gestolper|gestolpert|01-127-2-III-Eis.csv|1|18|1
trostet|tröstet|01-127-2-III-Eis.csv|2|17|2
sagte|sagte|01-127-2-III-Eis.csv|801|850|801
