original|corrected|filename|freq_ori|freq_cor|freq_tup
aP|ab|01-057-2-III-Eis.csv|1|30|1
fer|wenn|01-057-2-III-Eis.csv|1|46|1
nisct|nicht|01-057-2-III-Eis.csv|1|135|1
gechareln|gestorben|01-057-2-III-Eis.csv|1|9|1
Hete|heute|01-057-2-III-Eis.csv|1|1|1
gescholpat|gestolpert|01-058-2-III-Eis.csv|1|14|1
traurisch|traurig|01-058-2-III-Eis.csv|8|119|8
Glicklich|glücklich|01-058-2-III-Eis.csv|1|163|1
spazirn|spazieren|01-060-2-III-Eis.csv|1|116|1
kamm|kam|01-060-2-III-Eis.csv|100|129|100
lekte|leckte|01-060-2-III-Eis.csv|9|14|9
Plözlich|Plötzlich|01-060-2-III-Eis.csv|47|117|45
viel|fiel|01-060-2-III-Eis.csv|28|45|26
hien|hin|01-060-2-III-Eis.csv|3|17|3
Pölzlich|Plötzlich|01-060-2-III-Eis.csv|2|117|2
weite|weiter|01-060-2-III-Eis.csv|10|17|3
Eisstant|Eisstand|01-061-2-III-Eis.csv|2|8|2
gehet|geht|01-061-2-III-Eis.csv|6|85|6
schildst|schmilzt|01-061-2-III-Eis.csv|1|3|1
frist|frisst|01-061-2-III-Eis.csv|30|38|30
abat|aber|01-061-2-III-Eis.csv|1|60|1
Aba|Aber|01-061-2-III-Eis.csv|12|19|12
wider|wieder|01-061-2-III-Eis.csv|178|207|178
holn|holen|01-063-2-III-Eis.csv|2|11|2
pasirt|passiert|01-063-2-III-Eis.csv|18|75|18
steuperte|stolperte|01-063-2-III-Eis.csv|1|7|1
werlirt|verliert|01-063-2-III-Eis.csv|1|5|1
Schnapen|schnappen|01-063-2-III-Eis.csv|1|4|1
net|nett|01-063-2-III-Eis.csv|1|1|1
pag|Park|01-064-2-III-Eis.csv|1|15|1
fengt|fängt|01-064-2-III-Eis.csv|12|29|12
stolpat|stolpert|01-064-2-III-Eis.csv|9|27|9
taeilt|teilt|01-064-2-III-Eis.csv|1|6|1
nimt|nimmt|01-065-2-III-Eis.csv|45|56|44
Vanile|Vanille|01-065-2-III-Eis.csv|1|4|1
Erdbere|Erdbeere|01-065-2-III-Eis.csv|2|5|2
Valtmeister|Waldmeister|01-065-2-III-Eis.csv|1|1|1
sackt|sagt|01-065-2-III-Eis.csv|6|52|6
pas|pass|01-065-2-III-Eis.csv|8|10|8
tud|tut|01-065-2-III-Eis.csv|1|6|1
helfte|Hälfte|01-065-2-III-Eis.csv|2|3|2
van|von|01-065-2-III-Eis.csv|4|76|4
reinn|rein|01-065-2-III-Eis.csv|1|8|1
sinnd|sind|01-065-2-III-Eis.csv|1|66|1
Vun|Und|01-073-2-III-Eis.csv|1|11|1
jerz|jetzt|01-073-2-III-Eis.csv|1|75|1
gehin|gehen|01-073-2-III-Eis.csv|1|78|1
eina|einer|01-073-2-III-Eis.csv|4|9|4
fälen|fallen|01-073-2-III-Eis.csv|1|25|1
schin|schön|01-073-2-III-Eis.csv|2|5|2
runt|runter|01-073-2-III-Eis.csv|2|60|2
schdolpak|stolpert|01-073-2-III-Eis.csv|1|27|1
irh|ihr|01-073-2-III-Eis.csv|2|40|2
ist|isst|01-073-2-III-Eis.csv|55|57|54
isst|ist|01-073-2-III-Eis.csv|5|33|5
ser|sehr|01-073-2-III-Eis.csv|44|67|44
taurisch|traurig|01-073-2-III-Eis.csv|1|119|1
fürlich|fröhlich|01-073-2-III-Eis.csv|1|92|1
tild|teilt|01-073-2-III-Eis.csv|1|6|1
gehn|gehen|01-073-2-III-Eis.csv|20|78|20
Glüklich|glücklich|01-073-2-III-Eis.csv|7|163|7
spatzieren|spazieren|01-074-2-III-Eis.csv|19|116|19
glüklich|glücklich|01-074-2-III-Eis.csv|54|163|54
gekrigt|gekriegt|01-075-2-III-Eis.csv|6|15|6
ban|dann|01-075-2-III-Eis.csv|3|651|3
kaput|kaputt|01-075-2-III-Eis.csv|88|126|88
ausgeruscht|ausgerutscht|01-075-2-III-Eis.csv|1|9|1
runba|runter|01-075-2-III-Eis.csv|1|60|1
gegan|gegangen|01-075-2-III-Eis.csv|6|57|6
runda|runter|01-075-2-III-Eis.csv|4|60|4
gessen|gegessen|01-075-2-III-Eis.csv|1|21|1
fon|von|01-075-2-III-Eis.csv|63|76|61
bisjen|bisschen|01-075-2-III-Eis.csv|3|57|3
jeda|jeder|01-075-2-III-Eis.csv|4|6|4
weit|weint|01-077-2-III-Eis.csv|3|67|1
glülisch|glücklich|01-077-2-III-Eis.csv|2|163|2
wal|weil|01-077-2-III-Eis.csv|23|82|22
ruter|runter|01-077-2-III-Eis.csv|4|60|4
teiel|teil|01-077-2-III-Eis.csv|1|1|1
sit|ist|01-077-2-III-Eis.csv|32|33|2
Hart|hat|01-077-2-III-Eis.csv|1|131|1
EisStant|Eisstand|01-088-2-III-Eis.csv|2|8|2
getroft|getropft|01-088-2-III-Eis.csv|1|2|1
fersucht|versucht|01-088-2-III-Eis.csv|29|43|29
Had|hat|01-088-2-III-Eis.csv|1|131|1
gegesch|gegessen|01-088-2-III-Eis.csv|1|21|1
aufsten|Aufstehen|01-090-2-III-Eis.csv|1|1|1
sig|sie|01-090-2-III-Eis.csv|1|86|1
wiel|will|01-097-2-III-Eis.csv|52|157|47
unden|unten|01-097-2-III-Eis.csv|2|5|2
Schlekt|schleckt|01-097-2-III-Eis.csv|1|4|1
steupert|stolpert|01-097-2-III-Eis.csv|1|27|1
geteit|geteilt|01-097-2-III-Eis.csv|1|6|1
sient|sind|01-097-2-III-Eis.csv|4|66|3
glüklisch|glücklich|01-097-2-III-Eis.csv|1|163|1
üüber|über|01-102-2-III-Eis.csv|1|35|1
fräut|freut|01-102-2-III-Eis.csv|1|42|1
eIu|Eis|01-102-2-III-Eis.csv|1|30|1
ruhr|Ruhe|01-102-2-III-Eis.csv|1|1|1
ach|auch|01-105-2-III-Eis.csv|1|19|1
hingfallen|hingefallen|01-105-2-III-Eis.csv|1|11|1
samelt|sammelt|01-108-2-III-Eis.csv|1|2|1
irem|ihrem|01-110-2-III-Eis.csv|11|13|11
feld|fällt|01-110-2-III-Eis.csv|11|198|11
töst|tröstet|01-110-2-III-Eis.csv|1|8|1
ine|eine|01-110-2-III-Eis.csv|2|9|1
eiskuge|Eiskugel|01-110-2-III-Eis.csv|1|1|1
u|und|01-110-2-III-Eis.csv|5|106|2
eisman|Eismann|01-111-2-III-Eis.csv|4|10|4
schläkte|schleckte|01-111-2-III-Eis.csv|1|5|1
stolpate|stolperte|01-111-2-III-Eis.csv|3|7|3
we|weh|01-111-2-III-Eis.csv|4|4|4
zusamen|zusammen|01-111-2-III-Eis.csv|36|44|36
cemast|zermatscht|01-113-2-III-Eis.csv|1|1|1
kletert|klettert|01-116-2-III-Eis.csv|7|8|7
troft|tropft|01-116-2-III-Eis.csv|5|9|5
merck|merkt|01-116-2-III-Eis.csv|1|16|1
geschtolpert|gestolpert|01-116-2-III-Eis.csv|3|14|3
kaft|kläfft|01-116-2-III-Eis.csv|1|4|1
jest|jetzt|01-116-2-III-Eis.csv|7|75|7
gemerckt|gemerkt|01-116-2-III-Eis.csv|4|10|4
trofen|Tropfen|01-116-2-III-Eis.csv|9|14|8
Eisferkäufer|Eisverkäufer|01-122-2-III-Eis.csv|1|4|1
daf|darf|01-122-2-III-Eis.csv|1|2|1
den|denn|01-122-2-III-Eis.csv|122|119|117
Eerber|Erdbeer|01-122-2-III-Eis.csv|1|3|1
Wanile|Vanille|01-122-2-III-Eis.csv|1|4|1
krik|krieg|01-122-2-III-Eis.csv|1|4|1
nikch|nichts|01-122-2-III-Eis.csv|1|25|1
sis|sies|01-122-2-III-Eis.csv|2|1|1
vegt|fängt|01-122-2-III-Eis.csv|3|29|1
Sagtt|sagt|01-122-2-III-Eis.csv|1|52|1
dier|dir|01-122-2-III-Eis.csv|18|24|18
Stet|steht|01-122-2-III-Eis.csv|2|37|1
Dage|Danke|01-122-2-III-Eis.csv|1|7|1
Gehn|Gehen|01-124-2-III-Eis.csv|1|2|1
haden|haben|01-124-2-III-Eis.csv|6|19|6
talt|teilt|01-124-2-III-Eis.csv|1|6|1
freulich|fröhlich|01-124-2-III-Eis.csv|3|92|3
kolen|holen|01-127-2-III-Eis.csv|1|11|1
schleker|schlecken|01-127-2-III-Eis.csv|1|1|1
venkt|fängt|01-127-2-III-Eis.csv|1|29|1
eimal|einmal|01-127-2-III-Eis.csv|29|62|29
wiel|fiel|01-127-2-III-Eis.csv|52|45|5
hörnschen|Hörnchen|01-127-2-III-Eis.csv|1|1|1
vrot|freut|01-127-2-III-Eis.csv|1|42|1
gestolper|gestolpert|01-127-2-III-Eis.csv|1|14|1
trostet|tröstet|01-127-2-III-Eis.csv|2|8|2
ste|steh|01-127-2-III-Eis.csv|1|1|1
betagt|bedankt|01-127-2-III-Eis.csv|1|4|1
paKh|Park|01-127-2-III-Eis.csv|1|15|1
vars|wars|01-127-2-III-Eis.csv|1|2|1
Trupf|tropf|01-128-2-III-Eis.csv|1|1|1
Schupfs|schups|01-128-2-III-Eis.csv|1|1|1
Fellt|fällt|01-128-2-III-Eis.csv|1|198|1
runta|runter|01-128-2-III-Eis.csv|19|60|19
traurich|traurig|01-128-2-III-Eis.csv|54|119|54
fann|dann|01-128-2-III-Eis.csv|1|651|1
is|ist|01-128-2-III-Eis.csv|19|33|16
runterfale|runterfallen|01-128-2-III-Eis.csv|1|2|1
lasen|lassen|01-128-2-III-Eis.csv|7|7|7
fru|froh|01-128-2-III-Eis.csv|1|35|1
belld|bellt|01-132-2-III-Eis.csv|1|138|1
schlukt|schluckt|01-132-2-III-Eis.csv|1|1|1
plözlisch|plötzlich|01-132-2-III-Eis.csv|1|62|1
stolbert|stolpert|01-132-2-III-Eis.csv|2|27|2
rend|rennt|01-132-2-III-Eis.csv|42|167|42
loss|los|01-132-2-III-Eis.csv|6|9|6
hingfalen|hingefallen|01-132-2-III-Eis.csv|2|11|2
weind|weint|01-132-2-III-Eis.csv|45|67|45
gibd|gibt|01-132-2-III-Eis.csv|1|42|1
wolten|wollten|01-134-2-III-Eis.csv|15|22|14
Eeis|Eis|01-134-2-III-Eis.csv|12|30|12
krekte|kriegte|01-134-2-III-Eis.csv|1|5|1
for|vor|01-134-2-III-Eis.csv|48|66|48
füse|Füße|01-134-2-III-Eis.csv|2|2|2
warn|waren|01-135-2-III-Eis.csv|20|40|20
eiss|Eis|01-135-2-III-Eis.csv|1|30|1
Körten|könnten|01-135-2-III-Eis.csv|1|3|1
tröpfschen|Tröpfchen|01-135-2-III-Eis.csv|1|2|1
gegesen|gegessen|01-135-2-III-Eis.csv|15|21|15
abgelekt|abgeleckt|01-135-2-III-Eis.csv|2|5|2
mer|mehr|01-135-2-III-Eis.csv|69|84|68
trauig|traurig|01-135-2-III-Eis.csv|4|119|4
allle|alle|01-135-2-III-Eis.csv|1|39|1
Eisdile|Eisdiele|01-136-2-III-Eis.csv|2|4|2
schpasiren|spazieren|01-136-2-III-Eis.csv|1|116|1
fält|fällt|01-136-2-III-Eis.csv|31|198|31
siene|seine|01-136-2-III-Eis.csv|1|4|1
gugt|guckt|01-136-2-III-Eis.csv|22|49|22
legt|leckt|01-136-2-III-Eis.csv|12|42|12
Bonden|Boden|01-136-2-III-Eis.csv|1|9|1
bestelen|bestellen|01-138-2-III-Eis.csv|1|1|1
abkrikt|abkriegt|01-138-2-III-Eis.csv|1|1|1
jezt|jetzt|01-138-2-III-Eis.csv|14|75|14
feil|weil|01-138-2-III-Eis.csv|8|82|8
bisien|bisschen|01-138-2-III-Eis.csv|5|57|5
bekomt|bekommt|01-138-2-III-Eis.csv|10|11|10
dichr|dir|01-138-2-III-Eis.csv|1|24|1
imer|immer|01-138-2-III-Eis.csv|45|59|45
rumtergefalen|runtergefallen|01-139-2-III-Eis.csv|1|28|1
haz|hats|01-139-2-III-Eis.csv|1|4|1
ekltra|extra|01-139-2-III-Eis.csv|1|6|1
frolich|fröhlich|01-139-2-III-Eis.csv|3|92|3
hte|hatte|01-139-2-III-Eis.csv|1|427|1
dar|da|01-139-2-III-Eis.csv|58|86|51
ede|Idee|01-139-2-III-Eis.csv|4|34|3
gluklich|glücklich|01-139-2-III-Eis.csv|6|163|6
natulich|natürlich|01-139-2-III-Eis.csv|2|19|2
glucklich|glücklich|01-139-2-III-Eis.csv|12|163|12
wen|wenn|01-139-2-III-Eis.csv|40|46|40
nich|nicht|01-139-2-III-Eis.csv|110|135|109
gschrden|gestorben|01-139-2-III-Eis.csv|1|9|1
si-|sie|01-139-2-III-Eis.csv|1|86|1
geseigt|gezeigt|01-140-2-III-Eis.csv|1|7|1
gelegt|geleckt|01-140-2-III-Eis.csv|2|4|2
krigt|kriegt|01-143-2-III-Eis.csv|17|51|17
belschen|Bällchen|01-143-2-III-Eis.csv|1|1|1
Eisman|Eismann|01-143-2-III-Eis.csv|5|10|5
last|lasst|01-143-2-III-Eis.csv|18|26|18
äuch|euch|01-143-2-III-Eis.csv|1|1|1
schmeken|schmecken|01-143-2-III-Eis.csv|1|1|1
geen|gehen|01-143-2-III-Eis.csv|2|78|2
miten|mitten|01-143-2-III-Eis.csv|4|5|4
hoen|hohen|01-143-2-III-Eis.csv|1|1|1
aufzusteen|aufzustehen|01-143-2-III-Eis.csv|1|3|1
schocklade|Schokolade|01-143-2-III-Eis.csv|1|2|1
Mächen|Mädchen|01-154-2-III-Eis.csv|8|32|8
hatetn|hatten|01-154-2-III-Eis.csv|1|55|1
heist|heißt|01-154-2-III-Eis.csv|14|23|14
gekaut|gekauft|01-154-2-III-Eis.csv|2|4|2
Eistoropfchen|Eiströpfchen|01-154-2-III-Eis.csv|1|1|1
inden|indem|01-154-2-III-Eis.csv|1|1|1
kafen|kaufen|01-160-2-III-Eis.csv|2|6|2
giept|gibt|01-160-2-III-Eis.csv|1|42|1
frölig|fröhlich|01-160-2-III-Eis.csv|3|92|3
bies|bis|01-160-2-III-Eis.csv|7|21|6
ein|Eis|01-160-2-III-Eis.csv|4|30|1
iest|ist|01-160-2-III-Eis.csv|2|33|2
wa|war|01-161-2-III-Eis.csv|30|109|27
eima|einmal|01-161-2-III-Eis.csv|1|62|1
Mechen|Mädchen|01-161-2-III-Eis.csv|1|32|1
froeunde|Freunde|01-161-2-III-Eis.csv|2|3|2
shönne|schöne|01-161-2-III-Eis.csv|1|1|1
friche|frische|01-161-2-III-Eis.csv|1|1|1
könen|können|01-161-2-III-Eis.csv|7|11|7
zvay|zwei|01-161-2-III-Eis.csv|1|2|1
eime|eine|01-161-2-III-Eis.csv|3|9|3
Erberkugl|Erdbeerkugel|01-161-2-III-Eis.csv|1|1|1
biete|bitte|01-161-2-III-Eis.csv|3|12|3
dakechön|dankeschön|01-161-2-III-Eis.csv|1|3|1
seit|sei|01-161-2-III-Eis.csv|3|3|1
krist|kriegst|01-161-2-III-Eis.csv|2|8|2
keie|keine|01-161-2-III-Eis.csv|1|1|1
Das|dass|01-161-2-III-Eis.csv|41|1017|30
nist|nichts|01-161-2-III-Eis.csv|2|25|2
gegiben|gegeben|01-161-2-III-Eis.csv|1|6|1
merz|merkst|01-161-2-III-Eis.csv|1|1|1
runtafelt|runterfällt|01-161-2-III-Eis.csv|1|3|1
ubs|ups|01-161-2-III-Eis.csv|2|2|2
schmils|schmilz|01-161-2-III-Eis.csv|1|1|1
es|ist|01-161-2-III-Eis.csv|1|33|1
toch|doch|01-161-2-III-Eis.csv|1|6|1
schlagte|schleckte|01-163-2-III-Eis.csv|1|5|1
steupart|stolpert|01-163-2-III-Eis.csv|1|27|1
hatt|hat|01-163-2-III-Eis.csv|68|131|67
teielte|teilte|01-163-2-III-Eis.csv|1|2|1
Eistand|Eisstand|01-166-2-III-Eis.csv|1|8|1
Spater|Später|01-166-2-III-Eis.csv|1|7|1
Eisorte|Eissorte|01-166-2-III-Eis.csv|1|1|1
wolen|wollen|01-167-2-III-Eis.csv|8|10|8
chded|steht|01-167-2-III-Eis.csv|1|37|1
Eischdan|Eisstand|01-167-2-III-Eis.csv|1|8|1
schbazieren|spazieren|01-167-2-III-Eis.csv|1|116|1
istt|isst|01-167-2-III-Eis.csv|2|57|2
schabert|schlabbert|01-167-2-III-Eis.csv|1|1|1
äber|aber|01-167-2-III-Eis.csv|1|60|1
hielft|hilft|01-167-2-III-Eis.csv|1|1|1
varwiert|verwirrt|01-167-2-III-Eis.csv|1|10|1
Schbazieren|spazieren|01-167-2-III-Eis.csv|1|116|1
Aeis|Eis|01-170-2-III-Eis.csv|2|30|2
äsen|essen|01-170-2-III-Eis.csv|1|14|1
Kaufem|kaufen|01-172-2-III-Eis.csv|1|6|1
sisch|sich|01-172-2-III-Eis.csv|4|55|4
ahen|ein|01-172-2-III-Eis.csv|1|26|1
isd|ist|01-172-2-III-Eis.csv|3|33|3
waend|weint|01-172-2-III-Eis.csv|1|67|1
taelt|teilt|01-172-2-III-Eis.csv|1|6|1
auh|auch|01-183-2-III-Eis.csv|9|19|9
wahren|waren|01-183-2-III-Eis.csv|7|40|7
unterwex|unterwegs|01-183-2-III-Eis.csv|1|6|1
na|nach|01-183-2-III-Eis.csv|12|37|12
laft|lauft|01-183-2-III-Eis.csv|2|3|2
fuss|Fuß|01-183-2-III-Eis.csv|1|5|1
schnapt|schnappt|01-183-2-III-Eis.csv|2|2|2
lktt|leckt|01-183-2-III-Eis.csv|1|42|1
runtar|runter|01-183-2-III-Eis.csv|1|60|1
trösded|tröstet|01-183-2-III-Eis.csv|1|8|1
frojt|freut|01-183-2-III-Eis.csv|1|42|1
hulen|holen|01-185-2-III-Eis.csv|1|11|1
geStolpat|gestolpert|01-185-2-III-Eis.csv|1|14|1
trareg|traurig|01-185-2-III-Eis.csv|1|119|1
likt|leckt|01-185-2-III-Eis.csv|1|42|1
besjen|bisschen|01-185-2-III-Eis.csv|1|57|1
Sen|sein|01-185-2-III-Eis.csv|1|20|1
send|sind|01-185-2-III-Eis.csv|1|66|1
glügleg|glücklich|01-185-2-III-Eis.csv|1|163|1
Gischichte|Geschichte|01-194-2-III-Eis.csv|1|14|1
gegen|gegangen|01-194-2-III-Eis.csv|5|57|2
gestrpt|gestolpert|01-194-2-III-Eis.csv|1|14|1
rundtgefalen|runtergefallen|01-194-2-III-Eis.csv|1|28|1
töstet|tröstet|01-194-2-III-Eis.csv|1|8|1
glükich|glücklich|01-194-2-III-Eis.csv|1|163|1
gimd|gibt|01-197-2-III-Eis.csv|2|42|2
geschmolsen|geschmolzen|01-197-2-III-Eis.csv|1|1|1
denn|den|01-197-2-III-Eis.csv|88|103|87
gestolbart|gestolpert|01-197-2-III-Eis.csv|1|14|1
legd|leckt|01-197-2-III-Eis.csv|1|42|1
fun|von|01-197-2-III-Eis.csv|1|76|1
feind|weint|01-197-2-III-Eis.csv|5|67|5
fawel|Waffel|01-197-2-III-Eis.csv|1|3|1
witer|wieder|01-197-2-III-Eis.csv|1|207|1
had|hat|01-197-2-III-Eis.csv|5|131|4
chest|jetzt|01-197-2-III-Eis.csv|2|75|2
EisferKafer|Eisverkäufer|01-206-2-III-Eis.csv|1|4|1
Eietrofen|Eistropfen|01-206-2-III-Eis.csv|1|2|1
fresen|fressen|01-206-2-III-Eis.csv|5|3|2
Eisi|Eis|01-206-2-III-Eis.csv|1|30|1
Kipt|gibt|01-206-2-III-Eis.csv|1|42|1
huse|Hause|01-206-2-III-Eis.csv|3|14|3
Eeischtant|Eisstand|01-208-2-III-Eis.csv|1|8|1
tröpfen|Tropfen|01-208-2-III-Eis.csv|1|14|1
ausgerunscht|ausgerutscht|01-208-2-III-Eis.csv|1|9|1
aufgegesen|aufgegessen|01-208-2-III-Eis.csv|2|3|2
tajlt|teilt|01-208-2-III-Eis.csv|1|6|1
Betagt|bedankt|01-208-2-III-Eis.csv|1|4|1
geganen|gegangen|01-211-2-III-Eis.csv|9|57|9
ham|haben|01-211-2-III-Eis.csv|3|19|2
gans|ganz|01-211-2-III-Eis.csv|30|48|30
Dol-|doll|01-211-2-III-Eis.csv|1|16|1
mär|mehr|01-211-2-III-Eis.csv|2|84|2
Eede|Idee|01-211-2-III-Eis.csv|2|34|2
getlt|geteilt|01-211-2-III-Eis.csv|2|6|2
beid|beide|01-211-2-III-Eis.csv|2|5|2
wolt|wollt|01-218-2-III-Eis.csv|2|2|1
fnt|fängt|01-218-2-III-Eis.csv|1|29|1
llt|fällt|01-218-2-III-Eis.csv|1|198|1
nien|nein|01-218-2-III-Eis.csv|1|5|1
wl|will|01-218-2-III-Eis.csv|1|157|1
aas|das|01-218-2-III-Eis.csv|2|66|1
Bonen|Boden|01-218-2-III-Eis.csv|1|9|1
frat|fragt|01-218-2-III-Eis.csv|1|9|1
Wek|Weg|01-224-2-III-Eis.csv|2|5|2
hinLang|entlang|01-224-2-III-Eis.csv|1|2|1
ligt|liegt|01-224-2-III-Eis.csv|14|18|14
schlegt|schleckt|01-224-2-III-Eis.csv|3|4|2
Jetz|jetzt|01-224-2-III-Eis.csv|15|75|7
Jeber|jeder|01-224-2-III-Eis.csv|1|6|1
Abbar|Aber|01-226-2-III-Eis.csv|1|19|1
Wil|will|01-226-2-III-Eis.csv|3|157|3
Aaus|aus|01-226-2-III-Eis.csv|2|15|1
Pözlich|Plötzlich|01-226-2-III-Eis.csv|2|117|2
Felt|fällt|01-226-2-III-Eis.csv|6|198|6
Troset|tröstet|01-226-2-III-Eis.csv|1|8|1
jetz|jetzt|01-226-2-III-Eis.csv|17|75|17
Frolich|fröhlich|01-226-2-III-Eis.csv|1|92|1
