id	misspelling	gold	suggestions	suggestions_withRank
27	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
28	gipt	gibt	[gibt, gilt, Gift, Gips, Gibt, Gilt]	{1.0=[gibt, gilt], 1.5=[Gift, Gips, Gibt, Gilt]}
29	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
30	ter	der	[der, her, wer, tür, per, er]	{1.0=[der, her, wer, tür, per, er]}
31	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
32	lekt	leckt	[leckt, legt, lest, lebt, lenkt]	{1.0=[leckt, legt, lest, lebt, lenkt]}
33	gipt	gibt	[gibt, gilt, Gift, Gips, Gibt, Gilt]	{1.0=[gibt, gilt], 1.5=[Gift, Gips, Gibt, Gilt]}
34	ap	ab	[ab, a, ah, am, an, aß]	{1.0=[ab, a, ah, am, an, aß]}
35	ale	alle	[all, Tale, alte, alt, als, Male, alle, Wale, male]	{1.0=[all, Tale, alte, alt, als, Male, alle, Wale, male]}
36	frölich	fröhlich	[fröhlich, Fröhlich, freilich, rötlich, förmlich, fröhliche, farblich]	{1.0=[fröhlich], 1.5=[Fröhlich], 2.0=[freilich, rötlich, förmlich, fröhliche, farblich]}
37	siend	sind	[sind, Sind, sein, seien, diene, mied, siehe, seine, sitzend, sieh, säen, sie, siedend, elend, find, seins, seid, sende, stand, spien, sieht, abend, kniend, siebt, sagend, speiend, dient, sehend, siegt, sing, singend]	{1.0=[sind], 1.5=[Sind], 2.0=[sein, seien, diene, mied, siehe, seine, sitzend, sieh, säen, sie, siedend, elend, find, seins, seid, sende, stand, spien, sieht, abend, kniend, siebt, sagend, speiend, dient, sehend, siegt, sing, singend]}
38	weitagegangen	weitergegangen	[weitergegangen, eingegangen, reingegangen, weggegangen, mitgegangen]	{2.0=[weitergegangen], 3.0=[eingegangen, reingegangen, weggegangen, mitgegangen]}
39	natürlig	natürlich	[natürlich, Natürlich, natürliche]	{2.0=[natürlich], 2.5=[Natürlich], 3.0=[natürliche]}
40	üder	über	[der, oder, müder, über, öder]	{1.0=[der, oder, müder, über, öder]}
41	ier	ihr	[wer, Tier, irr, Vier, Bier, Hier, er, Gier, der, Eier, ihr, her, Zier, vier, per, hier]	{1.0=[wer, Tier, irr, Vier, Bier, Hier, er, Gier, der, Eier, ihr, her, Zier, vier, per, hier]}
42	runder	runter	[runder, runde, rundet, wunder, runter, rundes, rundem, runden]	{0.0=[runder], 1.0=[runde, rundet, wunder, runter, rundes, rundem, runden]}
43	harden	haben	[harten, Herden, Horden, Harten, Hürden, Harfen]	{1.0=[harten], 1.5=[Herden, Horden, Harten, Hürden, Harfen]}
44	schneel	schnell	[schnell, Schnee, Schnell, Schnees]	{1.0=[schnell], 1.5=[Schnee, Schnell, Schnees]}
45	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
46	arder	aber	[armer, arger, Armer, Arger, Ader]	{1.0=[armer, arger], 1.5=[Armer, Arger, Ader]}
47	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
48	gugel	Kugel	[Kugel, Gurgel, gegen, gutem, guten, bügel, lugen, gute, grusel, guter, gurgelt, luge, gutes, gurgeln, äugen]	{1.5=[Kugel, Gurgel], 2.0=[gegen, gutem, guten, bügel, lugen, gute, grusel, guter, gurgelt, luge, gutes, gurgeln, äugen]}
49	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
50	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
51	geld	gelb	[Geld, gelb, Gold, Gelb, Feld, Held, Gel]	{0.5=[Geld], 1.0=[gelb], 1.5=[Gold, Gelb, Feld, Held, Gel]}
52	eisferkeufer	Eisverkäufer	[einberiefen, eiserner, erfreuter, einberufen]	{5.0=[einberiefen, eiserner, erfreuter, einberufen]}
53	in	ihn	[in, In, im, IN, Bin, bin, i, is, Ein, ein, Hin, hin, an, ihn, ins, iß]	{0.0=[in], 0.5=[In], 1.0=[im, IN, Bin, bin, i, is, Ein, ein, Hin, hin, an, ihn, ins, iß]}
54	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
55	gen	gehen	[gen, wen, gehn, geb, gern, geh, den]	{0.0=[gen], 1.0=[wen, gehn, geb, gern, geh, den]}
56	esen	essen	[lesen, Wesen, Besen, eben, essen, Lesen]	{1.0=[lesen, Wesen, Besen, eben, essen, Lesen]}
57	ir	ihr	[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]	{1.0=[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]}
58	fenkt	fängt	[senkt, denkt, lenkt]	{1.0=[senkt, denkt, lenkt]}
59	get	geht	[gebt, gen, geb, gut, geht, geh]	{1.0=[gebt, gen, geb, gut, geht, geh]}
60	Stolpat	stolpert	[Soldat, Stopft, Stoppt]	{2.0=[Soldat, Stopft, Stoppt]}
61	üba	über	[üb, übe, übt]	{1.0=[üb, übe, übt]}
62	fellt	fällt	[fällt, fallt, bellt, gellt, fehlt, hellt, füllt]	{1.0=[fällt, fallt, bellt, gellt, fehlt, hellt, füllt]}
63	ir	ihr	[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]	{1.0=[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]}
64	fellt	fällt	[fällt, fallt, bellt, gellt, fehlt, hellt, füllt]	{1.0=[fällt, fallt, bellt, gellt, fehlt, hellt, füllt]}
65	hinn	hin	[hing, hin, Sinn, Hin, Kinn, Hirn]	{1.0=[hing, hin], 1.5=[Sinn, Hin, Kinn, Hirn]}
66	ir	ihr	[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]	{1.0=[Wir, wir, im, in, irr, i, is, Dir, dir, er, ihr, iß, Mir, mir, Sir]}
67	lekt	leckt	[leckt, legt, lest, lebt, lenkt]	{1.0=[leckt, legt, lest, lebt, lenkt]}
68	ide	Idee	[die, öde, Idee]	{1.0=[die, öde], 1.5=[Idee]}
69	giebt	gibt	[gebt, gießt, siebt, gibt, liebt]	{1.0=[gebt, gießt, siebt, gibt, liebt]}
70	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
71	gen	gehen	[gen, wen, gehn, geb, gern, geh, den]	{0.0=[gen], 1.0=[wen, gehn, geb, gern, geh, den]}
72	glüklieg	glücklich	[glücklich, Glücklich, glückliches, glücklicher, glücklichem, glücklichen, glühten, glückliche, glühen, glühe, flieg, glasig, ulkige, flüssige, grünlich, krieg, wacklige, gekniet, eklig, wacklig, flüssig, glasige, glückte, glühte, lieg, eklige, ulkig, gekriegt, glücken, losließ, grüble]	{3.0=[glücklich], 3.5=[Glücklich], 4.0=[glückliches, glücklicher, glücklichem, glücklichen, glühten, glückliche, glühen, glühe, flieg, glasig, ulkige, flüssige, grünlich, krieg, wacklige, gekniet, eklig, wacklig, flüssig, glasige, glückte, glühte, lieg, eklige, ulkig, gekriegt, glücken, losließ, grüble]}
73	bekomen	bekommen	[bekamen, bekämen, bekommen]	{1.0=[bekamen, bekämen, bekommen]}
74	kabut	kaputt	[kaut, kaute, laut, haut, klaut, kamst, raubt, kalt, kamt, gabst, baut, kaust, kaue, kauf, tabu, kaputt, habt, kauft, kaum, kau]	{1.0=[kaut], 2.0=[kaute, laut, haut, klaut, kamst, raubt, kalt, kamt, gabst, baut, kaust, kaue, kauf, tabu, kaputt, habt, kauft, kaum, kau]}
75	hingefalen	hingefallen	[hingefallen, hingehalten, eingefallen, hingefahren]	{1.0=[hingefallen], 2.0=[hingehalten, eingefallen, hingefahren]}
76	rhr	ihr	[ihr, rühr, Rohr, Ihr, Ohr, Rühr, Uhr]	{1.0=[ihr, rühr], 1.5=[Rohr, Ihr, Ohr, Rühr, Uhr]}
77	Teielt	teilt	[Teilt, teilt, eilt, hielt, Teilen, Hielt, Feiert, Teils, Beeilt, Teil, Teiles, zielt, Segelt, Spielt, Teile]	{1.0=[Teilt], 1.5=[teilt], 2.0=[eilt, hielt, Teilen, Hielt, Feiert, Teils, Beeilt, Teil, Teiles, zielt, Segelt, Spielt, Teile]}
78	möschde	möchte	[löschte, mische, möchte, mischte, lösche]	{2.0=[löschte, mische, möchte, mischte, lösche]}
79	aba	aber	[ab, Ab, Aha]	{1.0=[ab], 1.5=[Ab, Aha]}
80	aba	aber	[ab, Ab, Aha]	{1.0=[ab], 1.5=[Ab, Aha]}
81	past	passt	[paßt, fast, last, pass, rast, hast, passt]	{1.0=[paßt, fast, last, pass, rast, hast, passt]}
82	veil	weil	[heil, teil, weil, beil, eil, viel]	{1.0=[heil, teil, weil, beil, eil, viel]}
83	möschte	möchte	[löschte, möchte, mischte]	{1.0=[löschte, möchte, mischte]}
84	on	und	[Ton, ob, Von, von, in, an]	{1.0=[Ton, ob, Von, von, in, an]}
85	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
86	runtergefalen	runtergefallen	[runtergefallen, runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]	{1.0=[runtergefallen], 3.0=[runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]}
87	ern	er	[Lern, fern, Kern, lern, gern, ein, Gern, er]	{1.0=[Lern, fern, Kern, lern, gern, ein, Gern, er]}
88	fählt	fällt	[fällt, wählt, zählt, fährt, fühlt, fehlt]	{1.0=[fällt, wählt, zählt, fährt, fühlt, fehlt]}
89	vegen	wegen	[legen, gegen, regen, vagen, hegen, fegen, wegen]	{1.0=[legen, gegen, regen, vagen, hegen, fegen, wegen]}
90	glüglich	glücklich	[glücklich, grünlich, kläglich]	{2.0=[glücklich, grünlich, kläglich]}
91	veint	weint	[eint, meint, weint]	{1.0=[eint, meint, weint]}
92	ern	er	[Lern, fern, Kern, lern, gern, ein, Gern, er]	{1.0=[Lern, fern, Kern, lern, gern, ein, Gern, er]}
93	veil	weil	[heil, teil, weil, beil, eil, viel]	{1.0=[heil, teil, weil, beil, eil, viel]}
94	hie	hier	[die, wie, nie, hieß, hin, sie, hier, hieb]	{1.0=[die, wie, nie, hieß, hin, sie, hier, hieb]}
95	krikt	kriegt	[frißt, kreist, kniet, ritt, trinkt, dritt, keift, kräht, briet, tritt, knickt, riet, strikt, wirkt, kramt, kickt, krieg, klickt, kriegt]	{2.0=[frißt, kreist, kniet, ritt, trinkt, dritt, keift, kräht, briet, tritt, knickt, riet, strikt, wirkt, kramt, kickt, krieg, klickt, kriegt]}
96	bischen	bisschen	[mischen, bißchen, bisschen, fischen, wischen, zischen]	{1.0=[mischen, bißchen, bisschen, fischen, wischen, zischen]}
97	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
98	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
99	au	auf	[Au, tu, ab, a, sau, ah, rau, Tau, Wau, am, an, du, auf, AU, bau, Bau, zu, Hau, hau, aß, kau, aus]	{0.5=[Au], 1.0=[tu, ab, a, sau, ah, rau, Tau, Wau, am, an, du, auf, AU, bau, Bau, zu, Hau, hau, aß, kau, aus]}
100	schlekt	schleckt	[schleckt, Schleckt, schiebt, schlecke, schleckte, schleppt, schmeckt, scheut, schleift, schlaft, schläft, schwenkt, schlepp, schluckt, schickt, schießt, schließt, schert, schenkt, schlagt, schneit, schwebt, schlieft, schlägt, schlecht, schielt, schreckt, schreit]	{1.0=[schleckt], 1.5=[Schleckt], 2.0=[schiebt, schlecke, schleckte, schleppt, schmeckt, scheut, schleift, schlaft, schläft, schwenkt, schlepp, schluckt, schickt, schießt, schließt, schert, schenkt, schlagt, schneit, schwebt, schlieft, schlägt, schlecht, schielt, schreckt, schreit]}
101	ales	alles	[Tales, alles, als, altes]	{1.0=[Tales, alles, als, altes]}
102	TroPfschen	Tröpfchen	[tropischen, Tropische, Tröpfchen]	{2.0=[tropischen], 2.5=[Tropische, Tröpfchen]}
103	gestolPat	gestolpert	[gestülpt, gestolpert, gestoppt, gestopft]	{2.5=[gestülpt, gestolpert, gestoppt, gestopft]}
104	wegetan	wehgetan	[wehgetan, Wehgetan, zugetan, getan, angetan, wegen]	{1.0=[wehgetan], 1.5=[Wehgetan], 2.0=[zugetan, getan, angetan, wegen]}
105	Glöklesch	glücklich	[Glücklich, Gleich, höllisch, Gekreisch, Guckloch, lösch, Höllisch]	{4.0=[Glücklich, Gleich, höllisch, Gekreisch, Guckloch, lösch, Höllisch]}
106	rich	riech	[wich, mich, nich, riech, dich, roch, Brich, sich, reich, ich]	{1.0=[wich, mich, nich, riech, dich, roch, Brich, sich, reich, ich]}
107	Spatzirn	spazieren	[Spatzen, Station, Kratzern, Spaten, Stirn, Spitzen, patzig, patzige, Spatz, Spaziert]	{2.0=[Spatzen], 3.0=[Station, Kratzern, Spaten, Stirn, Spitzen, patzig, patzige, Spatz, Spaziert]}
108	falt	fallt	[halt, galt, fallt, fast, fall, alt, falte, fault, kalt, faßt, malt]	{1.0=[halt, galt, fallt, fast, fall, alt, falte, fault, kalt, faßt, malt]}
109	Giebt	gibt	[Gießt, Gebt, Gibt, Liebt]	{1.0=[Gießt, Gebt, Gibt, Liebt]}
110	eien	eine	[eilen, Seien, einen, eine, seien, eben, ein, eigen]	{1.0=[eilen, Seien, einen, eine, seien, eben, ein, eigen]}
111	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
112	Nachause	nachhause	[abhaust, Rathaus, Nachts, hause, Zuhause, schaust, abhaue, Schaust, abhaute, Nachname, schaue, Lachse, Wachse, Dachse, Rathauses, schaute, Nachfahre, Schaue]	{3.0=[abhaust, Rathaus, Nachts, hause, Zuhause, schaust, abhaue, Schaust, abhaute, Nachname, schaue, Lachse, Wachse, Dachse, Rathauses, schaute, Nachfahre, Schaue]}
113	Lekt	leckt	[Legt, Leut, Leckt, Lest, Lebt]	{1.0=[Legt, Leut, Leckt, Lest, Lebt]}
114	siech	sich	[riech, sieh, sich]	{1.0=[riech, sieh, sich]}
115	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
116	gehmergt	gemerkt	[gehegt, gemerkt, gewürgt, geborgt, gehörst, gelegt, gehievt, genervt, gehämmert, gefegt, beherzt, bemerkt, geheizt, gezeigt, geheilt, gemeint, gehext, gehetzt, geneigt, geziert, gemurrt, gelernt, geerbt, gehängt, gesiegt, gesorgt, geheult, gezerrt, schmerzt, gehört, geleert, gebeugt, gesperrt, gebiert, geregt, geschmerzt]	{2.0=[gehegt, gemerkt], 3.0=[gewürgt, geborgt, gehörst, gelegt, gehievt, genervt, gehämmert, gefegt, beherzt, bemerkt, geheizt, gezeigt, geheilt, gemeint, gehext, gehetzt, geneigt, geziert, gemurrt, gelernt, geerbt, gehängt, gesiegt, gesorgt, geheult, gezerrt, schmerzt, gehört, geleert, gebeugt, gesperrt, gebiert, geregt, geschmerzt]}
117	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
118	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
119	gehttropft	getropft	[getropft, gestopft, gestapft, tropft, gerupft, geklopft, gehüpft, gehopst, gestoppt, gehofft, getrost, getupft, verstopft, gestreift, gestrafft, getrollt, gestampft, gestraft]	{2.0=[getropft], 3.0=[gestopft], 4.0=[gestapft, tropft, gerupft, geklopft, gehüpft, gehopst, gestoppt, gehofft, getrost, getupft, verstopft, gestreift, gestrafft, getrollt, gestampft, gestraft]}
120	glüglich	glücklich	[glücklich, grünlich, kläglich]	{2.0=[glücklich, grünlich, kläglich]}
121	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
122	bekomen	bekommen	[bekamen, bekämen, bekommen]	{1.0=[bekamen, bekämen, bekommen]}
123	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
124	ristig	richtig	[listig, rostig, Listig, Rostig]	{1.0=[listig, rostig], 1.5=[Listig, Rostig]}
125	glüglist	glücklich	[lügst, Lügst, gefällst, fügtest, gingst, gerülpst, gegrast, gingest, lügt, gleitest, gelinst, entglitt, klügste, legst, gelöst, stülpst, füllst, grünlich, glückt, gründest, klagst, prügelst, grübelst, glüht, fühlst, gegrinst, gereist, wühlst, kläglich, lagst, gekreist, brüllst, glaubst, glücklich, zügelst, gluckst, rülpst, giltst, belügst, glitt, anlügst, plagst, geglüht]	{3.0=[lügst], 3.5=[Lügst], 4.0=[gefällst, fügtest, gingst, gerülpst, gegrast, gingest, lügt, gleitest, gelinst, entglitt, klügste, legst, gelöst, stülpst, füllst, grünlich, glückt, gründest, klagst, prügelst, grübelst, glüht, fühlst, gegrinst, gereist, wühlst, kläglich, lagst, gekreist, brüllst, glaubst, glücklich, zügelst, gluckst, rülpst, giltst, belügst, glitt, anlügst, plagst, geglüht]}
126	is	iss	[is, im, in, iss, i, Ais, ist, Bis, bis, es, Eis, ins, s, iß]	{0.0=[is], 1.0=[im, in, iss, i, Ais, ist, Bis, bis, es, Eis, ins, s, iß]}
127	schnel	schnell	[schnell, Schnee, Schnell]	{1.0=[schnell], 1.5=[Schnee, Schnell]}
128	Hinther	hinterher	[Hinter, hinter, Panther, Winter, Hierher, Hinterm, Hinten, Hintern, Hinterher]	{1.0=[Hinter], 1.5=[hinter], 2.0=[Panther, Winter, Hierher, Hinterm, Hinten, Hintern, Hinterher]}
129	sint	sind	[singt, sinkt, eint, sind, sing]	{1.0=[singt, sinkt, eint, sind, sing]}
130	i	in	[i, I, a, s, im, Ei, e, in, iß, g, is, l, m]	{0.0=[i], 0.5=[I], 1.0=[a, s, im, Ei, e, in, iß, g, is, l, m]}
131	eiswargen	Eiswagen	[Eisbergen, entwarfen, essbaren, einfangen, erwarben, erstarren, einjagen, erwürgen, ersparen, erwarten, eintragen, erstarben, eisernen, eiskalten, eisigen, ersparten]	{2.5=[Eisbergen], 3.0=[entwarfen, essbaren, einfangen, erwarben, erstarren, einjagen, erwürgen, ersparen, erwarten, eintragen, erstarben, eisernen, eiskalten, eisigen, ersparten]}
132	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
133	ei	ein	[Ei, eh, e, Sei, sei, Bei, bei, eil, i, ein, er, es]	{0.5=[Ei], 1.0=[eh, e, Sei, sei, Bei, bei, eil, i, ein, er, es]}
134	gen	gehen	[gen, wen, gehn, geb, gern, geh, den]	{0.0=[gen], 1.0=[wen, gehn, geb, gern, geh, den]}
135	unt	und	[Bunt, bunt, und, uns]	{1.0=[Bunt, bunt, und, uns]}
136	sih	sie	[seh, sah, sieh, sie, sich]	{1.0=[seh, sah, sieh, sie, sich]}
137	leken	lecken	[lenken, lesen, leben, lecken, legen]	{1.0=[lenken, lesen, leben, lecken, legen]}
138	schtoiper	stolper	[schäbiger, stolper, schattiger, schmier, schlapper, schroffer, schier]	{3.0=[schäbiger, stolper, schattiger, schmier, schlapper, schroffer, schier]}
139	Fersucht	versucht	[Versucht, versucht, Feucht, Versuche, Besucht, Frucht, Versuchs, Versuch, Versuchte, Versuchst, Forscht]	{1.0=[Versucht], 1.5=[versucht], 2.0=[Feucht, Versuche, Besucht, Frucht, Versuchs, Versuch, Versuchte, Versuchst, Forscht]}
140	sih	sie	[seh, sah, sieh, sie, sich]	{1.0=[seh, sah, sieh, sie, sich]}
141	lerken	lecken	[lenken, lecken, merken, lernen]	{1.0=[lenken, lecken, merken, lernen]}
142	unt	und	[Bunt, bunt, und, uns]	{1.0=[Bunt, bunt, und, uns]}
143	gept	gebt	[gebt, geht, Gebt, Geht]	{1.0=[gebt, geht], 1.5=[Gebt, Geht]}
144	Fos	was	[Los, los, UFOs, Ufos]	{1.0=[Los], 1.5=[los, UFOs, Ufos]}
145	aP	ab	[Pa, a, ab, AB, A, AU, ah, am, an, AN, aß]	{1.0=[Pa, a], 1.5=[ab, AB, A, AU, ah, am, an, AN, aß]}
146	gen	gehen	[gen, wen, gehn, geb, gern, geh, den]	{0.0=[gen], 1.0=[wen, gehn, geb, gern, geh, den]}
147	fer	wenn	[der, her, fern, wer, Ufer, per, für, er]	{1.0=[der, her, fern, wer, Ufer, per, für, er]}
148	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
149	nisct	nicht	[wischt, zisch, mischt, nippt, nimmt, bist, zischt, misst, nicht, ist, misch, nickt, nascht, nich, niest, fischt, tisch, wisch, isst, fisch, wisst, isch]	{2.0=[wischt, zisch, mischt, nippt, nimmt, bist, zischt, misst, nicht, ist, misch, nickt, nascht, nich, niest, fischt, tisch, wisch, isst, fisch, wisst, isch]}
150	gechareln	gestorben	[hecheln, gehagelt, scharen, gehauen, wechseln, geschahen, gefahren, gehören, geschoren]	{3.0=[hecheln, gehagelt, scharen, gehauen, wechseln, geschahen, gefahren, gehören, geschoren]}
151	si	sie	[s, sei, i, is, so, sie]	{1.0=[s, sei, i, is, so, sie]}
152	Hete	heute	[Hüte, Hetz, Hebe, Hexe, Hute, Hefte, Heute]	{1.0=[Hüte, Hetz, Hebe, Hexe, Hute, Hefte, Heute]}
153	gescholpat	gestolpert	[geschaltet, geschält, geschöpft, geschnippt, geschlüpft, geschallt, geschimpft, geschmollt, geschleppt, geschont, geschuldet, geschnappt, geschockt, geschwappt]	{3.0=[geschaltet, geschält, geschöpft, geschnippt, geschlüpft, geschallt, geschimpft, geschmollt, geschleppt, geschont, geschuldet, geschnappt, geschockt, geschwappt]}
154	traurisch	traurig	[tragisch, Tragisch, träumerisch, traurigen, traurigem, arabisch, tragische, traurig, trauriger, tierisch, praktisch, traurigste, traurige, trauriges]	{2.0=[tragisch], 2.5=[Tragisch], 3.0=[träumerisch, traurigen, traurigem, arabisch, tragische, traurig, trauriger, tierisch, praktisch, traurigste, traurige, trauriges]}
155	Glicklich	glücklich	[Glücklich, glücklich, Glückliche]	{1.0=[Glücklich], 1.5=[glücklich], 2.0=[Glückliche]}
