|original|corrected|filename|freq_ori|freq_cor|freq_tup|unchanged_original|suggestions
158|lekte|leckte|01-060-2-III-Eis.csv|9|14|9|lekte|['lenkte', 'leckte', 'leite', 'legte', 'lebte', 'Sekte', 'Kollekte']
159|Plözlich|Plötzlich|01-060-2-III-Eis.csv|47|117|45|Plözlich|['Plötzlich']
160|viel|fiel|01-060-2-III-Eis.csv|28|45|26|viel|
161|hien|hin|01-060-2-III-Eis.csv|3|17|3|hien|['hin', 'hie', 'hier', 'hiev', 'hieß', 'Wien', 'hie n']
162|Pölzlich|Plötzlich|01-060-2-III-Eis.csv|2|117|2|Pölzlich|['Plötzlich']
163|weite|weiter|01-060-2-III-Eis.csv|10|17|3|weite|
164|Eisstant|Eisstand|01-061-2-III-Eis.csv|2|8|2|Eisstant|['Eisstand', 'Eisstaat', 'Eisstart', 'Eisstadt', 'Eisstunt', 'Eisspant']
165|gehet|geht|01-061-2-III-Eis.csv|6|85|6|gehet|['geht', 'gehe', 'gehegt', 'gehst', 'gehen', 'geh et', 'geh-et', 'gehe t', 'Gehege', 'gehütet']
166|schildst|schmilzt|01-061-2-III-Eis.csv|1|3|1|schildst|['schiltst', 'schiedst']
167|frist|frisst|01-061-2-III-Eis.csv|30|38|30|frist|['frisst', 'Frist', 'freist', 'friste', '-frist', 'friss', 'trist', 'fräst']
168|abat|aber|01-061-2-III-Eis.csv|1|60|1|abat|['bat', 'abtat', 'abbat', 'Rabat', 'a bat']
169|felt|fällt|01-061-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
170|Aba|Aber|01-061-2-III-Eis.csv|12|19|12|Aba|['Alba', 'Abi', 'Abt', 'Abo', 'Ada', 'Ab', 'Ab a']
171|gipt|gibt|01-061-2-III-Eis.csv|18|42|18|gipt|['gilt', 'gibt', 'Gips']
172|wider|wieder|01-061-2-III-Eis.csv|178|207|178|wider|
173|glüglich|glücklich|01-061-2-III-Eis.csv|18|163|18|glüglich|['glücklich', 'füglich', 'glich']
174|holn|holen|01-063-2-III-Eis.csv|2|11|2|holn|['hol', 'holen', 'hole', 'holt', 'hold', 'hol n']
175|pasirt|passiert|01-063-2-III-Eis.csv|18|75|18|pasirt|['passiert']
176|steuperte|stolperte|01-063-2-III-Eis.csv|1|7|1|steuperte|['steuerte', 'versteuert', 'gesteuert', 'besteuert', 'steuere']
177|werlirt|verliert|01-063-2-III-Eis.csv|1|5|1|werlirt|['verliert']
178|Schnapen|schnappen|01-063-2-III-Eis.csv|1|4|1|Schnapen|['Schnaken', 'Schnappen', 'Schnappe', 'Schnaps', 'Schnarchen', 'Schlappen']
179|runtergefalen|runtergefallen|01-063-2-III-Eis.csv|12|28|12|runtergefalen|['heruntergefallen', 'heruntergefahren', 'herunterfallen', 'heruntergeladen']
180|net|nett|01-063-2-III-Eis.csv|1|1|1|net|['et', 'niet', 'nett', 'neu', 'Set', 'Jet', 'n et']
181|pag|Park|01-064-2-III-Eis.csv|1|15|1|pag|['sag', 'lag', 'mag', 'vag', 'Tag', 'Gag', 'Page']
182|Dan|Dann|01-064-2-III-Eis.csv|188|197|185|Dan|['An', 'Dank', 'Ran', 'Don', 'Man', 'Van', 'San', 'Jan', 'Pan', 'Fan', 'Da', 'Dann', 'Dran', 'Den', 'Das', 'Dar', 'D an', 'Da n']
183|fengt|fängt|01-064-2-III-Eis.csv|12|29|12|fengt|['engt', 'fegt', 'sengt', 'fingt', 'fangt', 'mengt', 'fängt', 'f engt']
184|Dan|Dann|01-064-2-III-Eis.csv|188|197|185|Dan|['An', 'Dank', 'Ran', 'Don', 'Man', 'Van', 'San', 'Jan', 'Pan', 'Fan', 'Da', 'Dann', 'Dran', 'Den', 'Das', 'Dar', 'D an', 'Da n']
185|stolpat|stolpert|01-064-2-III-Eis.csv|9|27|9|stolpat|['Tolpatsch']
186|ir|ihr|01-064-2-III-Eis.csv|27|40|27|ir|['r', 'i', 'irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'i r', 'IRC']
187|felt|fällt|01-064-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
188|ir|ihr|01-064-2-III-Eis.csv|27|40|27|ir|['r', 'i', 'irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'i r', 'IRC']
189|dan|dann|01-064-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
