|original|corrected|filename|freq_ori|freq_cor|freq_tup|unchanged_original|suggestions
169|spatzieren|spazieren|01-074-2-III-Eis.csv|19|116|19|spatzieren|['spazieren', 'spazierten', 'platzieren', 'Platzieren', 'strapazieren', 'Spalieren']
170|glüklich|glücklich|01-074-2-III-Eis.csv|54|163|54|glüklich|['glücklich', 'kläglich']
171|gekrigt|gekriegt|01-075-2-III-Eis.csv|6|15|6|gekrigt|['gekriegt']
172|ban|dann|01-075-2-III-Eis.csv|3|651|3|ban|['bahn', 'an', 'band', 'bang', 'bin', 'ran', 'bar', 'bat', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'b an']
173|kaput|kaputt|01-075-2-III-Eis.csv|88|126|88|kaput|['kaut', 'kaputt', 'kappt']
174|ausgeruscht|ausgerutscht|01-075-2-III-Eis.csv|1|9|1|ausgeruscht|['ausgerutscht', 'ausgetauscht', 'ausgereicht', 'ausgeruht', 'ausgerichtet']
175|runba|runter|01-075-2-III-Eis.csv|1|60|1|runba|['unbar', 'unnennbar']
176|gegan|gegangen|01-075-2-III-Eis.csv|6|57|6|gegan|['gegen', 'getan', 'gegangen', 'anlege']
177|runda|runter|01-075-2-III-Eis.csv|4|60|4|runda|['rund', 'runde', 'rund-', 'rund a', 'Ruanda']
178|gessen|gegessen|01-075-2-III-Eis.csv|1|21|1|gessen|['essen', 'gossen', 'dessen', 'messen', 'kessen', 'wessen', 'Messen', 'Hessen', '-essen', 'g essen', 'genössen', 'Genossen', 'Genesen', 'genesen']
179|fon|von|01-075-2-III-Eis.csv|63|76|61|fon|['von', 'Ion', 'Ton', 'Don', 'Bon', 'Xon', 'Äon', 'Font']
180|bisjen|bisschen|01-075-2-III-Eis.csv|3|57|3|bisjen|['bissen', 'Bissen']
181|jeda|jeder|01-075-2-III-Eis.csv|4|6|4|jeda|['jede', 'je da']
182|weit|weint|01-077-2-III-Eis.csv|3|67|1|weit|
183|glülisch|glücklich|01-077-2-III-Eis.csv|2|163|2|glülisch|['gallisch']
184|wal|weil|01-077-2-III-Eis.csv|23|82|22|wal|['Wal', '-wal', 'was', 'aal', 'war', 'mal', 'Aal', 'Ral', 'Tal', 'Mal']
185|ruter|runter|01-077-2-III-Eis.csv|4|60|4|ruter|['runter', 'roter', 'guter', 'röter', 'Euter', 'Puter', 'Rute', 'Reuter']
186|teiel|teil|01-077-2-III-Eis.csv|1|1|1|teiel|['teil', 'teile', 'eitel']
187|sit|ist|01-077-2-III-Eis.csv|32|33|2|sit|['ist', 'seit', 'sie', 'mit', 'fit', 'sät', 'Hit', 'Bit', 'Kit', 'sitzt']
188|Hart|hat|01-077-2-III-Eis.csv|1|131|1|Hart|
189|EisStant|Eisstand|01-088-2-III-Eis.csv|2|8|2|EisStant|['Eisstand', 'Eisstaat', 'Eisstart', 'Eisstadt', 'Eisstunt', 'Eisspant']
190|getroft|getropft|01-088-2-III-Eis.csv|1|2|1|getroft|['getropft', 'getrost', 'getroffen', 'getrottet']
191|fersucht|versucht|01-088-2-III-Eis.csv|29|43|29|fersucht|['ersucht', 'Ufersucht', 'versucht', 'f ersucht', 'feucht']
192|Had|hat|01-088-2-III-Eis.csv|1|131|1|Had|['Ad', 'Hd', 'Hand', 'Hai', 'Hab', 'Rad', 'Bad', 'Hat', 'Hau', 'H ad']
193|gegesch|gegessen|01-088-2-III-Eis.csv|1|21|1|gegesch|['geschehe', 'geschah', 'geschähe', 'Geschoss']
194|aufsten|Aufstehen|01-090-2-III-Eis.csv|1|1|1|aufsten|['aufstehen', 'aufstauten', 'aufstauen', 'Aufstellen']
195|sig|sie|01-090-2-III-Eis.csv|1|86|1|sig|['sing', 'sie', 'sag', 'sog', 'Sigi']
196|wiel|will|01-097-2-III-Eis.csv|52|157|47|wiel|['weil', 'wie', 'wies', 'will', 'fiel', 'viel', 'ziel', 'Siel', 'Kiel', 'Ziel', 'wie l', 'Wiesel']
197|unden|unten|01-097-2-III-Eis.csv|2|5|2|unden|['unten', 'runden', 'munden', 'wunden', 'Runden', 'Hunden', 'Bunden', 'Funden', 'Kunden', 'Wunden', 'enden', 'unken', 'Enden', 'Anden']
198|Schlekt|schleckt|01-097-2-III-Eis.csv|1|4|1|Schlekt|['Schlecht', 'Schleckt']
199|steupert|stolpert|01-097-2-III-Eis.csv|1|27|1|steupert|['steuert', 'Steuer']
200|geteit|geteilt|01-097-2-III-Eis.csv|1|6|1|geteit|['geteilt', 'gefeit', 'geleitet', 'geleite', 'gekittet', 'gesittet']
201|sient|sind|01-097-2-III-Eis.csv|4|66|3|sient|['niest', 'sinnt', 'dient', 'siegt', 'sieht', 'siebt', 'siebent']
202|glüklisch|glücklich|01-097-2-III-Eis.csv|1|163|1|glüklisch|['glücklich']
203|üüber|über|01-102-2-III-Eis.csv|1|35|1|üüber|['über', 'ü über']
