chunk|candidate|err_idx|num_chunk_build
und Lars haben Noch Eis|haben|256|41
und Lars baten Noch Eis|baten|256|41
und Lars haken Noch Eis|haken|256|41
und Lars waten Noch Eis|waten|256|41
Eis eine Kugel Rot hate|Kugel|260|42
Eis eine gurgeln Rot hate|gurgeln|260|42
gugel Rot hat Lea und|hat|262|43
gugel Rot haste Lea und|haste|262|43
gugel Rot harte Lea und|harte|262|43
gugel Rot hatte Lea und|hatte|262|43
gugel Rot halte Lea und|halte|262|43
gugel Rot chate Lea und|chate|262|43
gugel Rot haute Lea und|haute|262|43
gugel Rot hafte Lea und|hafte|262|43
gugel Rot hakte Lea und|hakte|262|43
gugel Rot rate Lea und|rate|262|43
gugel Rot haue Lea und|haue|262|43
gugel Rot habe Lea und|habe|262|43
gugel Rot hake Lea und|hake|262|43
gugel Rot wate Lea und|wate|262|43
gugel Rot hüte Lea und|hüte|262|43
und Lars hat geld .|hat|266|44
und Lars haste geld .|haste|266|44
und Lars harte geld .|harte|266|44
und Lars hatte geld .|hatte|266|44
und Lars halte geld .|halte|266|44
und Lars chate geld .|chate|266|44
und Lars haute geld .|haute|266|44
und Lars hafte geld .|hafte|266|44
und Lars hakte geld .|hakte|266|44
und Lars rate geld .|rate|266|44
und Lars haue geld .|haue|266|44
und Lars habe geld .|habe|266|44
und Lars hake geld .|hake|266|44
und Lars wate geld .|wate|266|44
und Lars hüte geld .|hüte|266|44
Lars hate Geld .|Geld|267|45
Lars hate geld- .|geld-|267|45
Lars hate -geld .|-geld|267|45
Lars hate gelb .|gelb|267|45
Lars hate Held .|Held|267|45
Lars hate Feld .|Feld|267|45
Lars hate gelind .|gelind|267|45
. Der praxisferner gibt in|praxisferner|277|46
eins . An gen sie|An|282|47
eins . Dank gen sie|Dank|282|47
eins . Ran gen sie|Ran|282|47
eins . Don gen sie|Don|282|47
eins . Man gen sie|Man|282|47
eins . Van gen sie|Van|282|47
eins . San gen sie|San|282|47
eins . Jan gen sie|Jan|282|47
eins . Pan gen sie|Pan|282|47
eins . Fan gen sie|Fan|282|47
eins . Da gen sie|Da|282|47
eins . Dann gen sie|Dann|282|47
eins . Dran gen sie|Dran|282|47
eins . Den gen sie|Den|282|47
sie und essen ir eis|essen|286|48
sie und lesen ir eis|lesen|286|48
sie und Lesen ir eis|Lesen|286|48
sie und Besen ir eis|Besen|286|48
sie und Wesen ir eis|Wesen|286|48
sie und eben ir eis|eben|286|48
sie und äsen ir eis|äsen|286|48
sie und Ösen ir eis|Ösen|286|48
und esen irr eis .|irr|287|49
und esen dir eis .|dir|287|49
und esen mir eis .|mir|287|49
und esen ihr eis .|ihr|287|49
und esen wir eis .|wir|287|49
und esen Sir eis .|Sir|287|49
und esen Kir eis .|Kir|287|49
und esen er eis .|er|287|49
und esen in eis .|in|287|49
und esen im eis .|im|287|49
und esen Ar eis .|Ar|287|49
und esen Mr eis .|Mr|287|49
und esen Fr eis .|Fr|287|49
und esen IRQ eis .|IRQ|287|49
. Dodo denkt die tropfen|denkt|291|50
. Dodo senkt die tropfen|senkt|291|50
. Dodo lenkt die tropfen|lenkt|291|50
. Dodo funkt die tropfen|funkt|291|50
. Dodo geht so langsam|geht|299|51
. Dodo et so langsam|et|299|51
. Dodo gebt so langsam|gebt|299|51
. Dodo gen so langsam|gen|299|51
. Dodo gut so langsam|gut|299|51
. Dodo geh so langsam|geh|299|51
. Dodo Set so langsam|Set|299|51
. Dodo Jet so langsam|Jet|299|51
langsam Lea Tolpatsch üba dodo|Tolpatsch|303|52
Lea Stolpat übe dodo und|übe|304|53
Lea Stolpat übt dodo und|übt|304|53
das eis gellt ir aus|gellt|309|54
das eis feilt ir aus|feilt|309|54
das eis fallt ir aus|fallt|309|54
das eis pellt ir aus|pellt|309|54
das eis fehlt ir aus|fehlt|309|54
das eis hellt ir aus|hellt|309|54
das eis bellt ir aus|bellt|309|54
das eis wellt ir aus|wellt|309|54
das eis fällt ir aus|fällt|309|54
das eis füllt ir aus|füllt|309|54
das eis fell- ir aus|fell-|309|54
das eis täfelt ir aus|täfelt|309|54
das eis tafelt ir aus|tafelt|309|54
eis fellt irr aus der|irr|310|55
eis fellt dir aus der|dir|310|55
eis fellt mir aus der|mir|310|55
eis fellt ihr aus der|ihr|310|55
eis fellt wir aus der|wir|310|55
eis fellt Sir aus der|Sir|310|55
eis fellt Kir aus der|Kir|310|55
eis fellt er aus der|er|310|55
eis fellt in aus der|in|310|55
eis fellt im aus der|im|310|55
eis fellt Ar aus der|Ar|310|55
eis fellt Mr aus der|Mr|310|55
eis fellt Fr aus der|Fr|310|55
eis fellt IRQ aus der|IRQ|310|55
. Sie gellt hinn .|gellt|316|56
. Sie feilt hinn .|feilt|316|56
. Sie fallt hinn .|fallt|316|56
. Sie pellt hinn .|pellt|316|56
. Sie fehlt hinn .|fehlt|316|56
. Sie hellt hinn .|hellt|316|56
. Sie bellt hinn .|bellt|316|56
. Sie wellt hinn .|wellt|316|56
. Sie fällt hinn .|fällt|316|56
. Sie füllt hinn .|füllt|316|56
. Sie fell- hinn .|fell-|316|56
. Sie täfelt hinn .|täfelt|316|56
. Sie tafelt hinn .|tafelt|316|56
Sie fellt hin . Lars|hin|317|57
Sie fellt hinan . Lars|hinan|317|57
Sie fellt hing . Lars|hing|317|57
Sie fellt Sinn . Lars|Sinn|317|57
Sie fellt Kinn . Lars|Kinn|317|57
Sie fellt Zinn . Lars|Zinn|317|57
Lars hilft irr und dodo|irr|321|58
Lars hilft dir und dodo|dir|321|58
Lars hilft mir und dodo|mir|321|58
Lars hilft ihr und dodo|ihr|321|58
Lars hilft wir und dodo|wir|321|58
Lars hilft Sir und dodo|Sir|321|58
Lars hilft Kir und dodo|Kir|321|58
Lars hilft er und dodo|er|321|58
Lars hilft in und dodo|in|321|58
Lars hilft im und dodo|im|321|58
Lars hilft Ar und dodo|Ar|321|58
Lars hilft Mr und dodo|Mr|321|58
Lars hilft Fr und dodo|Fr|321|58
Lars hilft IRQ und dodo|IRQ|321|58
und dodo lenkt das eis|lenkt|324|59
und dodo leckt das eis|leckt|324|59
und dodo lest das eis|lest|324|59
und dodo legt das eis|legt|324|59
und dodo lebt das eis|lebt|324|59
und dodo Sekt das eis|Sekt|324|59
hat eine IDE er giebt|IDE|332|60
hat eine die er giebt|die|332|60
hat eine de er giebt|de|332|60
hat eine Eide er giebt|Eide|332|60
hat eine ade er giebt|ade|332|60
hat eine öde er giebt|öde|332|60
hat eine Ode er giebt|Ode|332|60
hat eine Ude er giebt|Ude|332|60
hat eine Bde er giebt|Bde|332|60
ide er gibt eine kugel|gibt|334|61
ide er biegt eine kugel|biegt|334|61
ide er gebt eine kugel|gebt|334|61
ide er siebt eine kugel|siebt|334|61
ide er giert eine kugel|giert|334|61
ide er riebt eine kugel|riebt|334|61
ide er liebt eine kugel|liebt|334|61
ide er gießt eine kugel|gießt|334|61
eis Lea da gen sie|da|339|62
eis Lea an gen sie|an|339|62
eis Lea dann gen sie|dann|339|62
eis Lea dran gen sie|dran|339|62
eis Lea dank gen sie|dank|339|62
eis Lea den gen sie|den|339|62
eis Lea das gen sie|das|339|62
eis Lea dar gen sie|dar|339|62
eis Lea ran gen sie|ran|339|62
eis Lea man gen sie|man|339|62
eis Lea van gen sie|van|339|62
eis Lea San gen sie|San|339|62
eis Lea Jan gen sie|Jan|339|62
eis Lea Pan gen sie|Pan|339|62
eis Lea Fan gen sie|Fan|339|62
gen sie glückselig .|glückselig|342|63
ein Eis bekommen . Das|bekommen|348|64
ein Eis bekamen . Das|bekamen|348|64
ein Eis bekämen . Das|bekämen|348|64
ein Eis bekomme . Das|bekomme|348|64
ein Eis beklommen . Das|beklommen|348|64
ein Eis benommen . Das|benommen|348|64
ein Eis kommen . Das|kommen|348|64
Eis ist kaut . Lea|kaut|353|65
Lea ist hingefallen . Lars|hingefallen|357|66
Lea ist hineingefallen . Lars|hineingefallen|357|66
Lea ist eingefallen . Lars|eingefallen|357|66
Lea ist hingehalten . Lars|hingehalten|357|66
Lea ist hineinfallen . Lars|hineinfallen|357|66
Lars hilft ihr . Las|ihr|361|67
Lars hilft rar . Las|rar|361|67
Lars hilft Ohr . Las|Ohr|361|67
Lars hilft Uhr . Las|Uhr|361|67
. Las Teilt mit Lea|Teilt|364|68
. Las Teilte mit Lea|Teilte|364|68
Dodo Hund löschende auch Eis|löschende|389|69
essen Eis ab Eis und|ab|399|70
auch Eis ab die Eis|ab|407|71
Dodo Hund passt auf zu|passt|413|72
Dodo Hund paust auf zu|paust|413|72
Dodo Hund rast auf zu|rast|413|72
Dodo Hund last auf zu|last|413|72
Dodo Hund hast auf zu|hast|413|72
Dodo Hund fast auf zu|fast|413|72
Dodo Hund Rast auf zu|Rast|413|72
Dodo Hund Last auf zu|Last|413|72
Dodo Hund Gast auf zu|Gast|413|72
Dodo Hund Mast auf zu|Mast|413|72
Dodo Hund Bast auf zu|Bast|413|72
Dodo Hund -ast auf zu|-ast|413|72
zu Eis viel der möschte|viel|417|73
zu Eis seil der möschte|seil|417|73
zu Eis teil der möschte|teil|417|73
zu Eis geil der möschte|geil|417|73
zu Eis heil der möschte|heil|417|73
zu Eis feil der möschte|feil|417|73
zu Eis weil der möschte|weil|417|73
zu Eis Seil der möschte|Seil|417|73
zu Eis Teil der möschte|Teil|417|73
zu Eis Beil der möschte|Beil|417|73
zu Eis Keil der möschte|Keil|417|73
veil der möchte auch essen|möchte|419|74
veil der mischte auch essen|mischte|419|74
veil der löschte auch essen|löschte|419|74
auch essen in dan hat|in|422|75
auch essen ob dan hat|ob|422|75
auch essen von dan hat|von|422|75
auch essen Ion dan hat|Ion|422|75
auch essen Ton dan hat|Ton|422|75
auch essen Don dan hat|Don|422|75
auch essen Bon dan hat|Bon|422|75
auch essen Xon dan hat|Xon|422|75
auch essen Äon dan hat|Äon|422|75
auch essen an dan hat|an|422|75
auch essen oh dan hat|oh|422|75
essen on da hat Ler|da|423|76
essen on an hat Ler|an|423|76
essen on dann hat Ler|dann|423|76
essen on dran hat Ler|dran|423|76
essen on dank hat Ler|dank|423|76
essen on den hat Ler|den|423|76
essen on das hat Ler|das|423|76
essen on dar hat Ler|dar|423|76
essen on ran hat Ler|ran|423|76
essen on man hat Ler|man|423|76
essen on van hat Ler|van|423|76
essen on San hat Ler|San|423|76
essen on Jan hat Ler|Jan|423|76
essen on Pan hat Ler|Pan|423|76
essen on Fan hat Ler|Fan|423|76
hat Ler heruntergefallen und ern|heruntergefallen|426|77
hat Ler heruntergefahren und ern|heruntergefahren|426|77
hat Ler herunterfallen und ern|herunterfallen|426|77
hat Ler heruntergeladen und ern|heruntergeladen|426|77
runtergefalen und er Dodo lauft|er|428|78
runtergefalen und gern Dodo lauft|gern|428|78
runtergefalen und fern Dodo lauft|fern|428|78
runtergefalen und Bern Dodo lauft|Bern|428|78
runtergefalen und Kern Dodo lauft|Kern|428|78
runtergefalen und ein Dodo lauft|ein|428|78
Eis Eis pfählt auch runter|pfählt|434|79
Eis Eis fehlt auch runter|fehlt|434|79
Eis Eis fährt auch runter|fährt|434|79
Eis Eis fällt auch runter|fällt|434|79
Eis Eis wählt auch runter|wählt|434|79
Eis Eis zählt auch runter|zählt|434|79
Eis Eis fühlt auch runter|fühlt|434|79
auch runter vagen das lauft|vagen|437|80
auch runter regen das lauft|regen|437|80
auch runter legen das lauft|legen|437|80
auch runter gegen das lauft|gegen|437|80
auch runter hegen das lauft|hegen|437|80
auch runter fegen das lauft|fegen|437|80
auch runter wegen das lauft|wegen|437|80
auch runter Segen das lauft|Segen|437|80
auch runter Regen das lauft|Regen|437|80
auch runter Legen das lauft|Legen|437|80
auch runter Degen das lauft|Degen|437|80
auch runter Wegen das lauft|Wegen|437|80
auch runter verenge das lauft|verenge|437|80
er ist glücklich jetzt veint|glücklich|449|81
er ist füglich jetzt veint|füglich|449|81
er ist glich jetzt veint|glich|449|81
glüglich jetzt eint die Ler|eint|451|82
glüglich jetzt meint die Ler|meint|451|82
glüglich jetzt weint die Ler|weint|451|82
glüglich jetzt Teint die Ler|Teint|451|82
. und er hat lars|er|456|83
. und gern hat lars|gern|456|83
. und fern hat lars|fern|456|83
. und Bern hat lars|Bern|456|83
. und Kern hat lars|Kern|456|83
. und ein hat lars|ein|456|83
Dodo traurig viel gehen jetzt|viel|465|84
Dodo traurig seil gehen jetzt|seil|465|84
Dodo traurig teil gehen jetzt|teil|465|84
Dodo traurig geil gehen jetzt|geil|465|84
Dodo traurig heil gehen jetzt|heil|465|84
Dodo traurig feil gehen jetzt|feil|465|84
Dodo traurig weil gehen jetzt|weil|465|84
Dodo traurig Seil gehen jetzt|Seil|465|84
Dodo traurig Teil gehen jetzt|Teil|465|84
Dodo traurig Beil gehen jetzt|Beil|465|84
Dodo traurig Keil gehen jetzt|Keil|465|84
Eis Dodo strikt nur ein|strikt|489|85
nur ein bisschen . Dann|bisschen|492|86
nur ein mischen . Dann|mischen|492|86
nur ein fischen . Dann|fischen|492|86
nur ein wischen . Dann|wischen|492|86
nur ein zischen . Dann|zischen|492|86
nur ein Nischen . Dann|Nischen|492|86
nur ein Tischen . Dann|Tischen|492|86
nur ein Mischen . Dann|Mischen|492|86
nur ein Fischen . Dann|Fischen|492|86
. Dann fehlt über Dodo|fehlt|495|87
. Dann feilt über Dodo|feilt|495|87
. Dann fielt über Dodo|fielt|495|87
. Dann elft über Dodo|elft|495|87
. Dann fest über Dodo|fest|495|87
. Dann fett über Dodo|fett|495|87
. Dann fegt über Dodo|fegt|495|87
. Dann Welt über Dodo|Welt|495|87
. Dann Zelt über Dodo|Zelt|495|87
. Und fehlt um und|fehlt|500|88
. Und feilt um und|feilt|500|88
. Und fielt um und|fielt|500|88
. Und elft um und|elft|500|88
. Und fest um und|fest|500|88
. Und fett um und|fett|500|88
. Und fegt um und|fegt|500|88
. Und Welt um und|Welt|500|88
. Und Zelt um und|Zelt|500|88
. Dodo schlecht ales auf|schlecht|514|89
. Dodo schleckt ales auf|schleckt|514|89
Dodo schlekt als auf .|als|515|90
Dodo schlekt altes auf .|altes|515|90
Dodo schlekt alles auf .|alles|515|90
Dodo schlekt Aales auf .|Aales|515|90
Dodo schlekt Tales auf .|Tales|515|90
Dodo schlekt Wales auf .|Wales|515|90
Dodo schlekt legales auf .|legales|515|90
Dodo schlekt letales auf .|letales|515|90
leckt die Tropischen . Lea|Tropischen|543|91
leckt die Tropfsteinen . Lea|Tropfsteinen|543|91
Lea ist gestolpert sein Eis|gestolpert|547|92
hat sich weggetan und Lars|weggetan|563|93
hat sich angetan und Lars|angetan|563|93
hat sich getan und Lars|getan|563|93
sind zusammen Geschmäckle und Dodo|Geschmäckle|586|94
und Dodo eich nach den|eich|589|95
und Dodo roch nach den|roch|589|95
und Dodo ich nach den|ich|589|95
und Dodo reich nach den|reich|589|95
und Dodo brich nach den|brich|589|95
und Dodo Erich nach den|Erich|589|95
und Dodo sich nach den|sich|589|95
und Dodo dich nach den|dich|589|95
und Dodo mich nach den|mich|589|95
und Dodo wich nach den|wich|589|95
Sie Gehen Patriziern und Lea|Patriziern|613|96
und Lea galt runter .|galt|616|97
und Lea alt runter .|alt|616|97
und Lea falte runter .|falte|616|97
und Lea fallt runter .|fallt|616|97
und Lea fault runter .|fault|616|97
und Lea falzt runter .|falzt|616|97
und Lea falt- runter .|falt-|616|97
und Lea fast runter .|fast|616|97
und Lea aalt runter .|aalt|616|97
und Lea malt runter .|malt|616|97
und Lea halt runter .|halt|616|97
und Lea falb runter .|falb|616|97
und Lea kalt runter .|kalt|616|97
und Lea faxt runter .|faxt|616|97
und Lea Halt runter .|Halt|616|97
. Lars Siebt eien Kugel|Siebt|620|98
. Lars Riebt eien Kugel|Riebt|620|98
. Lars Liebt eien Kugel|Liebt|620|98
. Lars Gibt eien Kugel|Gibt|620|98
. Lars Biegt eien Kugel|Biegt|620|98
