	original	corrected	filename	freq_ori	freq_cor	freq_tup	unchanged_original	suggestions	possible	original_cs	corrected_cs	suggestions_cs	found	dict_index	ind0
53	bekomen	bekommen	01-028-2-III-Eis.csv	19	31	18	bekomen	['bekommen', 'bekamen', 'bekämen', 'bekomme', 'beklommen', 'benommen', 'kommen']	True	bekomen	bekommen	['bekommen', 'bekamen', 'bekämen', 'bekomme', 'beklommen', 'benommen', 'kommen']	True	0.0	True
54	kabut	kaputt	01-028-2-III-Eis.csv	4	126	4	kabut	['kaut']	True	kabut	kaputt	['kaut']	False		False
55	hingefalen	hingefallen	01-028-2-III-Eis.csv	5	11	5	hingefalen	['hingefallen', 'hineingefallen', 'eingefallen', 'hingehalten', 'hineinfallen']	True	hingefalen	hingefallen	['hingefallen', 'hineingefallen', 'eingefallen', 'hingehalten', 'hineinfallen']	True	0.0	True
56	rhr	ihr	01-028-2-III-Eis.csv	1	40	1	rhr	['ihr', 'rar', 'ohr', 'uhr']	True	rhr	ihr	['ihr', 'rar', 'Ohr', 'Uhr']	True	0.0	True
57	teielt	teilt	01-028-2-III-Eis.csv	1	6	1	Teielt	['teilt', 'teilte']	True	Teielt	teilt	['Teilt', 'Teilte']	True	0.0	True
58	möschde	möchte	01-029-2-III-Eis.csv	1	14	1	möschde	['löschende']	True	möschde	möchte	['löschende']	False		False
59	past	passt	01-029-2-III-Eis.csv	2	3	2	past	['passt', 'paust', 'rast', 'last', 'hast', 'fast', 'rast', 'last', 'gast', 'mast', 'bast', '-ast']	True	past	passt	['passt', 'paust', 'rast', 'last', 'hast', 'fast', 'Rast', 'Last', 'Gast', 'Mast', 'Bast', '-ast']	True	0.0	True
60	veil	weil	01-029-2-III-Eis.csv	4	82	4	veil	['viel', 'seil', 'teil', 'geil', 'heil', 'feil', 'weil', 'seil', 'teil', 'beil', 'keil']	True	veil	weil	['viel', 'seil', 'teil', 'geil', 'heil', 'feil', 'weil', 'Seil', 'Teil', 'Beil', 'Keil']	True	6.0	False
61	möschte	möchte	01-029-2-III-Eis.csv	2	14	2	möschte	['möchte', 'mischte', 'löschte']	True	möschte	möchte	['möchte', 'mischte', 'löschte']	True	0.0	True
62	on	und	01-029-2-III-Eis.csv	2	106	2	on	['in', 'ob', 'von', 'ion', 'ton', 'don', 'bon', 'xon', 'äon', 'an', 'oh']	True	on	und	['in', 'ob', 'von', 'Ion', 'Ton', 'Don', 'Bon', 'Xon', 'Äon', 'an', 'oh']	False		False
63	runtergefalen	runtergefallen	01-029-2-III-Eis.csv	12	28	12	runtergefalen	['heruntergefallen', 'heruntergefahren', 'herunterfallen', 'heruntergeladen']	False	runtergefalen	runtergefallen	['heruntergefallen', 'heruntergefahren', 'herunterfallen', 'heruntergeladen']	False		False
64	ern	er	01-029-2-III-Eis.csv	2	14	2	ern	['er', 'gern', 'fern', 'bern', 'kern', 'ein']	True	ern	er	['er', 'gern', 'fern', 'Bern', 'Kern', 'ein']	True	0.0	True
65	fählt	fällt	01-029-2-III-Eis.csv	5	198	5	fählt	['pfählt', 'fehlt', 'fährt', 'fällt', 'wählt', 'zählt', 'fühlt']	True	fählt	fällt	['pfählt', 'fehlt', 'fährt', 'fällt', 'wählt', 'zählt', 'fühlt']	True	3.0	False
66	vegen	wegen	01-029-2-III-Eis.csv	1	5	1	vegen	['vagen', 'regen', 'legen', 'gegen', 'hegen', 'fegen', 'wegen', 'segen', 'regen', 'legen', 'degen', 'wegen', 'verenge']	True	vegen	wegen	['vagen', 'regen', 'legen', 'gegen', 'hegen', 'fegen', 'wegen', 'Segen', 'Regen', 'Legen', 'Degen', 'Wegen', 'verenge']	True	6.0	False
67	glüglich	glücklich	01-029-2-III-Eis.csv	18	163	18	glüglich	['glücklich', 'füglich', 'glich']	True	glüglich	glücklich	['glücklich', 'füglich', 'glich']	True	0.0	True
68	veint	weint	01-029-2-III-Eis.csv	1	67	1	veint	['eint', 'meint', 'weint', 'teint']	True	veint	weint	['eint', 'meint', 'weint', 'Teint']	True	2.0	False
69	hie	hier	01-029-2-III-Eis.csv	1	55	1	hie	[]	True	hie	hier		False		False
70	krikt	kriegt	01-037-2-III-Eis.csv	8	51	8	krikt	['strikt']	True	krikt	kriegt	['strikt']	False		False
71	bischen	bisschen	01-037-2-III-Eis.csv	20	57	20	bischen	['bisschen', 'mischen', 'fischen', 'wischen', 'zischen', 'nischen', 'tischen', 'mischen', 'fischen']	True	bischen	bisschen	['bisschen', 'mischen', 'fischen', 'wischen', 'zischen', 'Nischen', 'Tischen', 'Mischen', 'Fischen']	True	0.0	True
72	au	auf	01-037-2-III-Eis.csv	6	17	1	au	[]	True	au	auf		False		False
73	schlekt	schleckt	01-037-2-III-Eis.csv	2	4	1	schlekt	['schlecht', 'schleckt']	True	schlekt	schleckt	['schlecht', 'schleckt']	True	1.0	False
74	ales	alles	01-037-2-III-Eis.csv	35	37	34	ales	['als', 'altes', 'alles', 'aales', 'tales', 'wales', 'legales', 'letales']	True	ales	alles	['als', 'altes', 'alles', 'Aales', 'Tales', 'Wales', 'legales', 'letales']	True	2.0	False
75	tropfschen	tröpfchen	01-045-2-III-Eis.csv	1	2	1	TroPfschen	['tropischen', 'tropfsteinen']	True	TroPfschen	Tröpfchen	['Tropischen', 'Tropfsteinen']	False		False
76	gestolpat	gestolpert	01-045-2-III-Eis.csv	1	14	1	gestolPat	['gestolpert']	True	gestolPat	gestolpert	['gestolpert']	True	0.0	True
77	wegetan	wehgetan	01-045-2-III-Eis.csv	11	17	11	wegetan	['weggetan', 'angetan', 'getan']	False	wegetan	wehgetan	['weggetan', 'angetan', 'getan']	False		False
78	glöklesch	glücklich	01-045-2-III-Eis.csv	1	163	1	Glöklesch	['geschmäckle']	True	Glöklesch	glücklich	['Geschmäckle']	False		False
79	rich	riech	01-045-2-III-Eis.csv	2	2	2	rich	['eich', 'roch', 'ich', 'reich', 'brich', 'erich', 'sich', 'dich', 'mich', 'wich']	False	rich	riech	['eich', 'roch', 'ich', 'reich', 'brich', 'Erich', 'sich', 'dich', 'mich', 'wich']	False		False
80	spatzirn	spazieren	01-049-2-III-Eis.csv	1	116	1	Spatzirn	['patriziern']	True	Spatzirn	spazieren	['Patriziern']	False		False
81	falt	fallt	01-049-2-III-Eis.csv	9	11	9	falt	['galt', 'alt', 'falte', 'fallt', 'fault', 'falzt', 'falt-', 'fast', 'aalt', 'malt', 'halt', 'falb', 'kalt', 'faxt', 'halt']	True	falt	fallt	['galt', 'alt', 'falte', 'fallt', 'fault', 'falzt', 'falt-', 'fast', 'aalt', 'malt', 'halt', 'falb', 'kalt', 'faxt', 'Halt']	True	3.0	False
82	giebt	gibt	01-049-2-III-Eis.csv	1	42	1	Giebt	['siebt', 'riebt', 'liebt', 'gibt', 'biegt', 'gebt', 'giert', 'gießt']	True	Giebt	gibt	['Siebt', 'Riebt', 'Liebt', 'Gibt', 'Biegt', 'Gebt', 'Giert', 'Gießt']	True	3.0	False
83	eien	eine	01-049-2-III-Eis.csv	2	9	1	eien	['ein', 'eine', 'seien', 'einen', 'eilen', 'eigen', 'eben', 'wien']	True	eien	eine	['ein', 'eine', 'seien', 'einen', 'eilen', 'eigen', 'eben', 'Wien']	True	1.0	False
84	nachause	nachhause	01-049-2-III-Eis.csv	1	10	1	Nachause	['nachschaue', 'nachschau', 'nachwachse']	False	Nachause	nachhause	['Nachschaue', 'Nachschau', 'Nachwachse']	False		False
85	lekt	leckt	01-049-2-III-Eis.csv	4	42	4	Lekt	['sekt', 'lenkt', 'leckt', 'lest', 'legt', 'lebt', 'lektor']	True	Lekt	leckt	['Sekt', 'Lenkt', 'Leckt', 'Lest', 'Legt', 'Lebt', 'Lektor']	True	2.0	False
86	siech	sich	01-054-2-III-Eis.csv	24	55	24	siech	[]	True	siech	sich		False		False
87	gehmergt	gemerkt	01-054-2-III-Eis.csv	1	10	1	gehmergt	['ergeht']	True	gehmergt	gemerkt	['ergeht']	False		False
88	das	dass	01-054-2-III-Eis.csv	985	1017	981	das	[]	True	das	dass		False		False
89	gehttropft	getropft	01-054-2-III-Eis.csv	1	2	1	gehttropft	['geht tropft', 'geht-tropft', 'getropft']	True	gehttropft	getropft	['geht tropft', 'geht-tropft', 'getropft']	True	2.0	False
90	gefalen	gefallen	01-054-2-III-Eis.csv	50	69	50	gefalen	['gefallen', 'gefalzten', 'gefalle', 'gefangen', 'fallen']	True	gefalen	gefallen	['gefallen', 'gefalzten', 'gefalle', 'gefangen', 'fallen']	True	0.0	True
91	ristig	richtig	01-054-2-III-Eis.csv	1	9	1	ristig	['rostig', 'rissig', 'listig', 'mistig', 'rüstig', 'strittig']	True	ristig	richtig	['rostig', 'rissig', 'listig', 'mistig', 'rüstig', 'strittig']	False		False
92	glüglist	glücklich	01-054-2-III-Eis.csv	1	163	1	glüglist	['glücklichst']	True	glüglist	glücklich	['glücklichst']	False		False
93	is	iss	01-054-2-III-Eis.csv	19	2	1	is	['iss', 'ins', 'ist', 'bis', 'eis', 'es', 'in', 'im', 'ms']	True	is	iss	['iss', 'ins', 'ist', 'bis', 'Eis', 'es', 'in', 'im', 'ms']	True	0.0	True
94	schnel	schnell	01-054-2-III-Eis.csv	60	76	60	schnel	['schnell', 'scheel', 'schneie']	True	schnel	schnell	['schnell', 'scheel', 'schneie']	True	0.0	True
95	hinther	hinterher	01-054-2-III-Eis.csv	1	38	1	Hinther	['hinter']	True	Hinther	hinterher	['Hinter']	False		False
96	sint	sind	01-057-2-III-Eis.csv	20	66	20	sint	['sind', 'sinnt', 'singt', 'sinkt', 'eint', 'sing']	True	sint	sind	['sind', 'sinnt', 'singt', 'sinkt', 'eint', 'sing']	True	0.0	True
97	i	in	01-057-2-III-Eis.csv	2	21	1	i	[]	True	i	in		False		False
98	eiswargen	eiswagen	01-057-2-III-Eis.csv	1	3	1	eiswargen	['weissagen']	False	eiswargen	Eiswagen	['weissagen']	False		False
99	si	sie	01-057-2-III-Eis.csv	51	86	46	si	['sie', 'so', 'sei', 'pi', 'xi', 'ei']	True	si	sie	['sie', 'so', 'sei', 'pi', 'xi', 'Ei']	True	0.0	True
100	ei	ein	01-057-2-III-Eis.csv	5	26	4	ei	['ei', 'eo', 'sei', 'ein', 'bei', '-ei', 'es', 'er', 'et', 'pi', 'eh', 'ex', 'xi']	True	ei	ein	['Ei', 'eo', 'sei', 'ein', 'bei', '-ei', 'es', 'er', 'et', 'pi', 'eh', 'ex', 'xi']	True	3.0	False
101	unt	und	01-057-2-III-Eis.csv	30	106	30	unt	['und', 'bunt', 'unkt', 'tun', 'uns']	True	unt	und	['und', 'bunt', 'unkt', 'tun', 'uns']	True	0.0	True
102	sih	sie	01-057-2-III-Eis.csv	11	86	8	sih	['sieh', 'sich', 'sie', 'sah']	True	sih	sie	['sieh', 'sich', 'sie', 'sah']	True	2.0	False
103	schtoiper	stolper	01-057-2-III-Eis.csv	1	1	1	schtoiper	['stoischer']	False	schtoiper	stolper	['stoischer']	False		False
104	fersucht	versucht	01-057-2-III-Eis.csv	1	43	1	Fersucht	['ersucht', 'versucht', 'fernsucht', 'ufersucht', 'feucht']	True	Fersucht	versucht	['Ersucht', 'Versucht', 'Fernsucht', 'Ufersucht', 'Feucht']	True	1.0	False
105	lerken	lecken	01-057-2-III-Eis.csv	1	17	1	lerken	['lernen', 'lenken', 'lecken', 'merken', 'werken', 'werken', 'erkennen', 'erkenne', 'leckeren', 'leeren']	True	lerken	lecken	['lernen', 'lenken', 'lecken', 'merken', 'werken', 'Werken', 'erkennen', 'erkenne', 'leckeren', 'leeren']	True	2.0	False
106	gept	gebt	01-057-2-III-Eis.csv	1	3	1	gept	['geht', 'gebt', 'gepumpt']	True	gept	gebt	['geht', 'gebt', 'gepumpt']	True	1.0	False
107	fos	was	01-057-2-III-Eis.csv	1	15	1	Fos	['los', 'fotos']	True	Fos	was	['Los', 'Fotos']	False		False
108	ap	ab	01-057-2-III-Eis.csv	1	30	1	aP	['an', 'ad', 'au', 'am', 'ab', 'aß', 'ip', 'hp', 'bp', 'kp', 'xp', 'kap', 'kp', 'api']	True	aP	ab	['an', 'ad', 'au', 'am', 'ab', 'aß', 'IP', 'HP', 'BP', 'KP', 'XP', 'Kap', 'kp', 'API']	True	4.0	False
109	fer	wenn	01-057-2-III-Eis.csv	1	46	1	fer	['der', 'er', 'fern', 'ufer', 'per', 'her', 'wer', 'für']	True	fer	wenn	['der', 'er', 'fern', 'Ufer', 'per', 'her', 'wer', 'für']	False		False
110	nisct	nicht	01-057-2-III-Eis.csv	1	135	1	nisct	['nistet']	True	nisct	nicht	['nistet']	False		False
111	gechareln	gestorben	01-057-2-III-Eis.csv	1	9	1	gechareln	['gechartert']	True	gechareln	gestorben	['gechartert']	False		False
112	hete	heute	01-057-2-III-Eis.csv	1	1	1	Hete	['hefte', 'bete', 'hefe', 'hexe', 'hüte', 'heute', 'hegte', 'hexte', 'hetze', 'hege', 'hebe', 'hetzte']	True	Hete	heute	['Hefte', 'Bete', 'Hefe', 'Hexe', 'Hüte', 'Heute', 'Hegte', 'Hexte', 'Hetze', 'Hege', 'Hebe', 'Hetzte']	True	5.0	False
113	gescholpat	gestolpert	01-058-2-III-Eis.csv	1	14	1	gescholpat	['gescholten']	True	gescholpat	gestolpert	['gescholten']	False		False
114	traurisch	traurig	01-058-2-III-Eis.csv	8	119	8	traurisch	['traumatisch', 'australisch', 'taufrisch', 'misstrauisch']	True	traurisch	traurig	['traumatisch', 'australisch', 'taufrisch', 'misstrauisch']	False		False
115	glicklich	glücklich	01-058-2-III-Eis.csv	1	163	1	Glicklich	['glücklich', 'schicklich', 'kläglich', 'kärglich', 'glich']	True	Glicklich	glücklich	['Glücklich', 'Schicklich', 'Kläglich', 'Kärglich', 'Glich']	True	0.0	True
116	spazirn	spazieren	01-060-2-III-Eis.csv	1	116	1	spazirn	['spazieren']	True	spazirn	spazieren	['spazieren']	True	0.0	True
117	kamm	kam	01-060-2-III-Eis.csv	100	129	100	kamm	['kamm', 'kam', 'klamm', '-kamm', 'kamt', 'komm', 'kaum', 'lamm', 'damm']	True	kamm	kam	['Kamm', 'kam', 'klamm', '-kamm', 'kamt', 'komm', 'kaum', 'Lamm', 'Damm']	True	1.0	False
118	lekte	leckte	01-060-2-III-Eis.csv	9	14	9	lekte	['lenkte', 'leckte', 'leite', 'legte', 'lebte', 'sekte', 'elektr.']	True	lekte	leckte	['lenkte', 'leckte', 'leite', 'legte', 'lebte', 'Sekte', 'elektr.']	True	1.0	False
119	plözlich	plötzlich	01-060-2-III-Eis.csv	47	117	45	Plözlich	['plötzlich']	False	Plözlich	Plötzlich	['Plötzlich']	True	0.0	True
120	viel	fiel	01-060-2-III-Eis.csv	28	45	26	viel	[]	True	viel	fiel		False		False
121	hien	hin	01-060-2-III-Eis.csv	3	17	3	hien	['hin', 'hie', 'hier', 'hiev', 'hieß', 'wien']	True	hien	hin	['hin', 'hie', 'hier', 'hiev', 'hieß', 'Wien']	True	0.0	True
122	pölzlich	plötzlich	01-060-2-III-Eis.csv	2	117	2	Pölzlich	['plötzlich']	False	Pölzlich	Plötzlich	['Plötzlich']	True	0.0	True
123	weite	weiter	01-060-2-III-Eis.csv	10	17	3	weite	[]	True	weite	weiter		False		False
